 	il	est	mort	il	y	a	un	an	</S>
a66	0.229978	0.192796	0.128991	0.0945221	0.113893	0.0867976	0.0611482	0.0501789	0.0416946
a87	0.149049	0.119271	0.10057	0.0936956	0.110171	0.0968001	0.0975307	0.107613	0.1253
a23	0.410118	0.204322	0.110938	0.0585011	0.0516389	0.0375263	0.0316831	0.0372923	0.0579806
a24	0.29328	0.200513	0.123255	0.0678634	0.0680157	0.0542069	0.0503872	0.0634173	0.0790622
a61	0.198425	0.144746	0.10276	0.0706745	0.0769502	0.0806912	0.085947	0.110498	0.129307
a56	0.19821	0.218045	0.159606	0.091362	0.0742159	0.0642266	0.0587376	0.0625976	0.0729999
a94	0.190365	0.229851	0.178052	0.0880765	0.0650136	0.0553996	0.0540822	0.059244	0.0799164
a25	0.172393	0.223956	0.19854	0.0998041	0.0715839	0.057955	0.0546785	0.0511336	0.0699556
a56	0.153912	0.20805	0.19589	0.120812	0.0873738	0.0661421	0.0585316	0.0449062	0.0643824
a90	0.195859	0.225132	0.20874	0.115523	0.0749504	0.0492969	0.0414751	0.0380927	0.0509308
a98	0.152454	0.177769	0.19304	0.153972	0.104054	0.065214	0.0510328	0.0430279	0.0594356
a47	0.113795	0.126867	0.148948	0.145503	0.10718	0.0839826	0.0787673	0.0778868	0.117069
a85	0.0914653	0.0932929	0.113534	0.139667	0.0962939	0.0756841	0.0812364	0.107277	0.20155
a5	0.0872907	0.0842961	0.10388	0.147529	0.126103	0.101072	0.0947675	0.0958393	0.159222
a18	0.0795267	0.0759728	0.0923105	0.151455	0.143128	0.112691	0.0998675	0.104848	0.1402
a37	0.0466608	0.0486918	0.0574737	0.0942944	0.109813	0.113838	0.122296	0.155534	0.251397
a75	0.0437472	0.0425289	0.0473147	0.0760772	0.0915371	0.109809	0.129618	0.178261	0.281107
a6	0.0204007	0.0199847	0.0223551	0.041936	0.0529299	0.0854165	0.142661	0.240598	0.373718
a37	0.0119124	0.0115826	0.013732	0.0306938	0.0436712	0.0854068	0.160349	0.263372	0.37928
a90	0.00791487	0.00742153	0.00848817	0.0170446	0.023076	0.0441117	0.104026	0.284247	0.50367
a56	0.0041368	0.00361857	0.00408278	0.00831022	0.0116943	0.0266058	0.0771677	0.296734	0.56765
a25	0.00328941	0.00282002	0.00322575	0.00698147	0.00996898	0.023863	0.0735676	0.305392	0.570892
a69	0.00124559	0.00111082	0.00124171	0.00280318	0.00444197	0.0122184	0.0453514	0.270029	0.661558
a53	0.00172193	0.00138516	0.00147141	0.00300892	0.0044057	0.0119331	0.0431157	0.280111	0.652847
a69	0.0022561	0.00185221	0.00208626	0.00426887	0.00587108	0.0138952	0.0473372	0.280197	0.642236
a58	0.00175158	0.00131133	0.00135862	0.00291654	0.00431867	0.0126259	0.04475	0.259633	0.671334
a82	0.00681029	0.00470412	0.00398825	0.00810038	0.0156576	0.0420025	0.0936358	0.261639	0.563462
a87	0.169857	0.0853801	0.0515139	0.0554207	0.0621259	0.0794354	0.090636	0.157962	0.247669
a23	0.238109	0.125587	0.0810945	0.0729337	0.0817596	0.0833294	0.0799338	0.104987	0.132266
a87	0.120504	0.0701259	0.0480455	0.0449431	0.0517395	0.0696417	0.102728	0.185655	0.306617
</S>	0.0159291	0.0102699	0.00791843	0.00959411	0.0151541	0.0354049	0.0912166	0.220716	0.593797
