 	le	village	est	dans	un	silence	tendu	aujourd'	hui	parce	que	les	femmes	sont	allées	à	la	pêche	avec	les	enfants	</S>
a66	0.124688	0.11632	0.127225	0.106318	0.115185	0.121441	0.0616185	0.0201014	0.0217604	0.0225092	0.0252418	0.0256665	0.0226049	0.0163866	0.0250437	0.00982421	0.00742381	0.0064543	0.0055485	0.00557336	0.00567949	0.00738655
a87	0.22721	0.145582	0.140638	0.107181	0.102067	0.0924151	0.0266604	0.013224	0.00944089	0.00884333	0.00906564	0.00684999	0.00652744	0.00538187	0.0104068	0.0094724	0.00865488	0.0109523	0.0121391	0.0132143	0.0152307	0.0188435
a23	0.280157	0.154227	0.166829	0.0933107	0.088105	0.0761481	0.0295122	0.0103302	0.01106	0.00846685	0.0100656	0.00944057	0.00695203	0.00569103	0.00970383	0.00568129	0.00520126	0.00492523	0.00531409	0.0055587	0.00644407	0.0068762
a30	0.266599	0.142874	0.165896	0.0996782	0.10805	0.111305	0.0225091	0.00651802	0.00655184	0.00520261	0.00418509	0.00385207	0.00395933	0.00419093	0.0054483	0.00546782	0.00460019	0.00506568	0.00527423	0.00627844	0.00787483	0.00861936
a93	0.243901	0.131653	0.141453	0.111766	0.112003	0.126003	0.0416251	0.0133241	0.0106342	0.00701068	0.00600642	0.00535116	0.00427289	0.00499553	0.00571694	0.00467866	0.00357493	0.00440739	0.00450368	0.00483228	0.00588759	0.00639931
a75	0.221606	0.130185	0.126423	0.0932342	0.0901185	0.150821	0.128611	0.0115548	0.00761153	0.00437511	0.00447152	0.00343955	0.00262815	0.00229281	0.00314113	0.00230172	0.00201111	0.00223089	0.00233635	0.00276432	0.00349227	0.00435013
a21	0.0836292	0.0705393	0.0840626	0.077764	0.086028	0.16396	0.308282	0.032317	0.0144865	0.00975988	0.00794925	0.00707685	0.00510317	0.00458176	0.00643954	0.00467684	0.00341574	0.0041571	0.00453525	0.00526529	0.006831	0.00913974
a61	0.0839709	0.0797408	0.0989808	0.102923	0.0973757	0.16535	0.259726	0.0268075	0.0141961	0.00944773	0.00820574	0.00719615	0.00513045	0.00465993	0.00653707	0.00409415	0.00275486	0.00335922	0.00357749	0.00416209	0.00524192	0.00656241
a24	0.084729	0.0694175	0.0908198	0.0935076	0.0886906	0.176852	0.265708	0.0311116	0.0177686	0.0106516	0.00894456	0.00885268	0.0061361	0.00534054	0.00691392	0.0043667	0.00283522	0.00354376	0.00409424	0.00483744	0.00645595	0.00842191
a75	0.0498209	0.0529203	0.0685382	0.0642651	0.0613953	0.140138	0.30892	0.0500996	0.0347299	0.0234653	0.0204758	0.0225025	0.0150878	0.0113916	0.0154654	0.00861856	0.00619175	0.00674647	0.00807199	0.0082791	0.010445	0.0124314
a25	0.0181552	0.0182047	0.0241952	0.0215776	0.0259128	0.0515234	0.188039	0.125358	0.059702	0.0542032	0.0447225	0.0415768	0.0444772	0.0354224	0.0395773	0.0368815	0.0210745	0.0222557	0.0227338	0.0256682	0.0334948	0.0452438
a92	0.00627394	0.00673102	0.00753595	0.00715847	0.00918081	0.019796	0.0834065	0.122886	0.0693415	0.0727611	0.0669921	0.062376	0.0618671	0.0429993	0.0591932	0.0479627	0.0402501	0.0357455	0.0371857	0.0373978	0.0455686	0.0573906
a79	0.00614752	0.00633447	0.0078978	0.00725303	0.010442	0.0269825	0.10305	0.119627	0.075718	0.0766875	0.0751038	0.0717267	0.0688768	0.0502978	0.0655057	0.0435796	0.036942	0.0294782	0.0264433	0.0255081	0.0299455	0.0364535
