 	otswende	est	un	couturier	maladroit	</S>
a87	0.365554	0.301395	0.19037	0.0870145	0.029368	0.0262979
a23	0.203705	0.140828	0.142101	0.204521	0.123282	0.185563
a87	0.321059	0.245657	0.156558	0.0988563	0.064777	0.113092
a23	0.41017	0.274991	0.150457	0.0627016	0.0427473	0.058933
a10	0.392894	0.216155	0.112566	0.0793988	0.072372	0.126614
a53	0.38919	0.204098	0.116666	0.0713657	0.0689305	0.14975
a76	0.47179	0.185881	0.0983686	0.068091	0.0838332	0.092036
a92	0.381145	0.255354	0.157725	0.0765852	0.066686	0.0625042
a44	0.441727	0.278142	0.145019	0.0503116	0.0409126	0.0438876
a11	0.448654	0.294541	0.154851	0.0357127	0.0316508	0.034591
a75	0.405215	0.316378	0.173017	0.0344137	0.0342014	0.0367744
a12	0.375745	0.243107	0.17453	0.0775209	0.0598881	0.0692096
a96	0.40883	0.293861	0.188472	0.0509793	0.0296368	0.0282211
a75	0.311331	0.319216	0.245689	0.0583376	0.0333602	0.0320673
a5	0.268359	0.22252	0.176638	0.135182	0.107748	0.0895538
a18	0.222257	0.239307	0.221333	0.136231	0.0966922	0.0841803
a24	0.16371	0.261025	0.321022	0.127375	0.0628535	0.064015
a31	0.123647	0.167793	0.28847	0.244634	0.0933925	0.0820636
a9	0.112916	0.137264	0.270992	0.266129	0.1121	0.100599
a75	0.0638301	0.107413	0.236081	0.233135	0.134866	0.224676
a5	0.0436495	0.0384867	0.0942776	0.184858	0.241543	0.397185
a61	0.0701094	0.0664025	0.139276	0.280885	0.213578	0.22975
a0	0.0296652	0.0384322	0.115392	0.287618	0.290703	0.238189
a31	0.0190759	0.0245242	0.0772519	0.237452	0.326628	0.315068
a88	0.0140064	0.0196144	0.0646782	0.211434	0.327886	0.362381
a9	0.00811371	0.0114221	0.0373373	0.159416	0.331951	0.45176
a38	0.00276017	0.00510191	0.0160008	0.088388	0.253307	0.634442
a56	0.00213007	0.00351496	0.00901434	0.0562031	0.193771	0.735366
a96	0.00226706	0.00365829	0.0119016	0.0740271	0.255506	0.65264
a98	0.000991303	0.00223036	0.0103166	0.0742354	0.240197	0.67203
a92	0.00111491	0.00211388	0.00708905	0.0639929	0.259506	0.666183
a25	0.00213823	0.00378022	0.0145483	0.0786354	0.229523	0.671375
a69	0.00100298	0.00186822	0.00829013	0.0645011	0.248194	0.676144
a58	0.000951263	0.00216886	0.00880405	0.0530993	0.190909	0.744067
a40	0.000327475	0.000949505	0.00341407	0.0313453	0.180147	0.783817
a98	0.00025253	0.000675293	0.00211393	0.0163155	0.107792	0.872851
a6	0.000587939	0.00104776	0.00325179	0.0263104	0.143497	0.825305
a37	0.000724754	0.00145193	0.0052577	0.0453339	0.182554	0.764678
a66	0.000155781	0.000539239	0.00205699	0.0278731	0.161619	0.807755
a54	0.000454767	0.00149175	0.00441318	0.0391257	0.188171	0.766344
a36	0.000497471	0.00168616	0.00530186	0.0409485	0.167074	0.784492
a2	0.00161286	0.00493144	0.0106545	0.0554875	0.169776	0.757538
a57	0.0767844	0.090896	0.0927075	0.164996	0.1834	0.391217
a10	0.151144	0.11377	0.0984584	0.196926	0.20047	0.239231
a87	0.0865531	0.0750491	0.0843027	0.168306	0.262779	0.32301
a97	0.0763288	0.0818514	0.111464	0.168309	0.245869	0.316178
a23	0.0593372	0.0731684	0.0770428	0.116525	0.225163	0.448764
a38	0.014117	0.0225656	0.03569	0.0966874	0.269489	0.561451
a97	0.0317495	0.0500732	0.0557261	0.124127	0.264868	0.473456
</S>	0.0181688	0.0262349	0.0323861	0.101178	0.229259	0.592772
