 	si	tu	entres	dans	la	cachette	de	panthères	tu	mets	ta	vie	en	péril	</S>
a82	0.0929085	0.115634	0.170005	0.0822621	0.0913016	0.114716	0.119369	0.0654014	0.0534226	0.0387905	0.0201672	0.0139112	0.0109068	0.00770215	0.00350268
a87	0.101478	0.0898083	0.121331	0.101739	0.101567	0.0922763	0.0556626	0.0451287	0.0516995	0.0396918	0.030886	0.0317884	0.0460404	0.0458245	0.0450786
a23	0.115291	0.108225	0.18584	0.0896726	0.0949535	0.0904417	0.0775108	0.0444729	0.045711	0.0289868	0.016816	0.0173149	0.0246597	0.0221802	0.037924
a97	0.114521	0.131766	0.20351	0.0979952	0.0928469	0.0855173	0.0755558	0.0418704	0.045142	0.0276705	0.0150944	0.011428	0.0186889	0.0152753	0.0231181
a87	0.116546	0.150758	0.186689	0.0973168	0.0988265	0.103128	0.077949	0.0323887	0.0337975	0.023272	0.0152731	0.0132823	0.0196242	0.0143033	0.0168462
a99	0.131464	0.152982	0.155933	0.097571	0.0991885	0.0993656	0.0687795	0.0318225	0.0346133	0.0268355	0.0181726	0.01669	0.0269776	0.0192567	0.0203488
a97	0.149205	0.167657	0.173063	0.111793	0.10343	0.0957349	0.0595231	0.0231278	0.019523	0.0143383	0.010927	0.0127204	0.0236572	0.0192952	0.0160048
a99	0.148064	0.150343	0.153498	0.10374	0.101595	0.0972061	0.0666841	0.0320273	0.0248174	0.0189979	0.0137932	0.0153872	0.0290825	0.0243948	0.0203699
a30	0.16723	0.165889	0.161534	0.106897	0.0945667	0.0893503	0.0607441	0.026324	0.0198269	0.0146682	0.0109284	0.0136106	0.0278852	0.0237903	0.0167545
a53	0.166055	0.156394	0.162641	0.0955067	0.0923865	0.0946654	0.0737602	0.0344095	0.0224233	0.0150902	0.0100408	0.0119635	0.0241541	0.0235996	0.0169103
a4	0.24765	0.149094	0.098585	0.0493527	0.047212	0.0534982	0.0563513	0.0294951	0.0270726	0.0186255	0.0163256	0.023317	0.0507373	0.0694203	0.0632625
a53	0.141127	0.11517	0.0873133	0.0466313	0.0501552	0.0651386	0.0825748	0.0577309	0.0497553	0.0375826	0.0299195	0.0323622	0.0537747	0.0800314	0.0707328
a93	0.0694871	0.0769935	0.0706658	0.0396686	0.0445569	0.0581395	0.0781121	0.0668027	0.0559601	0.0472656	0.0430869	0.044491	0.0677408	0.118841	0.118189
a34	0.0648863	0.0867973	0.0831357	0.0462352	0.0565266	0.078058	0.0973187	0.0824352	0.0616709	0.053917	0.0455955	0.0439114	0.0521546	0.0774014	0.0699564
a31	0.052628	0.0757527	0.0841292	0.0477392	0.0599643	0.0833642	0.106771	0.100609	0.0777269	0.0675974	0.0513131	0.0415764	0.0417533	0.0570508	0.0520247
a47	0.0585513	0.0796306	0.0854028	0.0496846	0.0637261	0.087848	0.111756	0.10548	0.0774934	0.0659565	0.0503087	0.0396612	0.0358221	0.0475059	0.0411735
a98	0.0555237	0.0760021	0.0882957	0.0549814	0.068047	0.0898656	0.114834	0.106569	0.0786758	0.0639959	0.0533872	0.0402964	0.0361326	0.039308	0.034086
a94	0.0410658	0.0702918	0.073422	0.0506428	0.0597202	0.071466	0.089133	0.103646	0.0876841	0.0889878	0.0777762	0.0545053	0.0400391	0.0426787	0.0489413
a70	0.0450087	0.0771642	0.0924532	0.0606154	0.0717115	0.0885562	0.112734	0.110115	0.085691	0.071528	0.0524581	0.0378631	0.0315677	0.0302115	0.0323222
a96	0.0337158	0.0579048	0.0791744	0.0563766	0.0666399	0.0818143	0.11486	0.11936	0.100904	0.0899015	0.063549	0.0416622	0.0317556	0.0298415	0.0325406
a98	0.0152466	0.0378697	0.0778721	0.0591437	0.069772	0.0841165	0.119289	0.131985	0.107234	0.0913497	0.0630721	0.0426591	0.0337498	0.0301057	0.0365346
a92	0.0171876	0.0341467	0.0588483	0.0497768	0.056009	0.0594324	0.0817277	0.109488	0.0969449	0.107459	0.101139	0.0751493	0.0525202	0.0444651	0.0557063
a79	0.0145135	0.0289543	0.0503593	0.0399601	0.0439185	0.0420161	0.0592638	0.0818975	0.0777523	0.0991089	0.111768	0.0981976	0.0801778	0.0693278	0.102785
a56	0.0142404	0.0261189	0.0481294	0.0417906	0.0460505	0.0471313	0.0672941	0.0951106	0.0883326	0.105012	0.11268	0.0974667	0.0731922	0.0590254	0.0784254
a44	0.0119839	0.0239131	0.0522527	0.0496662	0.0585706	0.0603444	0.081402	0.112967	0.0998746	0.119228	0.104905	0.0799174	0.0546173	0.0403561	0.0500012
a57	0.00761095	0.0166758	0.0487029	0.053628	0.0668413	0.0717655	0.0911452	0.126198	0.0959863	0.103363	0.0939211	0.0730855	0.0561145	0.0368022	0.0581595
a3	0.00831523	0.0184111	0.0634174	0.0658431	0.0883147	0.0929881	0.112028	0.18012	0.109609	0.0969977	0.0696916	0.0384783	0.025645	0.0143172	0.0158232
a87	0.00889492	0.019238	0.0667812	0.0638826	0.0836452	0.080115	0.0911581	0.146193	0.097286	0.0974482	0.0767413	0.0570399	0.0469097	0.0372936	0.0273732
a79	0.0232898	0.0274928	0.0654147	0.0640375	0.0769934	0.0692293	0.0636486	0.0808876	0.0630792	0.0687616	0.0590477	0.0721789	0.087843	0.106835	0.0712608
a69	0.0152021	0.0217999	0.0310471	0.0445545	0.0454202	0.0393885	0.0386049	0.0288051	0.0426927	0.0481494	0.0518221	0.0714546	0.126384	0.156223	0.238452
a4	0.00636478	0.0116729	0.0239036	0.0288404	0.0330234	0.031063	0.0355715	0.0484359	0.0411832	0.0457104	0.0550226	0.0721137	0.113669	0.17031	0.283116
a57	0.00375001	0.00765434	0.0178906	0.0218682	0.0265278	0.0263071	0.028298	0.0340875	0.027993	0.0335017	0.0471184	0.0681549	0.112119	0.209307	0.335422
a75	0.00199167	0.00718786	0.0245049	0.0350555	0.0395612	0.0352006	0.0353394	0.0447047	0.029937	0.0359559	0.0527208	0.0848111	0.133592	0.20642	0.233017
a96	0.00489306	0.00811141	0.0173848	0.0197825	0.0198339	0.0179438	0.0214668	0.0372115	0.0383007	0.0548674	0.0814064	0.101952	0.126771	0.164371	0.285704
a18	0.00145505	0.00402502	0.0150755	0.0216965	0.0259217	0.0237036	0.0272368	0.0409494	0.0297645	0.0380022	0.0559355	0.0863792	0.142895	0.190722	0.296238
a62	0.00136864	0.00378506	0.0153032	0.0229661	0.0299105	0.0273123	0.0343709	0.0615986	0.036187	0.0452249	0.0671437	0.0965411	0.144512	0.164291	0.249485
a88	0.00134506	0.00283242	0.00961478	0.0141252	0.0181001	0.0168431	0.0191892	0.0331031	0.0246338	0.0331708	0.0488006	0.0790099	0.129814	0.197784	0.371634
a71	0.00094077	0.00182154	0.00573868	0.00956874	0.0131328	0.0134719	0.0162007	0.0313395	0.0200721	0.0281061	0.0459321	0.0794487	0.137215	0.181382	0.41563
a9	0.00314506	0.00694578	0.0163472	0.0266805	0.0351801	0.0351692	0.0390459	0.0966112	0.0469907	0.058088	0.0785122	0.100573	0.123068	0.120345	0.213299
a99	0.0128142	0.0201069	0.045222	0.073706	0.077139	0.057833	0.0502412	0.0828511	0.0511007	0.0582333	0.0665674	0.0819072	0.0909539	0.0929075	0.138417
a87	0.0253716	0.0265964	0.0563685	0.100093	0.087167	0.0536112	0.0369995	0.0546909	0.0450736	0.0552355	0.0604871	0.0740108	0.0892385	0.084057	0.151
a97	0.0377692	0.0427377	0.0909171	0.135557	0.101244	0.0564424	0.0349769	0.0432034	0.0422707	0.0517485	0.050444	0.0610222	0.0723883	0.0744017	0.104877
a3	0.0616481	0.0650374	0.105557	0.122261	0.0917958	0.0558703	0.0336954	0.0397942	0.0402095	0.0451814	0.0404833	0.047681	0.0680207	0.0795967	0.103168
a99	0.0850558	0.0840478	0.126124	0.113019	0.0859065	0.0555883	0.0360869	0.040981	0.0401516	0.0425352	0.0348882	0.0386451	0.055774	0.0636944	0.0975021
a97	0.0733044	0.0745538	0.0885231	0.102534	0.0727718	0.0450798	0.0302813	0.0326368	0.0387418	0.0462217	0.0477373	0.0567338	0.0856508	0.0786419	0.126588
a87	0.0678831	0.0697086	0.0887883	0.096474	0.071922	0.043791	0.0296917	0.0327588	0.0378061	0.045879	0.0467607	0.057229	0.08409	0.0776341	0.149584
a23	0.0784146	0.0889531	0.110654	0.101048	0.0805631	0.0520735	0.0347217	0.0350849	0.0366463	0.0402618	0.0363576	0.0426924	0.06441	0.0663091	0.13181
a99	0.0262773	0.0272822	0.0337483	0.0573243	0.043026	0.0238843	0.0165071	0.0159538	0.0225483	0.0318892	0.0490955	0.0688916	0.116788	0.129033	0.337751
a97	0.0278005	0.0309675	0.0354308	0.0496229	0.0385251	0.0209328	0.0166238	0.0197653	0.0283833	0.0411689	0.0646638	0.0977894	0.138316	0.136965	0.253045
a99	0.0257268	0.0281267	0.0520426	0.0493737	0.0421692	0.0252666	0.0208716	0.0254262	0.0274061	0.0323009	0.0354922	0.047258	0.0757297	0.121991	0.390819
a97	0.0334903	0.0365188	0.0678339	0.0626754	0.0534409	0.0320199	0.0260218	0.0288166	0.0306868	0.0343493	0.0354736	0.0472241	0.0781678	0.119679	0.313602
</S>	0.0518924	0.0609289	0.103923	0.08316	0.072263	0.04559	0.0376484	0.0387707	0.0391674	0.0400349	0.035577	0.0414075	0.0584052	0.0808845	0.210347
