 	si	tu	ne	suis	pas	les	conseils	du	guérisseur	c'	est	toi-même	qui	seras	contaminé	de	rougeole	</S>
a66	0.0634529	0.0590219	0.0435957	0.0324306	0.0384964	0.0556773	0.0482672	0.0794785	0.112893	0.0853118	0.134735	0.125403	0.053561	0.0293855	0.0228719	0.00722392	0.00454433	0.00365039
a87	0.18691	0.110743	0.0655647	0.0476443	0.0440463	0.0455694	0.0324458	0.0563929	0.0734746	0.0670674	0.060041	0.0546703	0.0361699	0.0216264	0.0246309	0.0161875	0.0222621	0.0345532
a23	0.102185	0.0711439	0.0532116	0.0404698	0.0388349	0.0459302	0.0437087	0.0997865	0.154951	0.12468	0.132631	0.0583661	0.0130453	0.00396067	0.00427628	0.00341289	0.00417759	0.00522887
a87	0.0582341	0.0477561	0.0430839	0.0459699	0.0381951	0.0419918	0.0443459	0.109001	0.15957	0.136769	0.128131	0.078323	0.0259814	0.0112765	0.0106717	0.00791978	0.00689224	0.00588783
a30	0.0607585	0.0552615	0.0538716	0.0575774	0.0488678	0.047409	0.0468605	0.0934172	0.137461	0.117074	0.10789	0.0632945	0.0293905	0.0182085	0.0198985	0.0165886	0.0141658	0.0120049
a53	0.0551807	0.0511517	0.047454	0.0467909	0.0378607	0.0430876	0.0448038	0.0968848	0.159529	0.108137	0.102442	0.0606489	0.0316453	0.0282477	0.0338489	0.0222974	0.016149	0.0138414
a15	0.125796	0.143515	0.113099	0.0760676	0.0563026	0.0559373	0.029818	0.0429298	0.0589521	0.0289682	0.0307818	0.0185397	0.00986446	0.016002	0.0626075	0.0522737	0.0384831	0.0400616
a79	0.100217	0.123845	0.116527	0.0975292	0.0827223	0.0719213	0.044934	0.0485429	0.0462778	0.0328521	0.0394932	0.0309203	0.0196223	0.0224197	0.0386753	0.0292503	0.0285515	0.025699
a44	0.118007	0.132751	0.118933	0.106743	0.0796016	0.0600185	0.0410593	0.0379207	0.0346289	0.0327726	0.0437279	0.039576	0.0275343	0.0259461	0.0307051	0.024529	0.0221749	0.023372
a4	0.0609412	0.0749548	0.0952602	0.114707	0.115528	0.0913845	0.0739928	0.0560626	0.0447917	0.0408856	0.0513774	0.0420584	0.0263851	0.0237981	0.0282568	0.0238845	0.0177336	0.0179984
a57	0.0700454	0.0771581	0.0926546	0.108602	0.111296	0.0877274	0.0752503	0.0544128	0.0436511	0.0393827	0.0430076	0.0389846	0.0298822	0.0251573	0.0283045	0.0264463	0.0204737	0.0275632
a11	0.0468311	0.0492725	0.0631219	0.0825946	0.101629	0.0918682	0.0802595	0.0658992	0.0584816	0.0527961	0.0579233	0.0412154	0.0275492	0.0257827	0.0350469	0.0342993	0.0283897	0.0570399
a93	0.0399199	0.0370599	0.0455741	0.0588441	0.0806999	0.0843194	0.0766583	0.0714047	0.0675717	0.0634231	0.0647083	0.054264	0.0446584	0.0408927	0.0402487	0.036392	0.0328481	0.0605129
a90	0.0476557	0.0448202	0.0538052	0.0664859	0.0900184	0.0898243	0.0842845	0.0638549	0.0524061	0.0536395	0.050028	0.0536778	0.0547207	0.0424506	0.0382813	0.0325555	0.0276307	0.0538611
a4	0.0320536	0.0306905	0.0355173	0.042993	0.0609149	0.0686078	0.0815627	0.0652128	0.0588194	0.0620441	0.0652032	0.0727327	0.0728843	0.0637996	0.059017	0.0428623	0.0303359	0.0547489
a93	0.0168257	0.0170308	0.0213471	0.0291312	0.0457894	0.0622117	0.0912485	0.0764261	0.0654862	0.077713	0.0593932	0.0586508	0.0864461	0.0966791	0.0644826	0.043654	0.0333383	0.0541461
a90	0.0188811	0.0184083	0.0211149	0.0259815	0.0390312	0.0548592	0.0812538	0.0725432	0.0619105	0.0733969	0.0573369	0.0627916	0.0869915	0.0876972	0.0740028	0.05792	0.0401891	0.0656902
a44	0.0130357	0.0135759	0.0159432	0.0209609	0.032081	0.0460636	0.0937592	0.0690011	0.0535929	0.0647328	0.055338	0.0592445	0.0710088	0.0785705	0.0844525	0.0791579	0.0579612	0.0915205
a98	0.0102542	0.0107959	0.0130544	0.0181508	0.0275452	0.0390777	0.0764554	0.0574734	0.0496253	0.0708391	0.0559447	0.0532396	0.0781823	0.0921877	0.0785173	0.0766192	0.0711103	0.120928
a85	0.00801545	0.00822503	0.00956494	0.0122228	0.0202497	0.0352935	0.102025	0.0701221	0.0568676	0.0767782	0.0566392	0.0553213	0.0575986	0.0559456	0.0581192	0.0780965	0.0800309	0.158885
a6	0.00620165	0.00605626	0.00692917	0.00912824	0.0154189	0.0281648	0.082233	0.0669653	0.0582355	0.0823615	0.0549105	0.054044	0.0543994	0.0554859	0.0512189	0.0710486	0.0842108	0.212988
a36	0.00563254	0.00570889	0.00685178	0.00960578	0.0155282	0.0263812	0.0649436	0.0572209	0.0428798	0.0588719	0.0347028	0.0464344	0.0442892	0.0572067	0.0709188	0.100934	0.101219	0.250671
a21	0.00485089	0.00440635	0.00467435	0.00618066	0.00989606	0.0167171	0.050501	0.0511065	0.0411788	0.067504	0.0274907	0.029411	0.045664	0.0946512	0.076549	0.0893505	0.0982943	0.281574
a93	0.00670355	0.00626741	0.00626292	0.00732464	0.0112528	0.0199696	0.0422797	0.053409	0.047645	0.0629163	0.0346941	0.0417405	0.0507479	0.0605417	0.071316	0.119942	0.128467	0.228519
a34	0.00383031	0.00388817	0.00403188	0.00454956	0.00774816	0.0146368	0.0309762	0.037476	0.0281342	0.0438116	0.0203221	0.0254972	0.0393045	0.0685518	0.0900333	0.152885	0.145362	0.278961
a92	0.0035219	0.00338149	0.00328974	0.00345822	0.00596498	0.0117548	0.0229793	0.0321157	0.0272362	0.0362239	0.0176649	0.0239657	0.0282069	0.0464003	0.0742532	0.159642	0.176832	0.323109
a44	0.00221098	0.00219949	0.0022235	0.00228505	0.00407198	0.008117	0.0150216	0.0210073	0.0186631	0.024072	0.0108215	0.0143178	0.0162717	0.0322543	0.0547113	0.144055	0.196027	0.431669
a75	0.0015596	0.00164279	0.00173709	0.00185766	0.00323962	0.00608072	0.0109141	0.0141476	0.0124298	0.0168808	0.00849256	0.00913452	0.01131	0.0273715	0.0412368	0.126278	0.205169	0.500518
a6	0.00185158	0.0018495	0.00200531	0.00247161	0.00381496	0.00645324	0.0158681	0.0160699	0.0140958	0.0180977	0.00981375	0.0135819	0.0141518	0.0279692	0.0376049	0.125297	0.205091	0.483912
a37	0.00143765	0.0013236	0.00132553	0.00143884	0.00225347	0.00374626	0.00813366	0.00957352	0.00916711	0.0127844	0.00590433	0.0064616	0.00687392	0.016109	0.0297144	0.106605	0.19272	0.584428
a26	0.00130145	0.00120543	0.00114736	0.00114987	0.00184465	0.00315881	0.00600137	0.00840251	0.00785265	0.0107067	0.00515625	0.00529951	0.00542198	0.0136919	0.0271314	0.0885709	0.170793	0.641164
a57	0.00411359	0.00348383	0.00299168	0.00311815	0.00397855	0.00548633	0.00964483	0.0172964	0.0268179	0.0289434	0.024541	0.0208618	0.0182099	0.0388823	0.0707157	0.161415	0.19981	0.35969
a87	0.0130503	0.00984015	0.00860446	0.00942462	0.0112342	0.0158834	0.0346977	0.0751645	0.116257	0.0941998	0.0615777	0.0503921	0.033284	0.0635323	0.0669721	0.101772	0.0893765	0.144737
a23	0.0272091	0.015841	0.0116291	0.011019	0.0117624	0.0155288	0.0368711	0.0713954	0.100712	0.108949	0.0936193	0.101796	0.0684563	0.0757775	0.0597698	0.0714389	0.0564828	0.0617422
a13	0.0247201	0.0118878	0.00882284	0.00817571	0.0073246	0.00743766	0.0130387	0.0200771	0.0278558	0.0380525	0.0317278	0.0424747	0.0406182	0.0441368	0.0504912	0.111595	0.173673	0.337891
a99	0.00832804	0.00434211	0.00297243	0.00293992	0.00247253	0.00251401	0.00675354	0.0109501	0.017077	0.0286813	0.0220807	0.0307282	0.0277874	0.0375381	0.0428004	0.114254	0.183905	0.453875
a70	0.00726632	0.00401077	0.00310439	0.00329672	0.00370693	0.00437968	0.0120463	0.0175955	0.0292724	0.0483058	0.0361777	0.0460163	0.0361673	0.0389999	0.0340362	0.0941403	0.145594	0.435883
a83	0.000589839	0.000324898	0.000235741	0.000256259	0.000316463	0.000500081	0.00145888	0.00193108	0.00229524	0.00371105	0.00254617	0.00567194	0.00716845	0.0241637	0.0569031	0.151909	0.226057	0.513961
a62	0.000564132	0.000347666	0.000261534	0.000273604	0.000362506	0.00059102	0.00146879	0.00170969	0.00182811	0.00279877	0.00218045	0.00485512	0.00798287	0.0281771	0.0637319	0.172941	0.219004	0.490922
a83	0.00150301	0.000952936	0.000708543	0.00072963	0.000852417	0.0010803	0.00219092	0.00229963	0.00221538	0.00375582	0.00339933	0.00779385	0.0129798	0.0358404	0.0750136	0.187771	0.219679	0.441234
a62	0.000520137	0.000383412	0.000322294	0.000355173	0.000453031	0.000684187	0.0017365	0.00196913	0.00204609	0.00298028	0.00257832	0.00535871	0.00842234	0.0311673	0.0605302	0.175259	0.222101	0.483133
