 	j'	ai	attrapé	une	anguille	dans	la	nasse	etambo	</S>
a66	0.342243	0.197327	0.100422	0.0560807	0.0731947	0.0716231	0.0656239	0.0494401	0.0249563	0.0190888
a87	0.345657	0.182175	0.081022	0.0478382	0.0549354	0.0508836	0.0886583	0.0720285	0.0442436	0.0325582
a10	0.299612	0.194105	0.160073	0.100286	0.0783544	0.0527965	0.0363066	0.0272259	0.0315906	0.0196501
a87	0.280195	0.237915	0.228582	0.139623	0.0566304	0.0229435	0.0138749	0.00794904	0.00624647	0.00603989
a23	0.312465	0.247616	0.211911	0.118551	0.0479395	0.0217028	0.0151184	0.00935849	0.00747404	0.00786456
a99	0.335894	0.219783	0.19196	0.131445	0.058692	0.0213612	0.0121924	0.00943884	0.00919041	0.0100434
a50	0.413362	0.219307	0.144747	0.0873476	0.0566366	0.0275599	0.0154823	0.0135139	0.0116838	0.0103598
a31	0.37739	0.21228	0.140426	0.104474	0.0811662	0.0438784	0.0182024	0.0100893	0.00723947	0.00485354
a88	0.188658	0.171371	0.181633	0.183262	0.142667	0.0731445	0.0303954	0.0133748	0.00856924	0.00692547
a62	0.0852609	0.107243	0.16604	0.177135	0.162521	0.124655	0.076968	0.0448059	0.0316747	0.0236966
a31	0.072542	0.102133	0.197661	0.218232	0.21907	0.116496	0.0413397	0.0154048	0.00908705	0.00803392
a21	0.0465794	0.0666927	0.138369	0.200116	0.258138	0.181711	0.0647943	0.0220149	0.0122595	0.00932456
a92	0.0383465	0.0442772	0.0823217	0.153371	0.253774	0.224905	0.120633	0.0411124	0.0231296	0.0181305
a56	0.0172177	0.0199906	0.0375161	0.124399	0.241892	0.256845	0.154921	0.0595245	0.0431731	0.0445216
a25	0.0156905	0.0179892	0.0326069	0.0953981	0.192805	0.20685	0.170858	0.0973691	0.0848664	0.0855658
a21	0.012566	0.0108961	0.0132978	0.0366072	0.0837329	0.119307	0.186139	0.177062	0.198047	0.162346
a5	0.00488745	0.0048191	0.00725645	0.0163796	0.0468571	0.0924734	0.163381	0.211672	0.242705	0.209569
a23	0.00290671	0.00250548	0.00339437	0.0094554	0.0257954	0.0699827	0.15465	0.222289	0.259055	0.249965
a75	0.00247286	0.00182077	0.00202005	0.00588994	0.0136592	0.0417532	0.104867	0.192133	0.328777	0.306607
a85	0.00145478	0.00106587	0.00137948	0.00295147	0.00906047	0.0323015	0.0762273	0.159033	0.322968	0.393557
a6	0.000900066	0.000548501	0.000445724	0.000719885	0.00155721	0.00992383	0.0424616	0.128817	0.403001	0.411625
a37	0.0006582	0.00048079	0.000586943	0.0010073	0.00174094	0.00672214	0.0224545	0.0787236	0.30322	0.584406
a26	0.000610758	0.000282952	0.000187021	0.000372169	0.000567484	0.00286282	0.0151106	0.0894838	0.331926	0.558596
a82	0.00589277	0.00417891	0.00266233	0.00282531	0.00458331	0.0177982	0.0510767	0.126801	0.321783	0.462399
a3	0.0860506	0.0539982	0.0486016	0.0473505	0.0507941	0.0679135	0.083183	0.111369	0.181984	0.268755
a99	0.201124	0.106494	0.0581461	0.0332537	0.0407431	0.0661012	0.0841313	0.108705	0.128918	0.172383
a87	0.169437	0.100464	0.061527	0.0338782	0.0350546	0.0779945	0.117081	0.138958	0.142744	0.122862
a23	0.111036	0.0853801	0.0699773	0.0520346	0.0688424	0.118988	0.121841	0.112546	0.138105	0.12125
a99	0.0319496	0.0254763	0.0199844	0.0164876	0.015161	0.0202906	0.0491185	0.10212	0.339106	0.380306
a97	0.019399	0.0143356	0.013363	0.0174914	0.0269168	0.0410933	0.0828468	0.128076	0.32029	0.336188
a2	0.0135627	0.00990249	0.00992039	0.0116253	0.014338	0.0230317	0.0486926	0.0876888	0.317429	0.463809
</S>	0.0397382	0.0269884	0.0247027	0.0231739	0.0286392	0.0549002	0.0931735	0.113376	0.258938	0.33637
