 	avec	toute	l'	ostentation	dont	tu	fais	montre	as-tu	vraiment	de	l'	argent	</S>
a66	0.22253	0.172822	0.190153	0.108402	0.0492737	0.0375951	0.0365864	0.028168	0.0345749	0.0518283	0.0307198	0.0156565	0.0106177	0.0110717
a87	0.283219	0.203664	0.22799	0.104127	0.0355965	0.019043	0.0199001	0.0217599	0.0240118	0.0217709	0.0140035	0.00890981	0.00771479	0.00828967
a23	0.290987	0.303876	0.187938	0.0962375	0.0425445	0.0184988	0.0164376	0.0122738	0.0100609	0.00577462	0.00362268	0.00283531	0.00350157	0.00541168
a83	0.234884	0.27287	0.213274	0.0844031	0.0492089	0.021181	0.0228327	0.0227365	0.0187669	0.0105209	0.00848798	0.00937505	0.0125998	0.0188599
a18	0.179965	0.13976	0.15982	0.0727587	0.057356	0.0379116	0.0403568	0.0418363	0.0459468	0.0301657	0.0316565	0.0431028	0.0532402	0.066124
a75	0.184827	0.170044	0.22394	0.128505	0.0833986	0.0503256	0.0340833	0.0190463	0.0148408	0.0101111	0.0144261	0.0186504	0.0217764	0.026025
a85	0.152611	0.15976	0.239267	0.116053	0.0703018	0.0403332	0.0388208	0.0273066	0.0236125	0.0153951	0.0172807	0.0258609	0.0337058	0.0396911
a47	0.0732921	0.0905885	0.140055	0.103664	0.105086	0.103917	0.0965904	0.0628738	0.047773	0.0330194	0.0299915	0.0330454	0.0369328	0.0431708
a85	0.0515778	0.049624	0.067821	0.0795249	0.112785	0.142065	0.16799	0.102833	0.062153	0.0326674	0.0266697	0.0272343	0.0327462	0.0443086
a5	0.0299394	0.030703	0.0411584	0.0682958	0.113527	0.145299	0.176628	0.143427	0.0833736	0.0431331	0.0292381	0.0253906	0.0296137	0.0402727
a12	0.0638541	0.055298	0.0861827	0.09444	0.14607	0.153263	0.137697	0.111106	0.0653133	0.0340781	0.0166492	0.0113158	0.0112317	0.0135014
a61	0.0365013	0.0267693	0.0386608	0.0601487	0.112802	0.159241	0.182279	0.155725	0.10626	0.0506125	0.0233669	0.0152216	0.0149287	0.0174824
a21	0.0258093	0.0195467	0.0238366	0.0334611	0.0630826	0.113907	0.18141	0.183728	0.164484	0.0856841	0.0392852	0.0227236	0.0201841	0.0228576
a92	0.0148805	0.0114465	0.0127582	0.0189141	0.0374631	0.0780421	0.13989	0.195334	0.206147	0.13151	0.0605411	0.0325895	0.0284155	0.0320684
a37	0.0117147	0.00806938	0.00727489	0.0119579	0.0253155	0.0529079	0.110148	0.18788	0.200786	0.121576	0.079642	0.0564854	0.0566876	0.0695555
a61	0.0161479	0.0116439	0.00866695	0.0122188	0.0199266	0.0390542	0.11064	0.178079	0.230972	0.142628	0.0710023	0.0448969	0.0478033	0.066321
a83	0.0123038	0.00986079	0.00871641	0.0118712	0.0174565	0.0351127	0.0756501	0.131481	0.21429	0.195214	0.115318	0.0629256	0.0522847	0.0575148
a9	0.0115066	0.0097031	0.00789134	0.0110208	0.0145775	0.0238478	0.0584843	0.112182	0.180392	0.196553	0.126865	0.078834	0.0733021	0.0948403
a87	0.0218725	0.025319	0.0200374	0.0291969	0.0346992	0.0373991	0.0771058	0.106777	0.172633	0.190592	0.0994248	0.065312	0.0530849	0.0665452
a23	0.0451194	0.0479243	0.0439106	0.0455788	0.0464279	0.0437364	0.0523601	0.0716844	0.116405	0.172859	0.114421	0.0729422	0.056993	0.0696383
a18	0.040899	0.0326744	0.0235258	0.0220411	0.0236852	0.0212699	0.0278738	0.0503609	0.0797279	0.0974649	0.117213	0.115797	0.141729	0.205738
a44	0.00721877	0.00563267	0.00526737	0.00539018	0.00771096	0.00811846	0.0145619	0.0403223	0.0626332	0.0830105	0.123985	0.149573	0.204704	0.281872
a4	0.0019925	0.00145601	0.00169242	0.00190891	0.00357641	0.00386609	0.00961652	0.021981	0.0379828	0.0599831	0.103536	0.159691	0.254278	0.338439
a58	0.00379515	0.00287413	0.00251013	0.00252055	0.0035631	0.0044783	0.0117168	0.0212153	0.0367435	0.0583996	0.0994086	0.169224	0.257205	0.326346
a53	0.00463971	0.00384788	0.00305699	0.00249906	0.00345742	0.00391909	0.0106444	0.0253029	0.0570726	0.0764532	0.116459	0.176318	0.243247	0.273082
a56	0.00333816	0.00279617	0.00240726	0.00266434	0.00370026	0.004215	0.0100472	0.0176662	0.0373278	0.0593701	0.083382	0.148475	0.251873	0.372738
a44	0.000981518	0.000775394	0.000625566	0.000949836	0.00153095	0.00235501	0.00651368	0.0152273	0.0312976	0.0568011	0.089607	0.162467	0.258186	0.372682
a34	0.000879435	0.000689249	0.00058077	0.000898904	0.00143298	0.00192942	0.00578724	0.0135444	0.0291039	0.0520957	0.0784196	0.156316	0.270581	0.387742
a75	0.000734754	0.000662147	0.000472826	0.000688512	0.000954994	0.00161912	0.00374679	0.0110941	0.0217045	0.0429239	0.0782262	0.162094	0.287599	0.38748
a85	0.000260604	0.000250315	0.000204297	0.000401331	0.000739089	0.00111585	0.00362652	0.0105816	0.0205124	0.0446924	0.0739873	0.152034	0.269109	0.422485
a92	0.000348343	0.000300102	0.000175989	0.000427427	0.000884338	0.00145064	0.00532829	0.0147902	0.0248925	0.034846	0.0519626	0.11261	0.27217	0.479814
a37	0.000391779	0.000366413	0.000302655	0.000642792	0.00118698	0.00171607	0.00517912	0.0133657	0.0257904	0.0409112	0.0555222	0.123798	0.282554	0.448272
a21	0.000839339	0.00067783	0.000484879	0.000799177	0.00113503	0.00127694	0.00258609	0.0048367	0.0103863	0.0231565	0.037715	0.101536	0.272226	0.542344
a5	0.000457965	0.000416222	0.00026964	0.000328862	0.000394415	0.000606957	0.00152419	0.00406305	0.0092992	0.0247743	0.052887	0.127672	0.283587	0.493719
a36	0.000393889	0.000349105	0.000230171	0.00032537	0.000484702	0.000710285	0.00175625	0.00419608	0.00837339	0.0182786	0.034611	0.0998655	0.265756	0.564669
a27	0.00210275	0.00177288	0.0012537	0.00188699	0.00283073	0.00320507	0.00592173	0.00980529	0.0107205	0.0164888	0.0286206	0.0884151	0.269001	0.557975
a82	0.045364	0.0376542	0.0248371	0.0333889	0.0289683	0.0295974	0.0323207	0.0297196	0.0196657	0.0259113	0.0485363	0.101428	0.224063	0.318545
a87	0.145227	0.114877	0.0752963	0.0556878	0.0339945	0.0328218	0.0306178	0.0252521	0.0180803	0.0274311	0.0461955	0.0783748	0.142814	0.17333
a23	0.162511	0.133203	0.0899457	0.0758805	0.0373518	0.0351049	0.0376374	0.0310063	0.0279666	0.0493561	0.0628419	0.0692742	0.0893969	0.098524
a87	0.0851664	0.0892696	0.0677025	0.0682748	0.0382498	0.0255347	0.0247693	0.017402	0.0202533	0.0347394	0.0649964	0.0942667	0.149925	0.21945
</S>	0.0379843	0.0362863	0.0211288	0.0178493	0.0145418	0.0109786	0.0140711	0.0154633	0.0196529	0.0222416	0.045794	0.086119	0.21122	0.446669
