 	les	femmes	de	l'	association	folklorique	etouri-ikanga	dansent	avec	des	jupes	de	raphia	</S>
a66	0.121677	0.169433	0.158499	0.122627	0.131777	0.156955	0.0556143	0.0396759	0.0148637	0.00839948	0.00661681	0.0052092	0.00442546	0.00422758
a87	0.355255	0.190936	0.101814	0.0663846	0.062918	0.0660893	0.0200831	0.028641	0.0207533	0.0173145	0.0232892	0.017938	0.0156629	0.0129221
a23	0.24754	0.139699	0.11964	0.0958322	0.150827	0.105256	0.0304514	0.032743	0.0217837	0.0119655	0.0110276	0.00990442	0.0121538	0.0111757
a40	0.169998	0.103908	0.105297	0.0937771	0.167162	0.104865	0.0418694	0.0666432	0.0404847	0.0243542	0.0194359	0.0167185	0.0208516	0.0246355
a37	0.199203	0.102327	0.081688	0.0632581	0.0631956	0.0632159	0.051339	0.108124	0.0799109	0.0566054	0.0506869	0.0336087	0.0241407	0.0226962
a18	0.239125	0.208948	0.137312	0.0672025	0.0769293	0.0849817	0.0451245	0.0506744	0.0251844	0.0181303	0.0136745	0.0110161	0.00980193	0.0118954
a61	0.206792	0.164573	0.134588	0.0837066	0.0971599	0.0951394	0.0769879	0.0639596	0.0263916	0.018993	0.0109654	0.00744903	0.00594252	0.00735153
a62	0.138657	0.122992	0.115723	0.0850653	0.115754	0.111538	0.113751	0.0954119	0.041398	0.0232139	0.0128325	0.00923427	0.00674874	0.00768068
a88	0.0688906	0.0711502	0.0897225	0.0791859	0.128129	0.1171	0.154467	0.139236	0.0629165	0.0342373	0.0191756	0.0137993	0.0103097	0.0116811
a70	0.0546836	0.0589919	0.0796258	0.0767422	0.11832	0.110871	0.154653	0.14123	0.0710994	0.0378704	0.0267903	0.0239249	0.0211128	0.0240847
a93	0.0525302	0.0542818	0.0693985	0.0675407	0.111141	0.108692	0.154012	0.149336	0.0797289	0.0384223	0.0301106	0.0282406	0.0260888	0.0304765
a34	0.0522485	0.060955	0.079717	0.0789537	0.121521	0.123239	0.145734	0.12649	0.064844	0.0325341	0.0285216	0.0283811	0.0262961	0.0305645
a96	0.0417603	0.0581007	0.0795576	0.0796667	0.125494	0.146552	0.140211	0.11239	0.0654358	0.0359948	0.0325011	0.0294221	0.0252133	0.0277
a83	0.0202568	0.0310238	0.0462474	0.0611564	0.113908	0.154988	0.150892	0.130237	0.0914045	0.0537829	0.0473195	0.0374184	0.0301822	0.031182
a75	0.0114187	0.0187475	0.030116	0.0509035	0.109459	0.145424	0.157776	0.157965	0.105076	0.0652549	0.0529935	0.0380265	0.0290121	0.0278276
a85	0.00816945	0.0158373	0.0258616	0.0343877	0.0706094	0.0980043	0.110989	0.110531	0.10204	0.0841804	0.0960464	0.0918614	0.0779177	0.0735645
a37	0.00859299	0.0166177	0.024063	0.0322238	0.054966	0.0693249	0.111027	0.116875	0.0991956	0.0859577	0.0947279	0.0959307	0.0941981	0.0962994
a79	0.00567343	0.0093005	0.0164456	0.0317014	0.0730807	0.0928818	0.0936091	0.0988749	0.118504	0.0966941	0.106645	0.0897329	0.0831283	0.0837282
a98	0.00340689	0.00418261	0.00668766	0.0118115	0.0260799	0.0353703	0.0369468	0.0420833	0.0795855	0.103638	0.147045	0.160527	0.165005	0.177631
a47	0.00250605	0.00321262	0.00502552	0.00891445	0.0181509	0.0245074	0.0366473	0.0466419	0.0821111	0.100582	0.137525	0.149622	0.172753	0.211801
a36	0.00248024	0.00300399	0.00445995	0.00873812	0.017231	0.0225551	0.0351455	0.0394206	0.0750811	0.106471	0.142545	0.140265	0.175342	0.227261
a37	0.00768807	0.00743958	0.00882534	0.0143088	0.0244742	0.0300224	0.0383686	0.0391385	0.0727135	0.105085	0.130154	0.129862	0.172203	0.219718
a96	0.00260676	0.00240539	0.00274482	0.00403577	0.00651187	0.00838559	0.0120353	0.0159537	0.0501434	0.0894258	0.130964	0.167599	0.238794	0.268395
a12	0.00216924	0.00215269	0.00282957	0.00394445	0.00531428	0.00658076	0.00815306	0.0102746	0.0404616	0.0817476	0.12064	0.184471	0.270875	0.260386
a96	0.00240728	0.0022886	0.00236558	0.00279125	0.00326633	0.00477425	0.00686019	0.00875075	0.0339038	0.0655382	0.0985457	0.169206	0.286149	0.313153
a62	0.00180802	0.00197621	0.00228105	0.00282969	0.00354423	0.00518162	0.00672158	0.00850406	0.0298484	0.0667359	0.0952738	0.164879	0.292729	0.317687
a88	0.00165604	0.0016589	0.00165366	0.00198116	0.0024412	0.00375404	0.00552757	0.00727821	0.0268728	0.057318	0.0834728	0.155443	0.294954	0.355989
a71	0.00112549	0.00143757	0.00208056	0.00298946	0.00533578	0.00856782	0.0089351	0.0102226	0.0294783	0.0582382	0.0752825	0.142212	0.287797	0.366298
a38	0.0021928	0.00247876	0.00408959	0.005948	0.00961489	0.0129172	0.0120482	0.0128769	0.0364904	0.0606295	0.0781964	0.137656	0.278998	0.345863
a66	0.00262959	0.00255529	0.00371568	0.00526648	0.00692793	0.00826943	0.00813522	0.00920569	0.0273696	0.052109	0.0757023	0.144001	0.298941	0.355172
a38	0.00349722	0.00334222	0.00489529	0.00677617	0.00810599	0.00842879	0.00950852	0.0112709	0.0295247	0.0554868	0.0836252	0.141554	0.281624	0.35236
a84	0.00136118	0.0013013	0.00215708	0.00388164	0.0051402	0.00562269	0.00651652	0.00816402	0.022474	0.0420847	0.0659554	0.133742	0.299911	0.401687
a57	0.0106818	0.00892264	0.00996394	0.0110088	0.0137224	0.0165809	0.018427	0.0185703	0.0359404	0.067672	0.0936284	0.147279	0.245362	0.302241
a3	0.0323656	0.021889	0.0197108	0.0219419	0.0244346	0.0269924	0.0293209	0.0303429	0.0473896	0.072761	0.0889642	0.128939	0.206005	0.248942
a97	0.0547711	0.0339329	0.0300862	0.0343615	0.0405588	0.0410609	0.0317063	0.0294849	0.0491491	0.0762719	0.0923887	0.125802	0.169916	0.19051
a87	0.097085	0.059271	0.0585765	0.0688649	0.0907876	0.0757502	0.0339295	0.0285019	0.0426631	0.057529	0.0737457	0.0893086	0.108456	0.115531
a23	0.114262	0.0583688	0.0555176	0.0640389	0.0992061	0.0928154	0.0370445	0.0285946	0.0344082	0.043304	0.0603678	0.0829105	0.106047	0.123115
a99	0.0318215	0.0185619	0.0156901	0.018953	0.0212629	0.0242407	0.0190382	0.0249002	0.0436297	0.0628257	0.10878	0.150348	0.230942	0.229006
a3	0.042371	0.0226843	0.0168098	0.0196266	0.0269375	0.0252288	0.0341003	0.0463006	0.0579911	0.0724282	0.0978881	0.140468	0.201611	0.195555
a87	0.0136273	0.00800584	0.00669458	0.00915585	0.0148615	0.0119423	0.0108893	0.0172938	0.0356466	0.0494501	0.0881241	0.154389	0.272756	0.307163
a82	0.0353057	0.0174827	0.0135156	0.0162099	0.0376014	0.0321063	0.0183825	0.019032	0.0281121	0.0372985	0.0680529	0.121399	0.237505	0.317997
</S>	0.0416236	0.0254295	0.0253314	0.0370944	0.083298	0.0663729	0.0284036	0.0289914	0.0346025	0.0386696	0.0671074	0.107605	0.185253	0.230218
