 	j'	ai	souffert	pour	décrasser	la	chambre	où	logeait	le	malade	</S>
a87	0.156119	0.066617	0.043461	0.0355049	0.0375741	0.15752	0.269659	0.100229	0.0412764	0.0281852	0.0324788	0.0313753
a23	0.259813	0.180241	0.0494939	0.0265513	0.0188508	0.0562701	0.0661062	0.0580218	0.0273608	0.0390419	0.0693536	0.148895
a99	0.186413	0.24663	0.083707	0.0562711	0.0347988	0.054864	0.0594715	0.0329082	0.0185813	0.0271366	0.0618574	0.137361
a62	0.411131	0.211839	0.100755	0.0609061	0.0221214	0.0528783	0.0358517	0.0194858	0.0118062	0.0117305	0.0194489	0.0420469
a88	0.398048	0.26463	0.124602	0.0830353	0.0474412	0.0379681	0.0232114	0.00922909	0.00328684	0.00202502	0.0024543	0.00406872
a9	0.255908	0.246911	0.157753	0.145955	0.0737182	0.036088	0.0242035	0.0155711	0.00961637	0.00738962	0.0104535	0.0164327
a38	0.139661	0.154675	0.128025	0.141896	0.0610761	0.0350487	0.0240885	0.0265341	0.032366	0.0441868	0.0807213	0.131721
a21	0.196349	0.198597	0.185089	0.179654	0.0685976	0.0416424	0.021282	0.0143156	0.0125072	0.0140027	0.0243289	0.0436352
a47	0.136213	0.168521	0.145287	0.173511	0.155984	0.0989783	0.0627653	0.02312	0.00928546	0.00696369	0.00873133	0.0106395
a18	0.0842922	0.109511	0.108133	0.143762	0.229181	0.140005	0.0874576	0.0342957	0.0163613	0.0138004	0.0155973	0.0176033
a25	0.0579177	0.0886157	0.0993179	0.124116	0.188086	0.124792	0.0900506	0.0669326	0.0409678	0.033056	0.0374882	0.0486587
a10	0.038831	0.0585938	0.0756017	0.106709	0.164197	0.156266	0.124929	0.101366	0.0502187	0.0338853	0.0394953	0.0499072
a62	0.0246688	0.0443605	0.0542079	0.0704554	0.103145	0.128403	0.110248	0.118537	0.0744913	0.0721763	0.0880645	0.111242
a21	0.0346472	0.044287	0.0517004	0.0638153	0.148347	0.167442	0.196007	0.148132	0.0558403	0.0281446	0.0281568	0.0334809
a5	0.0541348	0.0671403	0.0730266	0.0828632	0.188353	0.16666	0.121001	0.0936918	0.0549123	0.0378578	0.0303478	0.0300112
a75	0.0577489	0.0657055	0.0717881	0.0802631	0.129605	0.145125	0.137401	0.110185	0.0726143	0.0456639	0.0402734	0.043628
a25	0.0443781	0.0459065	0.0575047	0.0670765	0.0965027	0.120267	0.15399	0.134869	0.0929129	0.0658265	0.0569325	0.0638331
a69	0.021083	0.0247249	0.0295467	0.0405163	0.0752958	0.0937866	0.155721	0.176739	0.108752	0.0855173	0.0820211	0.106296
a84	0.0229838	0.0269513	0.0307456	0.0451546	0.0613327	0.0559985	0.0862962	0.116511	0.115252	0.128463	0.135082	0.175229
