 	cette	femme	a	pris	l'	habitude	de	taper	ses	enfants	</S>
a66	0.266986	0.210676	0.166371	0.124312	0.0938943	0.0681534	0.0377855	0.0144867	0.00710192	0.00515173	0.00508066
a10	0.238464	0.167989	0.127777	0.080412	0.0723725	0.0920652	0.0742833	0.0480591	0.0355731	0.03112	0.0318842
a87	0.313622	0.221869	0.143528	0.086118	0.0687504	0.0502941	0.0267598	0.0217215	0.0185339	0.0222079	0.0265955
a23	0.278625	0.220189	0.150777	0.098141	0.0918281	0.0726381	0.0320623	0.0199035	0.0127397	0.0110957	0.0120003
a99	0.246405	0.180386	0.107311	0.0819629	0.0988917	0.0828049	0.0508108	0.0387678	0.0308511	0.036576	0.0452333
a97	0.208046	0.188536	0.134966	0.109153	0.0926673	0.0874635	0.0402198	0.0382015	0.030665	0.0319857	0.0380969
a30	0.216558	0.206732	0.144281	0.117798	0.0981341	0.102725	0.0403152	0.0279039	0.0156498	0.0139348	0.0159681
a93	0.229915	0.2134	0.147333	0.121203	0.0958963	0.107961	0.0299366	0.0214379	0.0114029	0.0101482	0.0113656
a34	0.177492	0.183685	0.174265	0.149978	0.114872	0.116135	0.0421757	0.0181282	0.00891092	0.0071452	0.00721293
a93	0.148325	0.170083	0.181075	0.169742	0.119884	0.118785	0.0450276	0.0188062	0.0109041	0.00885123	0.00851597
a90	0.109466	0.12447	0.152826	0.187722	0.147137	0.145821	0.0605538	0.0263375	0.0174821	0.0141239	0.0140599
a25	0.0738045	0.0923524	0.132646	0.17922	0.143434	0.16076	0.0858958	0.0419227	0.0345559	0.0281367	0.0272715
a79	0.060426	0.0826509	0.117058	0.142013	0.113523	0.153274	0.101424	0.0577384	0.0563435	0.0571542	0.0583943
a56	0.0637198	0.0722273	0.0873766	0.112237	0.0951599	0.1346	0.0950588	0.0727958	0.0804772	0.0889314	0.0974162
a44	0.0996743	0.105515	0.118465	0.129183	0.103843	0.122802	0.0944303	0.0605516	0.0567768	0.0537947	0.0549656
a93	0.057867	0.069995	0.0828229	0.103694	0.109594	0.125266	0.12674	0.091516	0.0804372	0.0746783	0.0773905
a75	0.0390113	0.0455195	0.0519427	0.0667391	0.0767542	0.0867153	0.110053	0.100027	0.120401	0.144926	0.157912
a21	0.0146031	0.0169083	0.0215706	0.0365462	0.0573003	0.082862	0.156142	0.195435	0.156631	0.128237	0.133766
a47	0.00512152	0.00478521	0.00552404	0.00780215	0.0123507	0.018866	0.0614439	0.14651	0.220476	0.243477	0.273644
a34	0.00434606	0.00382002	0.00351143	0.00491976	0.00740537	0.00932418	0.0325589	0.114648	0.226202	0.28364	0.309624
a56	0.00121017	0.00107897	0.0010139	0.0015347	0.00223045	0.00283899	0.010816	0.0593509	0.173915	0.323353	0.422657
a24	0.00108068	0.000964409	0.000923693	0.00140253	0.00210035	0.00303254	0.0113815	0.0632733	0.166789	0.305633	0.443419
a41	0.000649544	0.000574887	0.000488368	0.000700871	0.00103829	0.00181335	0.00724532	0.043668	0.129352	0.293318	0.521151
a47	0.00232991	0.00192541	0.0017013	0.0020564	0.00284229	0.00496443	0.0166544	0.0657711	0.151231	0.29772	0.452804
a34	0.00334217	0.00286471	0.0026769	0.00317416	0.00415957	0.00651437	0.0196954	0.0693972	0.156112	0.298019	0.434044
a21	0.000822666	0.000821328	0.000801608	0.00119159	0.00174788	0.00297585	0.0104849	0.0549361	0.157654	0.302813	0.465751
a92	0.000379886	0.00038294	0.000390064	0.000550483	0.000784923	0.00119164	0.00447687	0.0307136	0.114324	0.320197	0.526608
a85	0.000358985	0.00037411	0.000377154	0.000563983	0.00085175	0.00125048	0.00417412	0.0265537	0.096288	0.310101	0.559106
a6	0.000501613	0.000506988	0.000506653	0.000686519	0.000988997	0.00133908	0.00429661	0.0270937	0.100707	0.317194	0.546179
a98	0.000574834	0.000494912	0.000517935	0.000762998	0.001246	0.00264184	0.0102354	0.0526968	0.152755	0.308005	0.470069
a85	0.000358967	0.000364792	0.000399751	0.000533626	0.000821388	0.00163609	0.00801661	0.0479595	0.158103	0.323482	0.458325
a47	0.000471912	0.000477423	0.000475044	0.000577869	0.000758793	0.00118691	0.00459209	0.0291685	0.12288	0.324825	0.514586
a36	0.00047955	0.000543026	0.000685128	0.000894032	0.00124469	0.0021291	0.00747896	0.0408662	0.131328	0.327705	0.486646
a2	0.00397971	0.00509437	0.00732372	0.00988826	0.0144362	0.027756	0.0709636	0.157654	0.204522	0.228876	0.269506
a57	0.0759788	0.0712363	0.0747285	0.0869502	0.084146	0.0782302	0.0849136	0.0930009	0.107398	0.115149	0.128269
a87	0.309338	0.185952	0.113831	0.0767627	0.0706212	0.058459	0.0418643	0.0393149	0.0354738	0.0336563	0.0347268
a97	0.179635	0.120742	0.0740755	0.0480161	0.0496416	0.0520986	0.0572007	0.0865825	0.117555	0.105284	0.109168
a3	0.110202	0.0851487	0.0621559	0.0507547	0.0629139	0.0733412	0.0820249	0.113689	0.116125	0.115669	0.127976
a97	0.0926147	0.0740743	0.0558517	0.0476356	0.0544604	0.059268	0.0574578	0.09345	0.120526	0.156385	0.188277
a99	0.0758553	0.0694344	0.0589431	0.0558913	0.0622632	0.0681041	0.059778	0.0917512	0.111416	0.152166	0.194397
a97	0.0236819	0.0179402	0.0130564	0.0124075	0.0135521	0.0160108	0.0181955	0.0523412	0.13139	0.284519	0.416906
</S>	0.0646862	0.0543731	0.0391216	0.0342601	0.0373455	0.0363952	0.0301031	0.0615286	0.112236	0.221255	0.308695
