 	beaucoup	de	guerriers	meurent	au	combat	</S>
a66	0.333422	0.380464	0.20829	0.0415634	0.0180659	0.0092208	0.00897431
a87	0.607596	0.289759	0.0636458	0.0106858	0.00738688	0.00731277	0.0136139
a23	0.651603	0.230869	0.071024	0.0125188	0.00712478	0.00940519	0.0174561
a40	0.617586	0.187611	0.0531923	0.0136536	0.0163241	0.0289405	0.0826925
a7	0.422467	0.263714	0.152698	0.0432268	0.033017	0.0332359	0.0516421
a36	0.225251	0.265962	0.356155	0.0574738	0.0263062	0.0273737	0.0414787
a6	0.136279	0.199764	0.450725	0.109142	0.0313231	0.028925	0.0438422
a5	0.0822039	0.158716	0.469361	0.177713	0.0455256	0.0279953	0.0384847
a18	0.182845	0.198921	0.36483	0.144373	0.0440876	0.0284016	0.0365429
a31	0.112259	0.135679	0.34108	0.212461	0.0710479	0.0534028	0.0740703
a88	0.110987	0.130244	0.313501	0.251615	0.0830868	0.0494747	0.0610917
a54	0.0641916	0.0736461	0.188148	0.363717	0.141594	0.0745358	0.0941682
a47	0.0239335	0.0294745	0.0739866	0.181408	0.240865	0.211922	0.238411
a15	0.0299592	0.0354842	0.0735967	0.175779	0.197381	0.177713	0.310087
a79	0.0159096	0.0188918	0.0548819	0.196116	0.232891	0.184981	0.296329
a15	0.011127	0.0148323	0.0404908	0.168443	0.267607	0.199645	0.297855
a98	0.00748405	0.00828928	0.0167457	0.1056	0.250012	0.237755	0.374113
a15	0.00739155	0.00731059	0.0129141	0.0733695	0.229778	0.24736	0.421876
a47	0.00373983	0.00336365	0.00568577	0.0349389	0.162918	0.294989	0.494365
a0	0.00234441	0.00168072	0.00369255	0.0318784	0.133376	0.28226	0.544768
a75	0.00367262	0.00270706	0.00581835	0.0277976	0.102496	0.277949	0.57956
a6	0.000780317	0.000652288	0.00139993	0.0118464	0.107328	0.341985	0.536008
a36	0.000652426	0.000582316	0.00128119	0.0117672	0.090948	0.345651	0.549117
a18	0.00195758	0.00168337	0.00348806	0.0174589	0.0815445	0.296295	0.597573
a96	0.0012702	0.00117551	0.00308859	0.0156332	0.0817728	0.325509	0.57155
a5	0.00210576	0.00216227	0.00513586	0.0217734	0.0877127	0.31708	0.56403
a36	0.00087754	0.000926368	0.00272552	0.0149203	0.0706082	0.306866	0.603076
a2	0.000818779	0.00087786	0.00271031	0.0171379	0.074071	0.329031	0.575353
a57	0.031303	0.02517	0.0423272	0.0898715	0.162115	0.278573	0.370641
a87	0.237827	0.094904	0.0667377	0.0787266	0.11294	0.191668	0.217197
a23	0.436695	0.250026	0.0963247	0.0452913	0.0440186	0.0581436	0.0695005
a87	0.199327	0.114695	0.0539664	0.0690365	0.0939603	0.218233	0.250782
</S>	0.0193648	0.0121821	0.0108472	0.0260852	0.0705521	0.304744	0.556224
