 	va	chercher	les	allumettes	</S>
a23	0.507154	0.216473	0.109533	0.108561	0.0582779
a87	0.563501	0.226372	0.0717536	0.0843839	0.0539901
a23	0.273261	0.22476	0.127777	0.189361	0.184841
a87	0.403755	0.208749	0.10434	0.14103	0.142125
a23	0.369686	0.21999	0.11432	0.123692	0.172312
a38	0.427741	0.226019	0.12086	0.104033	0.121347
a11	0.47468	0.302203	0.107376	0.0776538	0.0380863
a76	0.411618	0.328269	0.131833	0.0850707	0.0432095
a20	0.208429	0.308453	0.23027	0.175805	0.0770435
a41	0.320999	0.339578	0.19607	0.111947	0.0314061
a35	0.336969	0.359668	0.180188	0.0959885	0.0271858
a30	0.288221	0.36139	0.200463	0.114036	0.035889
a35	0.158214	0.247775	0.263089	0.218883	0.11204
a41	0.196138	0.293044	0.247552	0.189547	0.0737194
a32	0.160986	0.263961	0.260957	0.217379	0.0967176
a25	0.0953705	0.186724	0.24386	0.283784	0.190261
a24	0.0497813	0.101269	0.190994	0.316607	0.341348
a9	0.0780681	0.130032	0.180397	0.293804	0.317699
a87	0.0259909	0.0445656	0.10577	0.317345	0.506328
a23	0.0198783	0.0372677	0.116261	0.23801	0.588583
a87	0.0103171	0.0156692	0.0696266	0.233199	0.671188
</S>	0.0213614	0.0253378	0.0860035	0.229297	0.638
