 	il	est	venu	hier	après	midi	</S>
a23	0.283737	0.166065	0.108449	0.0913418	0.112791	0.112206	0.125411
a87	0.3552	0.255189	0.14557	0.0721072	0.0581973	0.0494202	0.0643164
a23	0.320081	0.273958	0.18701	0.0849562	0.0520295	0.0384179	0.0435477
a20	0.377315	0.257736	0.138331	0.0657505	0.0483801	0.0433409	0.0691474
a94	0.476759	0.222896	0.13188	0.0683042	0.0403484	0.0290851	0.0307266
a24	0.362902	0.243135	0.201733	0.106954	0.0439514	0.0226889	0.0186361
a41	0.274835	0.22671	0.203957	0.138907	0.0708034	0.0455249	0.0392636
a54	0.222808	0.21521	0.223459	0.163904	0.0847623	0.0504328	0.0394244
a73	0.197386	0.18604	0.20029	0.166151	0.106657	0.0785967	0.0648789
a2	0.180638	0.18447	0.228805	0.182753	0.104706	0.0665888	0.0520404
a20	0.109086	0.115704	0.167384	0.180382	0.136699	0.134056	0.156688
a73	0.109607	0.120473	0.17438	0.168106	0.136512	0.145599	0.145324
a7	0.102982	0.115083	0.156909	0.173975	0.161948	0.15963	0.129472
a41	0.065185	0.0734329	0.139699	0.205477	0.204831	0.176612	0.134763
a18	0.0615653	0.0622117	0.104359	0.174884	0.207998	0.218134	0.170848
a76	0.0477882	0.0443344	0.07872	0.142268	0.199027	0.257041	0.230821
a69	0.039508	0.0383418	0.0651728	0.129585	0.2045	0.272346	0.250547
a58	0.0305303	0.031341	0.0524201	0.101433	0.175992	0.290578	0.317706
a53	0.0239427	0.0212551	0.0351918	0.0630994	0.129213	0.290979	0.436319
a76	0.037259	0.032202	0.0435642	0.0719598	0.133944	0.28911	0.39196
a69	0.0320961	0.0329852	0.047184	0.0827536	0.148034	0.287191	0.369756
a58	0.0428677	0.040984	0.0519517	0.0703549	0.117057	0.256113	0.420672
a82	0.0247533	0.0193446	0.024373	0.0366084	0.0853243	0.249327	0.560269
a87	0.0204548	0.0160068	0.0172825	0.0244915	0.0680858	0.232294	0.621384
</S>	0.0209853	0.0172418	0.0220523	0.0298034	0.0824911	0.23387	0.593556
