 	cette	femme	remue	du	riz	pour	le	dépoussiérer	</S>
a66	0.291761	0.206941	0.133758	0.101249	0.0879366	0.0755601	0.0575262	0.0292439	0.0160239
a87	0.256884	0.177483	0.107113	0.132842	0.14024	0.100822	0.0475192	0.0257052	0.0113917
a23	0.269967	0.257257	0.222502	0.132888	0.0629767	0.0245528	0.0141685	0.00978545	0.00590214
a57	0.256052	0.273691	0.293794	0.0964771	0.0312938	0.0150342	0.0109732	0.0140808	0.00860394
a30	0.253096	0.268317	0.302141	0.0922269	0.0294553	0.013642	0.0105223	0.0166292	0.0139711
a70	0.234785	0.246488	0.276754	0.109433	0.0559523	0.0294593	0.0176496	0.015637	0.0138423
a93	0.119212	0.149845	0.190418	0.104152	0.100866	0.136055	0.101999	0.0733338	0.024119
a4	0.0874556	0.135458	0.17498	0.15256	0.140329	0.122016	0.0811992	0.0779988	0.028002
a90	0.0494036	0.0838844	0.124018	0.158885	0.148718	0.125983	0.0963053	0.154417	0.058386
a54	0.0508818	0.0838458	0.100413	0.156304	0.155258	0.110162	0.0928845	0.169803	0.0804475
a98	0.0500847	0.0824549	0.0935066	0.122329	0.123299	0.0858537	0.0933299	0.202056	0.147087
a47	0.0556497	0.0644293	0.0580124	0.099109	0.123014	0.0955004	0.110275	0.236515	0.157495
a36	0.0199695	0.0184085	0.0137937	0.0151975	0.0217906	0.0445647	0.127614	0.425232	0.313429
a26	0.0299123	0.0199268	0.0100506	0.0100644	0.0139686	0.0426199	0.128525	0.458671	0.286261
a98	0.0168308	0.0125584	0.00842876	0.00515426	0.00435489	0.0153747	0.0730459	0.342167	0.522085
a47	0.00851478	0.00487061	0.00252599	0.00208032	0.00202575	0.0102769	0.0624998	0.3641	0.543106
a79	0.003926	0.00215586	0.000933988	0.000740382	0.00091125	0.00601958	0.0465746	0.312743	0.625996
a32	0.00260569	0.00128591	0.000580213	0.000618302	0.000872935	0.00512741	0.0315913	0.197953	0.759365
a58	0.0116565	0.00641844	0.00245461	0.00378415	0.00543429	0.0144123	0.0503576	0.182132	0.72335
a82	0.0207797	0.0158736	0.00903265	0.0112873	0.0132303	0.0239257	0.0675142	0.220362	0.617994
a87	0.317862	0.177609	0.0899303	0.0645701	0.0444262	0.0351108	0.0414166	0.0755279	0.153547
a23	0.375365	0.242089	0.154114	0.0919568	0.0491355	0.0282204	0.0169701	0.0214047	0.0207437
a87	0.228669	0.117606	0.0894248	0.0644505	0.036295	0.0435261	0.0637715	0.136363	0.219894
</S>	0.0443123	0.0252859	0.0218043	0.0202337	0.0144149	0.0282751	0.0817188	0.284128	0.479827
