 	le	voleur	a	glissé	sa	main	dans	mon	sac	</S>
a15	0.258908	0.123105	0.104847	0.125049	0.111369	0.124348	0.0864447	0.0366557	0.0170107	0.0122608
a66	0.1736	0.0716988	0.0706582	0.128945	0.173835	0.181245	0.0965932	0.0512638	0.0268852	0.0252756
a87	0.305209	0.122478	0.079562	0.181235	0.117322	0.087979	0.0292513	0.0259418	0.0254797	0.0255408
a97	0.196017	0.141034	0.112678	0.2849	0.107677	0.0739169	0.0287794	0.0205814	0.016772	0.0176447
a87	0.170476	0.14451	0.123131	0.274545	0.114688	0.081502	0.0283373	0.0228212	0.0183774	0.0216124
a23	0.179141	0.134614	0.121104	0.246551	0.120614	0.0871981	0.0336731	0.0282727	0.0221483	0.0266834
a83	0.259709	0.16232	0.122501	0.166275	0.0811213	0.0606615	0.0417868	0.0405489	0.0302233	0.0348538
a94	0.284286	0.26052	0.172448	0.117286	0.042257	0.0318852	0.0298339	0.027624	0.0177464	0.0161127
a93	0.260107	0.33297	0.177922	0.0927685	0.0382372	0.0294189	0.0234391	0.0193023	0.0141674	0.0116675
a90	0.17053	0.281802	0.215886	0.124964	0.065798	0.0511767	0.0312652	0.0234999	0.0190472	0.0160309
a25	0.124899	0.212074	0.19388	0.133521	0.0993656	0.0905923	0.0498922	0.0367912	0.0316976	0.0272875
a92	0.0859096	0.157757	0.176062	0.134918	0.116691	0.117045	0.0750128	0.0501346	0.0452805	0.0411903
a75	0.0906897	0.152353	0.185014	0.164039	0.128242	0.117007	0.0590628	0.035726	0.0337334	0.0341331
a92	0.0681371	0.107953	0.196	0.216884	0.149912	0.115846	0.0532125	0.0320415	0.0293852	0.0306284
a56	0.0717576	0.110771	0.200958	0.223394	0.144408	0.10652	0.049056	0.031414	0.0300388	0.0316829
a75	0.0684477	0.090281	0.181931	0.238685	0.161527	0.118765	0.0502584	0.0280308	0.0282748	0.0337991
a56	0.0255296	0.0390409	0.133726	0.213939	0.165971	0.131299	0.0805465	0.0681051	0.0662737	0.0755693
a44	0.0363762	0.0445343	0.123505	0.213236	0.183939	0.147732	0.0774524	0.0509532	0.0541206	0.0681514
a90	0.0210657	0.0223423	0.0679759	0.156251	0.192771	0.169515	0.108191	0.0733903	0.081433	0.107064
a25	0.00965375	0.0113769	0.0359784	0.0960235	0.144874	0.151294	0.140601	0.127369	0.127587	0.155243
a92	0.00805601	0.00903396	0.0250939	0.0637276	0.108728	0.110755	0.125926	0.138765	0.164389	0.245526
a56	0.00769881	0.00880968	0.0214773	0.0468445	0.0840532	0.0959768	0.1259	0.164297	0.183302	0.261641
a75	0.005724	0.00510505	0.0131931	0.0314482	0.0675849	0.0872649	0.126915	0.199843	0.215557	0.247365
a6	0.00305929	0.00321256	0.00870015	0.0189248	0.0452611	0.0600739	0.104151	0.197312	0.250124	0.30918
a36	0.00312084	0.00297471	0.00748692	0.0149522	0.0353305	0.0516785	0.0968665	0.206686	0.256608	0.324295
a75	0.00197373	0.00120228	0.00232656	0.00406648	0.00799642	0.0112085	0.0323587	0.14229	0.293898	0.502679
a5	0.00109244	0.00108333	0.00313073	0.00676554	0.0150254	0.0238843	0.0629141	0.202623	0.302035	0.381446
a61	0.000779941	0.000492584	0.00133047	0.00297152	0.00655082	0.01019	0.0343754	0.146861	0.309197	0.487252
a75	0.000414845	0.000299177	0.000859938	0.00192159	0.00407109	0.0050688	0.019321	0.108287	0.29964	0.560117
a6	0.000221852	0.000211507	0.000694082	0.00197649	0.00449904	0.00664897	0.024435	0.112038	0.30363	0.545645
a37	0.000245749	0.000186509	0.000610813	0.00171384	0.00385315	0.00500492	0.018287	0.102623	0.293153	0.574323
a85	0.000672507	0.000427222	0.000809295	0.00136125	0.00267729	0.00316464	0.0151829	0.078221	0.246748	0.650736
a47	0.00172471	0.000954075	0.00129556	0.00187777	0.00366022	0.00502568	0.0199602	0.0905326	0.253147	0.621822
a36	0.000333969	0.000231084	0.000452775	0.00113722	0.00214592	0.00232968	0.0126024	0.0846121	0.278783	0.617372
a26	0.0192648	0.00840156	0.00812048	0.00901872	0.0238186	0.0282421	0.0628469	0.132117	0.232289	0.475882
a82	0.119839	0.0442493	0.035666	0.0338161	0.0692389	0.0614792	0.075407	0.0999865	0.153692	0.306627
a3	0.235563	0.0755664	0.0405968	0.0588093	0.0755651	0.0766648	0.0698338	0.0914975	0.107147	0.168757
a82	0.263196	0.0861814	0.0450596	0.0778967	0.0836035	0.0924598	0.070999	0.0846301	0.0871255	0.108848
a3	0.122488	0.0510153	0.0391276	0.104919	0.143634	0.126504	0.0826668	0.0970863	0.107679	0.12488
a38	0.0833506	0.0477208	0.0456254	0.0989178	0.121708	0.0980851	0.0701773	0.0940794	0.145335	0.195001
a82	0.0316379	0.0195535	0.0181741	0.0249049	0.0488275	0.0612272	0.0780887	0.143342	0.236886	0.337359
a84	0.0353063	0.0238879	0.0211554	0.0320634	0.0525495	0.0581595	0.0623889	0.113264	0.22386	0.377365
</S>	0.0563745	0.0342988	0.0360225	0.0629951	0.0882592	0.0813823	0.0662132	0.100372	0.186062	0.28802
