 	ces	jours-ci	ce	bébé	parle	dans	le	sommeil	</S>
a66	0.25739	0.24213	0.204347	0.132719	0.0847741	0.0433367	0.0168646	0.00951596	0.00892345
a10	0.341366	0.221653	0.197742	0.0943517	0.0528691	0.0308338	0.0182233	0.0197774	0.0231833
a87	0.487997	0.270811	0.110007	0.0452421	0.0262391	0.0173518	0.0124367	0.013793	0.0161225
a23	0.419575	0.366974	0.101343	0.0417359	0.0216453	0.0146221	0.010188	0.010622	0.0132944
a53	0.348949	0.290458	0.0713789	0.0460429	0.0386372	0.0440075	0.0406252	0.0524761	0.0674255
a20	0.311641	0.347465	0.170058	0.0760738	0.0361469	0.0217365	0.0136505	0.0114063	0.0118223
a79	0.241536	0.320241	0.220377	0.104557	0.0427241	0.026123	0.0163752	0.014386	0.0136815
a44	0.280345	0.247188	0.18958	0.117667	0.0706741	0.0401829	0.0234619	0.0170216	0.0138792
a70	0.21146	0.263931	0.197547	0.115631	0.0768265	0.0494323	0.0363288	0.0294481	0.019395
a93	0.131395	0.205492	0.19632	0.166385	0.108116	0.0704091	0.0514482	0.0407595	0.0296755
a34	0.151237	0.204155	0.192028	0.142989	0.0986945	0.0654521	0.0538303	0.0512476	0.0403673
a96	0.126996	0.157368	0.210988	0.176222	0.123395	0.0629476	0.0499954	0.0505565	0.0415315
a11	0.0957773	0.145608	0.187424	0.176285	0.134327	0.0714593	0.0598128	0.0663625	0.062944
a90	0.0583866	0.0865565	0.112295	0.163411	0.164215	0.0967239	0.096619	0.110526	0.111267
a98	0.0389156	0.0614595	0.114821	0.189152	0.178218	0.111895	0.0885673	0.102122	0.114849
a92	0.027476	0.0405309	0.07095	0.164931	0.193616	0.145219	0.11693	0.114621	0.125726
a21	0.0164899	0.0228679	0.0479574	0.135988	0.175789	0.142973	0.136004	0.150535	0.171396
a12	0.0147524	0.0167414	0.0291328	0.0808427	0.139187	0.148942	0.164107	0.188891	0.217403
a62	0.00586435	0.00551582	0.00841872	0.0283476	0.0721905	0.121981	0.197866	0.251632	0.308184
a47	0.0035206	0.00300155	0.00371888	0.0103928	0.029732	0.0672926	0.175248	0.308372	0.398721
a75	0.00749109	0.00722926	0.00683667	0.0159215	0.0340907	0.0667525	0.16891	0.286709	0.406059
a85	0.000390384	0.000381716	0.000632193	0.00264399	0.010099	0.0355678	0.168223	0.321194	0.460867
a92	0.000203938	0.000211856	0.000305261	0.00142323	0.00580405	0.0209433	0.111012	0.296755	0.563342
a85	0.000397858	0.000365284	0.000505395	0.00176795	0.00711512	0.0303243	0.132624	0.281809	0.545091
a6	0.000181368	0.000155815	0.000252874	0.00118155	0.00544256	0.0231928	0.114723	0.274982	0.579889
a0	0.00156322	0.00106896	0.00158719	0.00321769	0.00862925	0.0261601	0.0977644	0.238048	0.621961
a43	0.000783376	0.000730577	0.00137016	0.0026523	0.00857131	0.0244671	0.0812624	0.25197	0.628193
a61	0.00643521	0.0049425	0.00845959	0.0120329	0.0271702	0.0445242	0.0796104	0.219478	0.597347
a88	0.000969305	0.0009874	0.00144221	0.00294699	0.0101747	0.0265681	0.0706703	0.21592	0.670321
a38	0.00230272	0.00210923	0.00306394	0.0050101	0.013571	0.0317673	0.0802388	0.230932	0.631005
a53	0.00727292	0.00440753	0.00806937	0.0118388	0.0266131	0.0480928	0.0967753	0.228724	0.568206
a69	0.000955812	0.000939015	0.00175473	0.00308043	0.0112722	0.0313401	0.0875693	0.228921	0.634167
a94	0.000650457	0.000653271	0.00126201	0.00253087	0.00948954	0.0257301	0.0773895	0.223216	0.659078
a18	0.00390683	0.00244259	0.00482782	0.00702628	0.0163403	0.0303023	0.0777892	0.248714	0.608651
a71	0.0536493	0.0256086	0.0476868	0.0542899	0.0642308	0.0708335	0.100941	0.199799	0.38296
a82	0.113043	0.043991	0.0651864	0.0668015	0.0708323	0.06962	0.0860311	0.158654	0.325841
a87	0.261186	0.102405	0.100063	0.0859527	0.0733744	0.0632616	0.0653894	0.0936958	0.154671
a23	0.408422	0.200127	0.114587	0.072524	0.0498235	0.0368909	0.0312803	0.0335273	0.052817
a87	0.115916	0.0673139	0.0397857	0.0313122	0.0337293	0.0410766	0.0760694	0.198656	0.39614
a23	0.0221836	0.0144378	0.0100818	0.0102015	0.0170604	0.0361723	0.100183	0.277713	0.511967
a38	0.0480678	0.0292559	0.0197116	0.0186272	0.0280831	0.0439798	0.101611	0.265269	0.445395
a87	0.0412347	0.0233977	0.0194012	0.0267314	0.0476783	0.0643113	0.113923	0.255272	0.40805
</S>	0.0249047	0.0157969	0.014357	0.0244004	0.0445466	0.0635798	0.109042	0.25971	0.443663
