 	il	prépare	son	voyage	</S>
a66	0.398972	0.211824	0.161294	0.121886	0.106024
a87	0.366771	0.188857	0.157273	0.147888	0.13921
a23	0.439915	0.166006	0.11714	0.118675	0.158264
a53	0.375139	0.178988	0.14196	0.144627	0.159287
a15	0.364214	0.17748	0.163983	0.144437	0.149887
a69	0.316112	0.220832	0.203144	0.154996	0.104916
a79	0.288096	0.21293	0.201472	0.169763	0.12774
a92	0.283225	0.221282	0.197043	0.163633	0.134817
a85	0.235438	0.211385	0.198237	0.180522	0.174419
a92	0.188263	0.200811	0.201383	0.193071	0.216471
a44	0.164149	0.195221	0.211883	0.210842	0.217905
a93	0.129585	0.175523	0.198281	0.219142	0.277469
a44	0.0922053	0.148342	0.193359	0.234473	0.331621
a11	0.02407	0.0519429	0.09277	0.218919	0.612298
a0	0.00818734	0.0194313	0.0451041	0.174995	0.752283
a61	0.00776379	0.0169275	0.0505644	0.184666	0.740079
a54	0.011829	0.0286476	0.0748927	0.217218	0.667412
a36	0.00580562	0.017333	0.0578807	0.225477	0.693503
a26	0.0257459	0.0448071	0.098429	0.224517	0.606501
a57	0.0771708	0.0930316	0.135051	0.217374	0.477373
a87	0.218021	0.167848	0.155004	0.176953	0.282173
a23	0.251167	0.183929	0.159733	0.173635	0.231536
a87	0.157181	0.126088	0.139765	0.22653	0.350436
</S>	0.0260556	0.0420464	0.0754274	0.239508	0.616963
