 	il	a	brisé	le	bâton	</S>
a85	0.358263	0.354786	0.164191	0.0652869	0.0320641	0.0254087
a87	0.220611	0.180662	0.17232	0.144764	0.118659	0.162985
a23	0.320063	0.224172	0.162534	0.144264	0.0708388	0.0781278
a87	0.235442	0.230122	0.176241	0.125886	0.103023	0.129287
a23	0.202197	0.217524	0.215724	0.162327	0.0995283	0.1027
a79	0.233607	0.250297	0.166815	0.119016	0.100132	0.130134
a20	0.393852	0.324807	0.124877	0.0588043	0.0471012	0.0505584
a30	0.28563	0.344036	0.249696	0.0813666	0.0254975	0.0137737
a35	0.284261	0.276319	0.241852	0.126187	0.0452048	0.0261756
a25	0.281104	0.237816	0.212352	0.154072	0.0697156	0.0449406
a10	0.214831	0.164941	0.161154	0.190291	0.147215	0.121568
a26	0.125367	0.106334	0.129051	0.178432	0.219915	0.240901
a35	0.111111	0.0951937	0.129981	0.179741	0.222495	0.261479
a26	0.156929	0.124015	0.12944	0.158598	0.200021	0.230996
a24	0.096818	0.0931522	0.102149	0.146322	0.227696	0.333862
a71	0.0370251	0.0340837	0.0469646	0.119798	0.271977	0.490152
a9	0.0245818	0.0204343	0.0266222	0.0829641	0.254843	0.590554
a38	0.017652	0.0151677	0.0202882	0.0606465	0.221484	0.664762
a94	0.0131353	0.009508	0.0106645	0.041042	0.190181	0.735469
a76	0.00543245	0.00395133	0.00638407	0.0394989	0.193967	0.750766
a73	0.00324857	0.0022196	0.00529608	0.0434217	0.219657	0.726157
a84	0.00283239	0.00202126	0.00485313	0.043046	0.201935	0.745312
a57	0.00507877	0.00469884	0.00925865	0.0340417	0.154909	0.792013
a87	0.0856422	0.0613358	0.0521428	0.0993984	0.163634	0.537847
</S>	0.0128708	0.0135073	0.0222012	0.0689422	0.220024	0.662455
