 	la	mère	dorlote	l'	enfant	</S>
a87	0.32887	0.202896	0.219772	0.137866	0.067469	0.0431272
a23	0.374516	0.246671	0.206995	0.0979799	0.0418428	0.0319962
a70	0.211701	0.240496	0.203129	0.124281	0.103646	0.116747
a90	0.450072	0.245579	0.144606	0.0708043	0.0448396	0.0440989
a76	0.504576	0.313774	0.100199	0.0355089	0.0208121	0.0251308
a92	0.387463	0.26792	0.152351	0.0856034	0.0542283	0.0524332
a85	0.45347	0.319263	0.122341	0.0460084	0.0292606	0.0296569
a41	0.315225	0.289212	0.139641	0.0950136	0.0790688	0.0818398
a44	0.258478	0.231921	0.145513	0.112908	0.11736	0.133819
a76	0.164036	0.175924	0.229465	0.164334	0.133699	0.132542
a15	0.0732635	0.0801056	0.156536	0.190172	0.225567	0.274356
a37	0.0672887	0.065456	0.216949	0.190447	0.207749	0.252111
a98	0.053194	0.0393652	0.12016	0.17435	0.251051	0.361879
a15	0.025786	0.02007	0.0691575	0.155142	0.27696	0.452885
a94	0.0131408	0.0100305	0.0423848	0.107354	0.292263	0.534826
a98	0.00755446	0.0042425	0.0143895	0.0509314	0.253456	0.669426
a85	0.00633087	0.00396402	0.016533	0.0626513	0.256468	0.654053
a37	0.00482094	0.00371928	0.0207089	0.069846	0.260666	0.640239
a66	0.00285804	0.00221317	0.0120323	0.0518023	0.24559	0.685504
a27	0.0125065	0.00866993	0.0465436	0.0843581	0.25363	0.594292
a57	0.102274	0.0608273	0.0824096	0.0807507	0.198684	0.475055
a87	0.249165	0.17047	0.123789	0.112555	0.147581	0.196441
a23	0.173938	0.121457	0.119704	0.136687	0.196424	0.251789
a10	0.0246091	0.0161579	0.0238226	0.108651	0.354791	0.471968
</S>	0.013031	0.0126778	0.0411198	0.118505	0.320355	0.494311
