 	tu	n'	as	pas	bien	cuit	les	aliments	</S>
a23	0.141179	0.108813	0.0931355	0.144685	0.176133	0.220346	0.0683485	0.0335914	0.0137682
a87	0.216853	0.118793	0.10261	0.114437	0.142275	0.156523	0.0669999	0.0491833	0.0323253
a23	0.163441	0.150939	0.136147	0.131582	0.126846	0.100105	0.0538634	0.0536428	0.0834347
a87	0.25419	0.201298	0.163594	0.11415	0.0833089	0.0498705	0.0280178	0.0428352	0.0627347
a99	0.143343	0.132297	0.119299	0.105748	0.106161	0.113017	0.0825129	0.0996627	0.0979593
a83	0.155356	0.143155	0.109803	0.0884541	0.076423	0.0765014	0.0723634	0.111705	0.166239
a75	0.261249	0.231578	0.159771	0.105673	0.0653981	0.0434383	0.0371109	0.0485592	0.0472227
a66	0.285182	0.239426	0.188768	0.113802	0.0740658	0.0401653	0.019234	0.0218526	0.0175043
a43	0.236209	0.239763	0.202106	0.127302	0.0785676	0.045192	0.0240299	0.0250626	0.0217669
a47	0.197545	0.189569	0.154931	0.119658	0.0924083	0.0781553	0.0592018	0.0612489	0.0472816
a88	0.154196	0.190734	0.194088	0.160113	0.111408	0.0715799	0.042114	0.0401669	0.0356004
a34	0.120193	0.153233	0.172308	0.174079	0.138201	0.106126	0.0535397	0.0446137	0.0377074
a56	0.0979327	0.133469	0.160621	0.186661	0.161463	0.136844	0.0580007	0.0359692	0.0290394
a11	0.0879057	0.121722	0.152342	0.187271	0.172187	0.160314	0.0609994	0.0322445	0.0250146
a31	0.0577451	0.0865796	0.111052	0.176712	0.174374	0.177957	0.104039	0.0577026	0.0538391
a21	0.0549338	0.0728324	0.0880392	0.153704	0.168301	0.206262	0.127512	0.0678589	0.0605561
a31	0.0909658	0.104025	0.112371	0.148217	0.152087	0.161184	0.112696	0.0667418	0.0517138
a0	0.0609283	0.069514	0.0728649	0.104485	0.120093	0.162181	0.181049	0.13545	0.0934353
a75	0.0434995	0.0469842	0.0463171	0.0718834	0.098722	0.158731	0.21346	0.191824	0.128579
a5	0.0551991	0.0534946	0.0394746	0.0381749	0.0350654	0.0546628	0.129045	0.219845	0.37504
a27	0.104151	0.101832	0.0810419	0.0696377	0.0595391	0.071263	0.134601	0.185598	0.192335
a75	0.00920217	0.00906922	0.00794213	0.011423	0.0150879	0.0318395	0.103346	0.270789	0.541301
a47	0.0184684	0.0150103	0.00944151	0.0101219	0.00994221	0.0171028	0.0705953	0.245364	0.603953
a36	0.0187709	0.0154951	0.0108619	0.0113669	0.0113341	0.0202204	0.0823551	0.294501	0.535095
a2	0.0118979	0.00926828	0.00677961	0.0088204	0.011648	0.027889	0.100569	0.261092	0.562035
a57	0.0237557	0.0145127	0.0080377	0.00743525	0.00981703	0.0180181	0.0589517	0.190528	0.668944
a10	0.134151	0.0666476	0.0298522	0.0319997	0.0545435	0.0796977	0.0913523	0.139663	0.372093
a87	0.0925908	0.0573502	0.0325437	0.0534514	0.106171	0.171567	0.152339	0.12807	0.205917
a23	0.0772299	0.0533156	0.0393379	0.0815257	0.145884	0.189905	0.136172	0.10779	0.16884
a87	0.0352832	0.0169449	0.0105991	0.0235766	0.0565922	0.136576	0.178746	0.214454	0.327228
</S>	0.0186806	0.010486	0.00672196	0.013024	0.0275159	0.0638043	0.118356	0.273057	0.468355
