 	la	pirogue	a	cassé	ses	amarres	et	part	à	la	dérive	</S>
a23	0.169155	0.143069	0.106828	0.0916925	0.0770032	0.108035	0.0776633	0.0596348	0.0425318	0.0430091	0.0407581	0.0406205
a3	0.183179	0.212495	0.147015	0.112272	0.0760996	0.0888137	0.036517	0.024285	0.0215408	0.0297859	0.0347988	0.0331976
a38	0.148608	0.185417	0.156973	0.137236	0.0943068	0.0996801	0.0372707	0.0244564	0.0197391	0.0243633	0.0372987	0.0346502
a30	0.252563	0.234646	0.171221	0.124827	0.0724003	0.0582011	0.0208702	0.0142085	0.00984903	0.0104868	0.0146462	0.0160814
a35	0.36485	0.276549	0.164616	0.0918225	0.0383764	0.0305763	0.0105664	0.00636869	0.00373204	0.00351017	0.00407235	0.00495998
a76	0.30474	0.251971	0.169458	0.113108	0.0604562	0.0481521	0.0204126	0.0118996	0.00579995	0.00442354	0.00463027	0.00494952
a35	0.203051	0.203977	0.180983	0.152922	0.0936472	0.0759686	0.0368119	0.0229529	0.01023	0.00714356	0.00689527	0.00541789
a12	0.226266	0.203832	0.175391	0.150243	0.0946543	0.0715448	0.0341833	0.0214421	0.00832136	0.00527542	0.00492863	0.00391831
a24	0.156513	0.176798	0.172154	0.170637	0.118281	0.104499	0.0432349	0.0244849	0.0100035	0.00774815	0.00815867	0.00748696
a25	0.0978882	0.135153	0.15915	0.187914	0.153618	0.130172	0.0562466	0.0312293	0.0127273	0.0107052	0.0124509	0.0127455
a38	0.0476244	0.0787352	0.1301	0.17523	0.180274	0.172912	0.07211	0.0377069	0.01992	0.0210726	0.0314243	0.0328902
a75	0.0413856	0.0616529	0.100112	0.13661	0.172628	0.177404	0.103445	0.0595374	0.0309932	0.0297502	0.043786	0.0426952
a41	0.0639775	0.0734059	0.0981667	0.139384	0.154388	0.177039	0.109764	0.0748606	0.0357651	0.024585	0.0248893	0.0237744
a35	0.0534594	0.0610472	0.0905058	0.12283	0.137184	0.154605	0.116231	0.0822524	0.0474913	0.0394249	0.0480155	0.0469535
a75	0.0453085	0.049648	0.0769846	0.10266	0.126824	0.140909	0.126768	0.0932769	0.0572785	0.0496797	0.0664901	0.0641728
a35	0.0339734	0.0335096	0.0522995	0.0795214	0.117264	0.146869	0.131309	0.0993846	0.0718013	0.0675919	0.0849154	0.0815609
a43	0.0426358	0.0401225	0.0540352	0.0689243	0.0919014	0.117895	0.127952	0.105093	0.0851608	0.0795218	0.0976424	0.0891155
a0	0.0362454	0.0368266	0.0524316	0.0629352	0.0828946	0.10128	0.124663	0.104075	0.0879563	0.0832689	0.109537	0.117886
a47	0.0231935	0.0247817	0.0358534	0.0460044	0.0714598	0.0712774	0.107687	0.0987197	0.102542	0.109741	0.146097	0.162643
a35	0.0185841	0.0192344	0.0291114	0.0415487	0.0702792	0.0789614	0.102985	0.0866687	0.0958273	0.109836	0.161447	0.185516
a75	0.0193497	0.0176213	0.0259025	0.0352082	0.0577842	0.0780193	0.0970701	0.0790608	0.0913516	0.116345	0.179594	0.202693
a73	0.0170449	0.0140133	0.0188039	0.0265436	0.0449124	0.0689299	0.0847599	0.067919	0.0838999	0.112112	0.198746	0.262316
a57	0.0247786	0.0228405	0.0267857	0.0288046	0.0393843	0.0527059	0.0753214	0.0668514	0.0904576	0.123005	0.215368	0.233697
a87	0.0183509	0.0148986	0.0159029	0.0197437	0.0275143	0.0272964	0.0411724	0.045331	0.0800956	0.133157	0.255323	0.321214
a79	0.011292	0.00753779	0.00731578	0.00895525	0.0145346	0.014279	0.0291267	0.0436904	0.084961	0.150887	0.300826	0.326595
a76	0.0114536	0.00942676	0.0102582	0.0125937	0.0182376	0.0177803	0.023695	0.0288285	0.0630954	0.145205	0.279407	0.380019
a35	0.0161952	0.0112633	0.0128535	0.0170164	0.028674	0.0376778	0.0413531	0.036302	0.0571743	0.119793	0.2441	0.377597
a66	0.012638	0.0092926	0.0103869	0.0133073	0.0206013	0.0300913	0.0365618	0.0362516	0.0649898	0.138973	0.254882	0.372025
a76	0.00624527	0.00480614	0.00516974	0.00622558	0.00954458	0.0194055	0.0271632	0.0310719	0.067397	0.146669	0.280432	0.39587
a90	0.00733693	0.00579347	0.00753968	0.0106616	0.016337	0.0200621	0.0264958	0.0247062	0.0529479	0.128626	0.26375	0.435743
a57	0.0127954	0.00978753	0.0107819	0.0138236	0.0170915	0.0217857	0.0199597	0.0182803	0.0430631	0.118494	0.260039	0.454099
a10	0.00373383	0.00296368	0.00324603	0.00476516	0.00848142	0.0135417	0.0184645	0.0213807	0.0550644	0.130417	0.292436	0.445506
a62	0.00221413	0.00170211	0.00174082	0.00244898	0.00471919	0.00868526	0.015845	0.0203736	0.0530659	0.124667	0.311525	0.453013
a75	0.00282757	0.00258895	0.00264972	0.00358419	0.00496326	0.00841706	0.0119424	0.0145274	0.0384407	0.106051	0.271748	0.53226
a41	0.00594943	0.00531292	0.00535295	0.00703302	0.00834389	0.0115556	0.0111587	0.0119805	0.0343397	0.105931	0.271345	0.521697
a61	0.00333246	0.00318496	0.00410798	0.00607008	0.00836764	0.0116437	0.0146092	0.016224	0.0442084	0.120852	0.263066	0.504333
a83	0.00263873	0.00218085	0.00251479	0.00352774	0.00551823	0.0126488	0.0146545	0.0155031	0.0391027	0.102531	0.263518	0.535662
a94	0.00347782	0.00281871	0.00298539	0.00413899	0.00662189	0.0139598	0.0181254	0.0203829	0.054886	0.120714	0.27081	0.481079
a25	0.0034416	0.00291117	0.00307767	0.00423519	0.00640063	0.0120914	0.0151621	0.017199	0.0449977	0.109425	0.267839	0.513219
a87	0.00184174	0.00154296	0.00191164	0.00295852	0.00525642	0.0119486	0.0171463	0.0204134	0.0533719	0.129389	0.267637	0.486582
a23	0.00164237	0.000996494	0.000943622	0.00117317	0.00225014	0.00438619	0.0106867	0.0166791	0.055231	0.138609	0.330031	0.437372
a87	0.0216433	0.0109722	0.00765229	0.00713268	0.00918718	0.0177589	0.034038	0.0542331	0.113266	0.183818	0.245507	0.294791
</S>	0.0252826	0.0133047	0.0100279	0.00904137	0.0131735	0.0200979	0.040338	0.0582189	0.100709	0.159999	0.241159	0.308649
