 	ils	tressent	des	boucliers	</S>
a23	0.705296	0.213808	0.0338877	0.0259611	0.021047
a85	0.318285	0.343958	0.182095	0.0901895	0.0654717
a87	0.322988	0.334945	0.195571	0.0914746	0.0550213
a23	0.317442	0.391114	0.195946	0.0539046	0.0415935
a40	0.324347	0.367624	0.180932	0.0772832	0.0498146
a30	0.421354	0.357042	0.10533	0.0705238	0.0457504
a73	0.291424	0.34282	0.268656	0.0694472	0.0276521
a26	0.250225	0.273207	0.307539	0.124445	0.0445833
a30	0.135361	0.160831	0.285126	0.260199	0.158484
a14	0.116928	0.134721	0.300021	0.28582	0.16251
a26	0.180126	0.174579	0.253604	0.215176	0.176514
a76	0.0808281	0.050548	0.15771	0.372317	0.338596
a56	0.0608129	0.0410517	0.110687	0.338491	0.448957
a98	0.0312074	0.0198728	0.0566737	0.316397	0.575849
a94	0.013691	0.00724536	0.0247182	0.266531	0.687815
a41	0.0141876	0.00581809	0.0133626	0.203285	0.763347
a35	0.00697085	0.00228101	0.00855899	0.19864	0.783549
a98	0.0087189	0.0027639	0.010632	0.190044	0.787841
a70	0.0136176	0.00508489	0.0165513	0.179215	0.785532
a4	0.0104467	0.00467419	0.0103453	0.107376	0.867158
a90	0.0140435	0.00722352	0.0122777	0.103882	0.862573
a76	0.00884477	0.0065311	0.0108285	0.10459	0.869206
a73	0.0108804	0.0119476	0.0249161	0.172053	0.780203
a84	0.00761212	0.00444222	0.00843455	0.109168	0.870343
a57	0.0390365	0.0304966	0.0443069	0.133733	0.752427
a87	0.0963426	0.0671323	0.0988114	0.215352	0.522362
a23	0.0823944	0.0757677	0.110309	0.256965	0.474563
a87	0.11878	0.0962698	0.119025	0.243439	0.422486
</S>	0.0417528	0.0291018	0.0602748	0.303214	0.565657
