 	j'	ai	vu	un	scolopendre	au	dessous	du	lit	</S>
a15	0.142526	0.109115	0.136015	0.161002	0.155089	0.119822	0.0760236	0.044569	0.0306783	0.0251613
a66	0.3984	0.159998	0.130074	0.0833986	0.0479882	0.0355183	0.0417935	0.0358112	0.0334238	0.0335952
a87	0.481413	0.198428	0.108821	0.0670984	0.0412316	0.0220844	0.0234216	0.0197649	0.0202043	0.0175323
a23	0.342121	0.278242	0.202339	0.0712736	0.0320057	0.0180722	0.018564	0.0139239	0.0125632	0.0108963
a99	0.400403	0.270347	0.145778	0.0422921	0.0186833	0.0116832	0.0172981	0.0250512	0.0305987	0.0378653
a50	0.434321	0.173016	0.111259	0.0672324	0.0459364	0.0313937	0.0290465	0.0311243	0.0322795	0.044391
a88	0.372642	0.154581	0.121315	0.0975488	0.100681	0.0591152	0.0362825	0.0240532	0.0175586	0.0162237
a21	0.264268	0.132143	0.120964	0.1205	0.1366	0.114457	0.0550502	0.0272224	0.0151935	0.0136016
a92	0.161578	0.0991901	0.0921388	0.154296	0.218546	0.173374	0.0592892	0.0228028	0.00983706	0.00894793
a56	0.0752745	0.0600036	0.0609919	0.117869	0.217713	0.273099	0.116931	0.0446232	0.0181223	0.015372
a92	0.0457258	0.0422475	0.0453949	0.0788607	0.16024	0.266354	0.186905	0.0946588	0.0463103	0.0333027
a79	0.0242733	0.0200107	0.0240845	0.0548905	0.119264	0.282166	0.252391	0.132893	0.0540511	0.0359769
a37	0.0218738	0.0178929	0.0212086	0.0468708	0.113912	0.298984	0.25467	0.134641	0.054055	0.0358912
a12	0.0312255	0.0239195	0.0251473	0.0452314	0.0956545	0.205042	0.209262	0.180838	0.104321	0.079359
a61	0.0094127	0.00643776	0.00613093	0.0103352	0.0253794	0.0809796	0.208626	0.289028	0.197263	0.166407
a12	0.00327917	0.00192996	0.00173053	0.00242913	0.00488309	0.031948	0.149117	0.303136	0.27475	0.226797
a96	0.00211304	0.00133109	0.00114267	0.00136443	0.00215407	0.0168457	0.0917852	0.233217	0.294492	0.355554
a11	0.00133983	0.000845828	0.000665934	0.000800168	0.00110851	0.00677528	0.039665	0.159646	0.296162	0.492991
a93	0.000774061	0.000600107	0.000622558	0.00079293	0.00110821	0.00483049	0.0310207	0.111886	0.288913	0.559452
a70	0.00030898	0.000207039	0.000259036	0.000379874	0.000561764	0.00382241	0.0237813	0.103083	0.284456	0.583141
a13	0.000478173	0.000318947	0.000332558	0.000573851	0.00140966	0.00867282	0.0330231	0.132167	0.316419	0.506605
a62	0.00162178	0.000953741	0.000997535	0.00210017	0.00573044	0.0183424	0.0425439	0.146658	0.318597	0.462455
a88	0.000678257	0.00042571	0.000340918	0.000595972	0.00142348	0.00911046	0.0385537	0.139929	0.316099	0.492844
a9	0.000323333	0.000233223	0.000205878	0.00034438	0.000805898	0.00454231	0.022591	0.0932758	0.296004	0.581675
a87	0.00301058	0.00212018	0.00211348	0.00387892	0.006687	0.0179814	0.0453018	0.123113	0.290528	0.505266
a23	0.190301	0.101546	0.0770326	0.0750291	0.0836843	0.0700192	0.0844168	0.09791	0.107376	0.112686
a87	0.0791748	0.038135	0.0228564	0.0155522	0.0115617	0.0166757	0.0458823	0.123861	0.258268	0.388033
</S>	0.0335455	0.0207158	0.0144469	0.00792592	0.0049545	0.00627469	0.0276909	0.101605	0.304485	0.478356
