 	c'	est	umberto	qui	sera	mon	habilleur	le	jour	du	mariage	</S>
a66	0.11545	0.155623	0.159832	0.109851	0.146452	0.141764	0.0845031	0.0485075	0.0194738	0.00835495	0.00512549	0.00506293
a87	0.37777	0.272007	0.110747	0.041654	0.0402	0.0443499	0.027523	0.021877	0.0166501	0.0152723	0.0142293	0.0177207
a23	0.436497	0.239395	0.104007	0.0578061	0.059735	0.0374486	0.0182382	0.0103074	0.00608008	0.00564899	0.00802789	0.0168094
a87	0.321524	0.188167	0.0761091	0.0723651	0.107806	0.0698164	0.0426782	0.0309694	0.0177422	0.0158016	0.0176406	0.0393808
a23	0.294402	0.180615	0.061581	0.0702704	0.131456	0.0738471	0.0546058	0.0434985	0.027601	0.021396	0.0180284	0.0226986
a79	0.243465	0.151442	0.0837193	0.0847923	0.0823718	0.0662967	0.0600354	0.0522063	0.0372351	0.034413	0.0360466	0.0679763
a53	0.117126	0.126022	0.172532	0.089828	0.0545807	0.045501	0.0580243	0.0528991	0.0540416	0.0717347	0.0711337	0.0865774
a79	0.185267	0.161089	0.23593	0.124233	0.0706811	0.0543848	0.0525442	0.0390182	0.0267536	0.0210285	0.0142514	0.0148194
a37	0.125601	0.110612	0.169268	0.12636	0.0977261	0.0765179	0.0841682	0.0677618	0.0512395	0.0399907	0.0248252	0.02593
a6	0.0708025	0.0665083	0.100145	0.156197	0.185943	0.10467	0.0913316	0.0744345	0.0506432	0.038677	0.0293465	0.0313013
a0	0.0525403	0.0504749	0.0907524	0.141177	0.168099	0.105458	0.0987152	0.0798694	0.0549225	0.0464869	0.0440893	0.0674147
a11	0.0704043	0.0702685	0.0956146	0.153996	0.190408	0.0988516	0.0852021	0.0635998	0.0440894	0.0365009	0.0358763	0.0551886
a61	0.0474645	0.055132	0.0767213	0.160075	0.212592	0.101453	0.0902943	0.0657519	0.0497237	0.0416818	0.041458	0.0576516
a66	0.0302667	0.03559	0.071553	0.144117	0.197011	0.120154	0.116349	0.0815152	0.0567614	0.0455438	0.0439782	0.0571617
a90	0.019467	0.0240287	0.0457558	0.126184	0.210994	0.126627	0.119786	0.0981063	0.0687997	0.0508511	0.0466669	0.0627339
a15	0.0117652	0.0147762	0.0353795	0.103517	0.189353	0.13285	0.134462	0.107663	0.0709396	0.0536452	0.0532292	0.0924196
a69	0.00498716	0.00858654	0.0298099	0.0946995	0.189305	0.150369	0.144982	0.115285	0.0742028	0.0496683	0.0480055	0.0900998
a53	0.00580322	0.00795386	0.0275489	0.0694875	0.126544	0.122656	0.137605	0.108851	0.078812	0.0692987	0.0838397	0.1616
a90	0.00405469	0.00555091	0.0242279	0.070454	0.124409	0.128963	0.146715	0.111773	0.0805335	0.0716736	0.083273	0.148373
a44	0.00452266	0.00611283	0.0245513	0.0678993	0.140111	0.152664	0.151975	0.117865	0.0860394	0.0721183	0.0706888	0.105453
a96	0.00266282	0.00357208	0.0139516	0.0454288	0.113679	0.140931	0.161608	0.137848	0.100333	0.078989	0.0766628	0.124334
a62	0.00216466	0.00308884	0.0118302	0.0334046	0.0934396	0.134059	0.160455	0.157936	0.118601	0.0915133	0.0793578	0.11415
a83	0.00226544	0.00295662	0.0107353	0.023827	0.0631087	0.105567	0.146657	0.177689	0.142754	0.107804	0.0930966	0.123539
a98	0.00189217	0.00325853	0.0113978	0.0255196	0.0630895	0.106555	0.16298	0.214052	0.154496	0.099286	0.0753834	0.0820896
a47	0.00082838	0.00108818	0.0038753	0.0120183	0.0351313	0.0684919	0.112506	0.136951	0.124638	0.122613	0.166882	0.214976
a36	0.00275781	0.00348209	0.00749869	0.0184138	0.0476328	0.0780682	0.122834	0.173061	0.148133	0.106866	0.121316	0.169937
a2	0.00914452	0.0123419	0.0257081	0.046262	0.0867704	0.10948	0.140157	0.197174	0.124969	0.0640691	0.0658009	0.118123
a57	0.0216694	0.0265793	0.0498859	0.062201	0.0784895	0.119011	0.145254	0.168488	0.122709	0.0639409	0.0553033	0.0864693
a87	0.0669373	0.0423644	0.0514789	0.0394432	0.0593685	0.100362	0.121936	0.12069	0.105162	0.0809793	0.073193	0.138085
a23	0.105287	0.0634129	0.0681916	0.0372208	0.0455557	0.0825686	0.108172	0.107909	0.123281	0.106539	0.0647796	0.087083
a87	0.0359354	0.0217878	0.0228842	0.0284492	0.0383943	0.061976	0.0880961	0.0775179	0.0904283	0.123723	0.172746	0.238061
a23	0.061131	0.0353771	0.0518997	0.055295	0.0622211	0.0831679	0.116901	0.0987796	0.102241	0.0979805	0.0913759	0.14363
a87	0.0288133	0.0169703	0.0297859	0.0338756	0.0366044	0.05984	0.104788	0.0951744	0.113246	0.138757	0.15547	0.186675
a23	0.0273781	0.0183648	0.0452808	0.0509943	0.0384459	0.0493045	0.0825293	0.0746261	0.0963055	0.124471	0.157997	0.234303
a18	0.0173498	0.0105833	0.0292125	0.0324184	0.026573	0.0426767	0.0907868	0.0897991	0.124773	0.152317	0.171182	0.212329
a62	0.0036034	0.00311338	0.0164348	0.0166188	0.0132759	0.0238004	0.0719512	0.0992336	0.154448	0.182882	0.205648	0.20899
a88	0.0017999	0.00117914	0.00560923	0.00499603	0.00892094	0.0153528	0.0377525	0.0543847	0.0971007	0.169043	0.223153	0.380708
a53	0.000734723	0.00048235	0.00211896	0.00300751	0.00962846	0.0172641	0.0357396	0.0471886	0.0806274	0.146158	0.230561	0.426489
a44	0.000702153	0.000593193	0.00204913	0.00345688	0.00913705	0.0161555	0.0303307	0.0382474	0.0685013	0.141603	0.243382	0.445842
a70	0.000336458	0.00028724	0.000886447	0.00146546	0.00426064	0.00921186	0.017506	0.0245355	0.0493348	0.119818	0.251127	0.521231
a21	0.000369824	0.000330298	0.000849849	0.00120826	0.00349774	0.0078767	0.0152224	0.0230792	0.0496232	0.120107	0.262015	0.51582
a5	0.000241728	0.00022646	0.000523162	0.000789985	0.00202487	0.00462136	0.00921686	0.014883	0.0385491	0.107921	0.284355	0.536648
a18	0.000367463	0.000384789	0.000791003	0.00113183	0.00274712	0.00608054	0.0116527	0.0182274	0.0413749	0.104966	0.262382	0.549895
a70	0.00045033	0.000522548	0.00140092	0.00189791	0.00355099	0.00820101	0.0157248	0.0274157	0.0512821	0.110598	0.262779	0.516177
a13	0.000257731	0.000265629	0.000763944	0.00108437	0.00235334	0.00540467	0.0110153	0.0213323	0.0468197	0.108722	0.256185	0.545797
a82	0.000495194	0.000555028	0.00147569	0.00203578	0.00435197	0.0105806	0.019273	0.0327268	0.0544118	0.101961	0.251309	0.520823
a87	0.0115534	0.00830612	0.0160697	0.0129609	0.0162108	0.0264928	0.0359374	0.0502663	0.0721597	0.120721	0.23563	0.393692
