 	le	chasseur	a	flétri	des	feuilles	du	bananier	pour	emballer	la	viande	</S>
a23	0.132994	0.138008	0.114385	0.142684	0.137938	0.1019	0.0744844	0.0644836	0.0362043	0.0254155	0.0129002	0.00989935	0.00870304
a30	0.10726	0.140556	0.130313	0.148666	0.133717	0.0787866	0.0549366	0.0434285	0.0421609	0.0382502	0.0273177	0.0281767	0.0264306
a4	0.136264	0.150333	0.132338	0.0970548	0.0879477	0.0562593	0.0381309	0.0298999	0.02605	0.032507	0.0449267	0.0673081	0.100981
a13	0.197919	0.216117	0.212857	0.11969	0.0820046	0.0523947	0.0375737	0.0261994	0.0163838	0.0149398	0.00913151	0.00823678	0.00655301
a75	0.257052	0.228721	0.214776	0.104373	0.0615464	0.0318658	0.0237802	0.0183421	0.0134705	0.0156723	0.0112367	0.00996934	0.0091946
a96	0.200951	0.173777	0.225904	0.146484	0.0745281	0.0467677	0.0335339	0.0262165	0.0124854	0.0138839	0.0123975	0.0155406	0.0175311
a75	0.150923	0.176681	0.245993	0.199675	0.0705275	0.0395493	0.0302844	0.0260669	0.014026	0.0147101	0.0104746	0.0102325	0.0108565
a44	0.099785	0.148001	0.217485	0.203182	0.0913761	0.060224	0.048257	0.0423067	0.0183121	0.0176332	0.0147473	0.0173927	0.0212974
a76	0.0754271	0.121562	0.16876	0.194136	0.0982874	0.0713182	0.06141	0.0560065	0.0336661	0.0345934	0.0272806	0.0270076	0.030545
a56	0.051727	0.0956261	0.119497	0.130609	0.0966991	0.087948	0.0779393	0.0739639	0.0457337	0.0495003	0.0485382	0.0550004	0.0672181
a61	0.0592861	0.111488	0.146226	0.164797	0.101817	0.0768595	0.0639566	0.061145	0.0339795	0.0366502	0.0389478	0.0463527	0.0584953
a88	0.065681	0.110628	0.137306	0.174017	0.117639	0.0842118	0.067273	0.0652259	0.0323821	0.0302221	0.0305788	0.0367436	0.048091
a9	0.0474595	0.0707987	0.0844967	0.139759	0.134038	0.110467	0.093843	0.0909213	0.0421161	0.0381472	0.0379984	0.0465008	0.0634545
a75	0.0125101	0.0219674	0.0300008	0.0933564	0.138003	0.136962	0.137971	0.12717	0.0638191	0.0507267	0.0461256	0.0589951	0.0823921
a41	0.0403839	0.0571994	0.0644282	0.0854694	0.0822578	0.0887841	0.0892326	0.0895366	0.0615716	0.0681497	0.0747335	0.0850898	0.113163
a43	0.0292123	0.036782	0.0402225	0.0569203	0.0693474	0.0831514	0.0906495	0.0904121	0.0758929	0.0849909	0.0907905	0.105783	0.145845
a11	0.0281877	0.0358119	0.0373658	0.0547213	0.0725198	0.0898723	0.111184	0.114859	0.0767945	0.0709363	0.0754896	0.0958329	0.136425
a0	0.021718	0.0273235	0.0285775	0.0446516	0.0638758	0.0905616	0.122609	0.134151	0.0857438	0.0697848	0.0708272	0.0966606	0.143516
a31	0.0157588	0.0195539	0.0209163	0.0354511	0.0536676	0.0842596	0.123267	0.135842	0.0986791	0.0802686	0.0761934	0.103094	0.153048
a32	0.020735	0.0231288	0.0232691	0.0306536	0.0416028	0.0700003	0.103287	0.126296	0.104903	0.103463	0.100929	0.11282	0.138913
a9	0.00970981	0.0113186	0.0115106	0.0169503	0.0245999	0.0405613	0.0631987	0.0802709	0.0903844	0.0900906	0.132969	0.187274	0.241162
