 	dans	notre	village	il	y	a	un	pressoir	à	huile	</S>
a85	0.1233	0.103122	0.121934	0.144988	0.134011	0.121164	0.0733299	0.0834088	0.0442521	0.0314855	0.019006
a87	0.0918619	0.0775586	0.0773061	0.105782	0.125696	0.158097	0.130207	0.140655	0.0428228	0.0251557	0.0248578
a23	0.111914	0.114646	0.101996	0.0917186	0.0953475	0.109029	0.103671	0.147286	0.0542001	0.0320756	0.0381155
a10	0.145198	0.131201	0.118632	0.101808	0.0938117	0.0979087	0.0848707	0.103098	0.0492509	0.0378992	0.036321
a75	0.113774	0.119827	0.117337	0.102791	0.0777268	0.0894891	0.110694	0.130237	0.0530696	0.0433765	0.041678
a85	0.286148	0.199159	0.134074	0.0942447	0.0691634	0.0616713	0.0563148	0.0507484	0.0168146	0.0174142	0.014248
a36	0.197466	0.151416	0.12184	0.106389	0.0965394	0.0844506	0.0932164	0.103739	0.0185594	0.0145443	0.0118406
a2	0.191727	0.161919	0.13733	0.119246	0.0992681	0.0897185	0.0807526	0.0798063	0.0160828	0.0118925	0.0122574
a53	0.11822	0.126763	0.125589	0.117243	0.0859691	0.0780176	0.0756103	0.0874317	0.061487	0.056702	0.0669667
a76	0.109203	0.128665	0.140668	0.13604	0.0965187	0.0880113	0.0767593	0.0728591	0.0397824	0.0437999	0.0676936
a73	0.114346	0.127728	0.136731	0.137075	0.131647	0.116377	0.0909825	0.0767335	0.0273849	0.0195507	0.0214446
a44	0.130057	0.141641	0.153152	0.146757	0.136481	0.112261	0.0780229	0.0537035	0.0196667	0.0124201	0.0158383
a11	0.096854	0.13375	0.162929	0.166921	0.143182	0.110305	0.0690332	0.049444	0.0236584	0.0187314	0.025193
a0	0.0687918	0.106855	0.141679	0.155189	0.130492	0.105099	0.0751784	0.0751437	0.0466403	0.0379078	0.0570245
a47	0.0599247	0.0941546	0.127322	0.149021	0.123911	0.109876	0.0794156	0.0813875	0.0600286	0.0469708	0.0679879
a88	0.0603263	0.0875305	0.116991	0.138908	0.1243	0.108347	0.0782214	0.0873377	0.0687607	0.0535503	0.0757267
a31	0.0507049	0.0649316	0.0835238	0.108963	0.096792	0.100268	0.0708707	0.0916336	0.0945476	0.0982273	0.139538
a47	0.0370935	0.0415097	0.0510831	0.0645189	0.058954	0.0460818	0.0391701	0.069753	0.148022	0.20256	0.241254
a96	0.0568413	0.0588856	0.067403	0.0734482	0.0679043	0.0573627	0.0426584	0.0701206	0.110076	0.17064	0.224661
a62	0.0356516	0.0367231	0.0406642	0.0456036	0.0425411	0.0357754	0.0309303	0.0576384	0.107899	0.213772	0.352802
a21	0.0158103	0.017342	0.0203785	0.0247213	0.026335	0.0264964	0.0263215	0.070911	0.126322	0.236389	0.408973
a85	0.012001	0.012473	0.0135549	0.0132024	0.012101	0.00889201	0.0087638	0.019841	0.0923505	0.299711	0.507109
a37	0.00257045	0.00228323	0.00225842	0.00199096	0.00179673	0.0014386	0.00225762	0.00819054	0.0758285	0.300093	0.601292
a18	0.00236245	0.00239033	0.00254297	0.0027522	0.00285657	0.00271922	0.00344718	0.0136049	0.0572106	0.234734	0.67538
a31	0.0111547	0.0116734	0.0121244	0.01078	0.00954617	0.0114538	0.0129101	0.0202657	0.0635783	0.220007	0.616507
a21	0.00283396	0.00337859	0.0039546	0.00519934	0.00647404	0.00714888	0.00983166	0.02972	0.0894728	0.24557	0.596416
a41	0.00822128	0.0091338	0.00952506	0.00984674	0.0102213	0.00876236	0.0107461	0.0256938	0.0632245	0.223403	0.621222
a36	0.00390464	0.00420603	0.00447478	0.00463682	0.00466477	0.00427267	0.00594072	0.0166692	0.0559855	0.241967	0.653278
a26	0.00664003	0.00746513	0.00767701	0.00675924	0.00607314	0.00584905	0.00844063	0.0199588	0.0578144	0.213188	0.660135
a57	0.0749788	0.0593232	0.05783	0.0459313	0.0346347	0.027668	0.0254342	0.0335651	0.0757547	0.170843	0.394037
a87	0.0927418	0.0711826	0.0688183	0.0561737	0.0466158	0.0476972	0.043709	0.0715334	0.102467	0.159502	0.239559
a23	0.0716109	0.0649742	0.0652111	0.0556112	0.0463166	0.0478608	0.0452649	0.0943418	0.135003	0.164512	0.209294
a87	0.0360072	0.0242025	0.0204762	0.0169646	0.015877	0.0169035	0.0328819	0.0835873	0.132107	0.247139	0.373853
a23	0.0135734	0.0126956	0.0133752	0.0136315	0.0140035	0.0145252	0.02357	0.0652497	0.126467	0.243007	0.459901
a10	0.00943977	0.00793371	0.00780823	0.00690952	0.00632309	0.00677513	0.012415	0.0333663	0.123191	0.2976	0.488239
</S>	0.01168	0.0101326	0.00991307	0.010483	0.0110288	0.0123524	0.0202886	0.0387944	0.115081	0.251617	0.508629
