 	la	manière	dont	il	a	quitté	la	maison	cache	quelque	chose	</S>
a66	0.0706254	0.0574035	0.0592624	0.111035	0.147098	0.169491	0.132348	0.103925	0.10068	0.0259802	0.0118884	0.0102633
a87	0.298034	0.178989	0.107846	0.08412	0.0692882	0.0580127	0.0467044	0.0442607	0.0454707	0.0229318	0.0233138	0.0210286
a23	0.271125	0.186149	0.0919201	0.073157	0.0686356	0.0641141	0.0498197	0.0613543	0.0813154	0.023178	0.0152465	0.013985
a87	0.220825	0.276442	0.175474	0.071943	0.0543894	0.0499009	0.0325962	0.0374949	0.0416304	0.0132594	0.010807	0.0152371
a23	0.160667	0.258779	0.18267	0.0869495	0.0734411	0.065797	0.0401293	0.0435534	0.0539855	0.0156152	0.0094269	0.00898631
a83	0.194025	0.279944	0.208012	0.0754215	0.0518382	0.0392609	0.0297204	0.0309864	0.0396004	0.0195123	0.0145426	0.0171362
a9	0.305233	0.237936	0.190718	0.0845235	0.0547881	0.0383521	0.0227592	0.0169357	0.0150442	0.0109844	0.0107372	0.0119893
a83	0.354102	0.2588	0.181238	0.0714222	0.0442031	0.0312498	0.0156337	0.010678	0.00817672	0.00982474	0.00840666	0.00626533
a66	0.290181	0.285573	0.211472	0.0706067	0.0445562	0.0315639	0.0162919	0.0117618	0.00942706	0.0112491	0.0104143	0.00690247
a61	0.184604	0.221637	0.220135	0.101716	0.0764842	0.0576257	0.0298224	0.0240484	0.0190439	0.0217169	0.0243182	0.018849
a96	0.137385	0.167364	0.208829	0.139866	0.119794	0.0865603	0.0393989	0.0289685	0.0215262	0.0215627	0.0180857	0.0106595
a56	0.138913	0.152894	0.20148	0.145723	0.122202	0.0907019	0.0451169	0.0349376	0.0241184	0.0176951	0.0155435	0.010674
a24	0.094641	0.116594	0.172928	0.158321	0.146854	0.119486	0.062748	0.048238	0.0327975	0.0176358	0.0162816	0.0134761
a21	0.063091	0.0902318	0.136354	0.145068	0.141755	0.126051	0.0790703	0.0744197	0.0497208	0.0280558	0.0329424	0.0332397
a12	0.0304477	0.0477581	0.102347	0.153215	0.159394	0.154076	0.103621	0.0987269	0.069762	0.0280376	0.0266934	0.0259203
a96	0.0209384	0.0374197	0.0738922	0.130772	0.150026	0.16736	0.130395	0.125074	0.086906	0.0294056	0.0250883	0.0227225
a94	0.015684	0.028244	0.0595034	0.128909	0.153581	0.173304	0.134298	0.127477	0.0881459	0.0319351	0.0288702	0.0300482
a70	0.012121	0.0188352	0.0359608	0.111256	0.157288	0.171748	0.14558	0.129308	0.114922	0.0427312	0.0302642	0.0299849
a96	0.00946249	0.0122823	0.0218931	0.0951126	0.161369	0.176176	0.155896	0.128363	0.127538	0.0461238	0.0316799	0.0341033
a90	0.00706926	0.0120865	0.0226824	0.072019	0.122036	0.167992	0.152017	0.142007	0.118657	0.0614223	0.0542929	0.0677176
a92	0.00350456	0.00626338	0.0119184	0.0420279	0.0823226	0.121409	0.141072	0.149027	0.129864	0.100937	0.0924906	0.119163
a37	0.00336825	0.00619387	0.0108313	0.0372574	0.0720305	0.111578	0.147209	0.15794	0.130889	0.102811	0.094562	0.125329
a21	0.00422821	0.00644633	0.0110502	0.0400114	0.0772527	0.113378	0.157054	0.158918	0.158248	0.0925339	0.0727964	0.108083
a47	0.00462156	0.00622638	0.00870293	0.0219568	0.0382979	0.0710186	0.118752	0.169966	0.155061	0.121439	0.118589	0.165369
a21	0.00609032	0.011137	0.0180495	0.0439981	0.0660054	0.104993	0.15165	0.160284	0.130526	0.0913549	0.0880915	0.127819
a47	0.00447081	0.00666214	0.0100096	0.023776	0.0385224	0.0682698	0.118489	0.161766	0.153786	0.126597	0.120484	0.167167
