 	le	temps	est	brumeux	ce	matin	</S>
a23	0.422902	0.144159	0.10271	0.105197	0.0871926	0.0774824	0.0603561
a93	0.318998	0.128107	0.144647	0.130658	0.103864	0.0895483	0.0841766
a62	0.432727	0.175458	0.0764961	0.0690019	0.0681837	0.0761259	0.102007
a75	0.617942	0.224783	0.0924181	0.0365629	0.0129665	0.00750799	0.00781914
a56	0.590439	0.242116	0.0871748	0.0333898	0.0152041	0.0134942	0.0181819
a70	0.622842	0.25954	0.0815283	0.018914	0.00546291	0.00490913	0.00680369
a35	0.455654	0.287355	0.162309	0.0494427	0.0161175	0.0137885	0.0153329
a94	0.329906	0.265828	0.227876	0.0971301	0.031789	0.0234821	0.0239885
a61	0.253148	0.24143	0.264716	0.120988	0.0439269	0.0353072	0.0404832
a70	0.279279	0.245883	0.257824	0.123739	0.0408362	0.0269598	0.0254785
a13	0.116046	0.136128	0.250004	0.240647	0.10209	0.0748162	0.0802689
a18	0.0771184	0.0903846	0.173477	0.20467	0.133697	0.144508	0.176145
a11	0.0560309	0.0634039	0.137761	0.204536	0.140893	0.166563	0.230813
a0	0.036763	0.043086	0.0999334	0.211935	0.169841	0.18926	0.249181
a56	0.0155598	0.0187537	0.0495963	0.15106	0.190304	0.24916	0.325567
a44	0.0189592	0.0246165	0.0560783	0.179031	0.245163	0.248207	0.227945
a75	0.0071526	0.00929852	0.0240829	0.0954814	0.205513	0.298549	0.359923
a85	0.00975832	0.011064	0.0254428	0.0843606	0.167057	0.272353	0.429964
a21	0.00903438	0.0111472	0.0257687	0.0639899	0.147768	0.26497	0.477322
a61	0.00888415	0.00842123	0.0162125	0.0471651	0.114738	0.251027	0.553552
a34	0.00168132	0.00230514	0.00749643	0.0352779	0.129362	0.303901	0.519976
a83	0.00192749	0.00239354	0.00612671	0.0265412	0.0953124	0.271807	0.595892
a93	0.00062637	0.000823763	0.00338286	0.0190556	0.0889238	0.271868	0.61532
a70	0.00104051	0.00124716	0.00385617	0.0173485	0.0777156	0.246786	0.652006
a83	0.000506871	0.000693307	0.00280426	0.0148857	0.0727215	0.253035	0.655353
a9	0.000903742	0.00109545	0.00362764	0.0150844	0.0752549	0.275854	0.628179
a87	0.0134227	0.0122447	0.0214454	0.0427231	0.116793	0.299489	0.493882
</S>	0.0771123	0.0530243	0.0606936	0.0737502	0.146615	0.245156	0.343649
