 	quand	tu	dépèces	un	animal	garde-toi	de	crever	la	bile	car	celle-ci	est	amère	</S>
a85	0.24298	0.138162	0.113757	0.081813	0.0672654	0.0665376	0.0646115	0.0516462	0.031156	0.0325892	0.0306335	0.0246398	0.0215439	0.0184866	0.0141786
a57	0.176288	0.0386363	0.0407407	0.0146958	0.0130435	0.0164561	0.0314513	0.033196	0.0316048	0.033786	0.0777334	0.111479	0.159234	0.14285	0.0788051
a87	0.0768198	0.0605696	0.0569074	0.0613829	0.0664087	0.0613505	0.0558073	0.0328331	0.03146	0.0170914	0.0342018	0.0641622	0.121709	0.137226	0.12207
a10	0.112566	0.0792535	0.0973843	0.0634836	0.0560293	0.047499	0.0345078	0.0208269	0.0208859	0.0150429	0.0296306	0.0557393	0.0915779	0.12667	0.148903
a87	0.189083	0.108341	0.166018	0.044458	0.0336726	0.0342749	0.026366	0.0168107	0.0173539	0.0137651	0.0290581	0.0492433	0.0752435	0.093744	0.102567
a23	0.146275	0.0866187	0.108449	0.0402433	0.0329449	0.0354873	0.0282078	0.018935	0.0186804	0.0172534	0.0327836	0.0589339	0.0939936	0.131364	0.14983
a53	0.111106	0.0897276	0.113515	0.0386617	0.0314123	0.0344301	0.0311389	0.0212946	0.0218323	0.01468	0.0385983	0.0676674	0.109336	0.144326	0.132274
a20	0.413626	0.118196	0.0827872	0.0221116	0.0144049	0.0144128	0.0127558	0.0075895	0.00844915	0.0130835	0.0192205	0.0314795	0.0477696	0.0778419	0.116273
a47	0.254154	0.130989	0.169658	0.0403742	0.0279649	0.0269823	0.0225987	0.0132992	0.0138333	0.0183238	0.0256404	0.0388309	0.0480102	0.0729602	0.0963815
a15	0.134784	0.107572	0.194146	0.0636138	0.0592779	0.0555689	0.0432847	0.0255651	0.0211524	0.0267613	0.0303455	0.041794	0.0457357	0.0657389	0.0846594
a44	0.107255	0.110139	0.231349	0.096336	0.0853251	0.0732372	0.0500277	0.0322193	0.023421	0.0245852	0.0253444	0.0307812	0.0295104	0.0377279	0.0427422
a58	0.083239	0.1097	0.178431	0.108464	0.122481	0.104663	0.0731295	0.0446794	0.0271177	0.0278014	0.0228028	0.0217823	0.0169797	0.0229545	0.0357741
a38	0.0719066	0.102245	0.166273	0.102382	0.125836	0.102395	0.0723745	0.0478481	0.0299052	0.0294604	0.0267087	0.0282508	0.022508	0.0296451	0.0422614
a21	0.0474897	0.0748765	0.122045	0.097858	0.136246	0.119187	0.0943607	0.0637735	0.0365247	0.034396	0.0292354	0.028851	0.0235725	0.0339767	0.0576076
a5	0.0623904	0.079521	0.158028	0.109545	0.136147	0.136413	0.10683	0.0666313	0.0318309	0.0349834	0.0193087	0.0131143	0.0109156	0.0121614	0.0221804
a43	0.0408358	0.0507343	0.125539	0.108078	0.134969	0.137465	0.11062	0.0747895	0.0431827	0.0517936	0.0279012	0.0188954	0.0169899	0.0203141	0.0378914
