 	le	petit	oiseau	nzunza	construit	son	nid	avec	de	l'	herbe	iwowongo	</S>
a66	0.064048	0.0611789	0.0733317	0.135245	0.125708	0.0965942	0.0790519	0.108042	0.0858919	0.101151	0.044864	0.0203053	0.00458895
a87	0.202527	0.12654	0.140389	0.128088	0.0725361	0.0430589	0.0273292	0.0475631	0.0423431	0.0548396	0.0359932	0.0452866	0.0335067
a23	0.275644	0.236971	0.209429	0.104697	0.0409852	0.0191651	0.0140377	0.0170629	0.0176761	0.0211022	0.0163816	0.0128914	0.0139563
a99	0.253795	0.270313	0.195411	0.101444	0.0358396	0.0154539	0.011869	0.0166456	0.0163723	0.0250649	0.0246667	0.0222419	0.0108829
a38	0.169633	0.172298	0.128264	0.0749496	0.0511099	0.0281188	0.0235368	0.0406135	0.038481	0.0689354	0.0743854	0.096933	0.0327422
a62	0.135486	0.163151	0.17491	0.163157	0.111575	0.0402159	0.0258647	0.0285342	0.0294187	0.0370786	0.0341998	0.0374188	0.0189916
a96	0.120854	0.127724	0.239803	0.289462	0.103091	0.0261868	0.0169597	0.015969	0.0152569	0.0147211	0.0113018	0.0104984	0.00817278
a75	0.100026	0.0943319	0.22093	0.338324	0.117476	0.0297075	0.019487	0.0180242	0.0158971	0.0143993	0.0111751	0.010738	0.00948428
a98	0.0537279	0.0500193	0.142785	0.256403	0.153185	0.0691789	0.0654862	0.0594602	0.0562331	0.0432452	0.0259274	0.013177	0.0111713
a85	0.0346755	0.0343594	0.0932898	0.164054	0.12938	0.0871056	0.0925165	0.0839106	0.0885249	0.0802301	0.0597204	0.0248389	0.027394
a47	0.0388199	0.0368092	0.0921226	0.163055	0.138202	0.100394	0.103949	0.0902748	0.0866416	0.0698328	0.0414049	0.0171378	0.0213569
a36	0.0223853	0.0211585	0.0402739	0.0766057	0.131077	0.124136	0.13557	0.115521	0.11793	0.0877802	0.0506452	0.0258517	0.0510661
a2	0.0167292	0.014353	0.0255684	0.0409265	0.108975	0.135892	0.151943	0.13871	0.124311	0.0888738	0.0523079	0.0363014	0.0651077
a56	0.0134443	0.00957826	0.0112252	0.0183596	0.0512009	0.0979449	0.133341	0.139993	0.122157	0.106168	0.0953116	0.0791211	0.122155
a37	0.0220769	0.0163831	0.0261844	0.0341261	0.0885403	0.132326	0.15214	0.135193	0.124524	0.0948034	0.0581182	0.0407089	0.0748746
a98	0.00384332	0.00290982	0.00386245	0.0050745	0.0256724	0.0845047	0.154538	0.149843	0.162006	0.129405	0.0975226	0.0647928	0.116025
a92	0.00401904	0.00352487	0.0051116	0.00794048	0.0347151	0.083658	0.120884	0.110412	0.122797	0.108333	0.10922	0.10066	0.188725
a79	0.00266449	0.00228061	0.00356111	0.00441534	0.0213102	0.0709497	0.124484	0.124311	0.13177	0.119278	0.116547	0.0987777	0.179651
a36	0.0022429	0.00184324	0.00285427	0.00397118	0.0174134	0.0557053	0.101359	0.112404	0.128218	0.132679	0.146789	0.11927	0.175251
a56	0.0019843	0.00146234	0.00170169	0.00201957	0.00663788	0.0254202	0.0611935	0.0776393	0.0896538	0.0987343	0.134945	0.156865	0.341743
a96	0.00209753	0.00167668	0.00179838	0.00270004	0.00990622	0.0329691	0.073124	0.0892541	0.0994258	0.109398	0.155247	0.182549	0.239854
a75	0.00183965	0.00123072	0.0011746	0.00168328	0.0058249	0.0177035	0.0405129	0.0556461	0.0716032	0.0856568	0.151605	0.217806	0.347713
a98	0.000851792	0.000659556	0.000732283	0.000904913	0.00357724	0.0109854	0.0232674	0.0326487	0.0468622	0.0654173	0.138847	0.228827	0.446419
a15	0.000512293	0.000317531	0.000326871	0.000407699	0.00168978	0.00629829	0.0142707	0.0212922	0.0296003	0.0394469	0.0929699	0.220316	0.572551
a79	0.000608341	0.000355693	0.000324456	0.000455297	0.0014059	0.00381444	0.00851028	0.0136222	0.0178492	0.0250837	0.0616029	0.198682	0.667686
a90	0.000756156	0.00049512	0.000480481	0.00071648	0.00190367	0.00432608	0.00937801	0.0155225	0.0202531	0.0310994	0.0731405	0.221388	0.62054
a98	0.0011417	0.00066964	0.000592514	0.000859588	0.00238649	0.00500918	0.00917338	0.0146356	0.0186984	0.0301624	0.074903	0.211675	0.630093
a15	0.00021186	0.000112184	8.82523e-05	0.000129163	0.000458487	0.00158778	0.00381612	0.00715979	0.0100605	0.0156285	0.0427815	0.159303	0.758663
a7	0.000112518	4.39815e-05	3.55126e-05	4.69305e-05	0.000169583	0.000617144	0.00130677	0.00245691	0.00371957	0.00657315	0.0253127	0.122379	0.837226
a44	0.0011463	0.0003902	0.000207622	0.000144747	0.000377299	0.00112558	0.00180175	0.00272238	0.00376448	0.00590467	0.0242901	0.106482	0.851643
a98	0.00166436	0.000597658	0.000313362	0.000170459	0.000447456	0.00143376	0.00240214	0.0039833	0.00526785	0.00853189	0.0343577	0.165216	0.775614
a79	0.00037802	0.000130848	7.35259e-05	5.43483e-05	0.000125284	0.000367513	0.000625947	0.00105809	0.00169413	0.00308815	0.0159856	0.0957835	0.880635
a44	0.000171961	6.18003e-05	3.64766e-05	3.46438e-05	9.10188e-05	0.000286718	0.000482482	0.000877693	0.00148055	0.00287843	0.0157729	0.0902585	0.887567
a93	0.000202032	7.06169e-05	4.18611e-05	3.42409e-05	9.31291e-05	0.000333263	0.000580947	0.000988834	0.00151242	0.00259527	0.013401	0.112602	0.867544
a70	0.000290815	0.000106765	5.89247e-05	5.61518e-05	0.000172421	0.00064882	0.00123202	0.00209582	0.00300735	0.00456058	0.0196316	0.118037	0.850102
a13	0.000367585	0.000140593	6.83224e-05	4.86915e-05	0.000220694	0.000897308	0.00163846	0.00271677	0.00384463	0.00586707	0.020061	0.146097	0.818032
a57	0.000966724	0.000428909	0.000202356	0.000126103	0.000393598	0.00116784	0.00255167	0.00447142	0.00646789	0.0103571	0.0372827	0.224652	0.710932
a3	0.00907598	0.00433682	0.00261421	0.00162947	0.00351931	0.00672667	0.0104769	0.0139708	0.0179698	0.0236678	0.0542568	0.195608	0.656147
a97	0.0624279	0.042573	0.0544472	0.0269952	0.0268777	0.0282468	0.0280462	0.0302436	0.0350488	0.0429498	0.0670655	0.183524	0.371554
a87	0.069988	0.0499986	0.0621754	0.0378903	0.033346	0.0351638	0.0352431	0.0470438	0.0562293	0.0772063	0.103807	0.175875	0.216034
a23	0.0633036	0.0449676	0.0603763	0.0506812	0.034059	0.032214	0.0361433	0.0580025	0.070895	0.0972464	0.105705	0.136459	0.209947
