 	ma	femme	a	accouché	d'	un	garçon	</S>
a23	0.28057	0.168063	0.131799	0.140463	0.130025	0.0740757	0.0399001	0.0351051
a13	0.42521	0.24981	0.132105	0.0626	0.0421881	0.0293275	0.0255828	0.0331766
a54	0.319665	0.225133	0.138482	0.0859277	0.0677138	0.0478037	0.0466218	0.0686537
a36	0.43436	0.255555	0.139933	0.0829907	0.045391	0.02025	0.0108784	0.0106422
a11	0.355662	0.278819	0.175741	0.100312	0.0422525	0.0184307	0.0125488	0.0162347
a75	0.33899	0.271139	0.173764	0.0973225	0.0456982	0.0264561	0.0202553	0.0263752
a41	0.292909	0.213754	0.149547	0.11224	0.0773814	0.0536808	0.0466198	0.0538677
a36	0.240619	0.212612	0.161916	0.127026	0.0806949	0.0597209	0.05487	0.0625407
a75	0.173132	0.17932	0.17166	0.150006	0.0965698	0.0766224	0.0726454	0.0800437
a73	0.110729	0.10884	0.113572	0.12632	0.131668	0.128588	0.131175	0.149108
a44	0.0857216	0.100059	0.125221	0.154548	0.133143	0.123507	0.130518	0.147282
a90	0.0833338	0.0894458	0.125782	0.180628	0.147578	0.121797	0.118147	0.133289
a25	0.0562212	0.0576164	0.0749987	0.121015	0.146314	0.15628	0.175244	0.21231
a56	0.0478296	0.0550773	0.0836762	0.149057	0.178548	0.166122	0.154238	0.165451
a37	0.0345958	0.0373965	0.0600956	0.117972	0.196748	0.213453	0.172886	0.166852
a54	0.0253097	0.0255554	0.0371334	0.0661722	0.124585	0.207962	0.241439	0.271844
a73	0.0289495	0.0269109	0.0350584	0.054749	0.0780449	0.132184	0.266115	0.377988
a37	0.0180234	0.0155268	0.0185292	0.0293985	0.0543566	0.13207	0.315788	0.416308
a31	0.0127428	0.0108442	0.0135947	0.0210228	0.0454233	0.127701	0.316941	0.45173
a66	0.00905541	0.00831581	0.0104389	0.0146514	0.0332357	0.11253	0.327604	0.484169
a54	0.00482663	0.00405308	0.00511666	0.00861426	0.024401	0.0830235	0.283837	0.586127
a73	0.00336336	0.00250296	0.00321151	0.00642915	0.0250438	0.104828	0.317651	0.53697
a2	0.00292223	0.00227469	0.00281437	0.0050945	0.0189021	0.0805809	0.303807	0.583604
a57	0.00460126	0.00287949	0.00342453	0.00597834	0.0203897	0.0716673	0.269837	0.621223
a87	0.0732648	0.0529708	0.0529495	0.0551029	0.0848707	0.123869	0.211939	0.345033
a23	0.108589	0.0786409	0.0724929	0.0742078	0.119929	0.172103	0.179956	0.194081
a87	0.0600277	0.0414938	0.0506717	0.0679877	0.119741	0.204993	0.223297	0.231787
</S>	0.0165213	0.0123409	0.0179023	0.0305656	0.0791164	0.169536	0.296123	0.377895
