 	le	ciel	se	brouille	</S>
a23	0.453282	0.201808	0.150895	0.128401	0.0656133
a87	0.346668	0.211916	0.191254	0.169733	0.0804299
a23	0.335099	0.278635	0.167136	0.124463	0.0946673
a24	0.424394	0.352433	0.132203	0.0569112	0.0340578
a9	0.496345	0.350773	0.113762	0.0305731	0.0085472
a38	0.343668	0.351782	0.195454	0.0783929	0.0307036
a76	0.277794	0.311631	0.246148	0.122138	0.0422885
a20	0.291598	0.316055	0.245445	0.114101	0.0328006
a94	0.339004	0.290225	0.231574	0.106105	0.0330922
a58	0.266387	0.233216	0.249574	0.177349	0.0734742
a84	0.215508	0.177401	0.234314	0.24086	0.131917
a87	0.103938	0.113522	0.146583	0.272623	0.363335
a10	0.0802062	0.0985557	0.139352	0.295275	0.386611
a26	0.0683514	0.0915075	0.144229	0.319781	0.376132
a76	0.0718507	0.0785793	0.101572	0.243357	0.504641
a90	0.105205	0.0800915	0.120292	0.279105	0.415306
a58	0.0610322	0.0492778	0.107618	0.299129	0.482943
a11	0.0162813	0.0170269	0.0422366	0.201363	0.723092
a54	0.0111219	0.00985228	0.0259442	0.160464	0.792618
a73	0.0132831	0.0124755	0.029217	0.180804	0.76422
a57	0.00714973	0.00816053	0.0208759	0.146779	0.817035
a87	0.00516326	0.00605919	0.014693	0.102062	0.872023
</S>	0.0201229	0.0149756	0.0335692	0.169214	0.762119
