 	le	poisson	en	forme	de	carpe	est	pris	au	filet	</S>
a66	0.188454	0.147654	0.125081	0.140446	0.128235	0.0901255	0.0756853	0.0544234	0.0242112	0.0146701	0.0110143
a87	0.257624	0.114912	0.09222	0.107142	0.0880407	0.0786869	0.0881304	0.0808561	0.0437148	0.028231	0.0204422
a23	0.257351	0.147343	0.103973	0.196192	0.0940082	0.0645424	0.0438589	0.0411651	0.0216871	0.0161723	0.0137065
a50	0.148629	0.127365	0.110329	0.272002	0.127828	0.0993268	0.0383083	0.0298739	0.0174403	0.0142345	0.014663
a62	0.153516	0.194578	0.176089	0.272083	0.0624018	0.0302656	0.0234688	0.0269714	0.0206467	0.0206466	0.0193334
a21	0.184355	0.193333	0.231825	0.217996	0.0814184	0.0361122	0.0202764	0.0158203	0.00818328	0.00628321	0.00439773
a5	0.0985001	0.149406	0.212216	0.255662	0.129089	0.0693457	0.0307023	0.0218109	0.0121687	0.0113156	0.00978393
a61	0.118229	0.162363	0.239646	0.166593	0.104377	0.0652869	0.0389284	0.0309684	0.0226601	0.0248745	0.0260734
a47	0.122351	0.148016	0.215285	0.179962	0.13187	0.0780005	0.0378737	0.0271684	0.0179944	0.0200171	0.0214632
a62	0.0799736	0.110479	0.16673	0.212026	0.158505	0.107503	0.0497343	0.0344165	0.0233849	0.0259671	0.0312811
a88	0.0292371	0.0501099	0.0804569	0.156575	0.187146	0.151592	0.0911942	0.0687954	0.0480826	0.05848	0.0783307
a75	0.015683	0.0175319	0.0339181	0.0852059	0.181082	0.177649	0.127865	0.107694	0.0735063	0.0831042	0.0967617
a25	0.01433	0.017517	0.0281856	0.0547466	0.12288	0.166291	0.134745	0.106823	0.0859685	0.11095	0.157563
a92	0.0044535	0.00569778	0.00876134	0.0183942	0.0492071	0.0959784	0.124909	0.128848	0.132848	0.173458	0.257445
a93	0.00283471	0.00351658	0.00436897	0.00773964	0.0287665	0.069121	0.111003	0.142356	0.184717	0.202811	0.242766
a4	0.00220474	0.0023017	0.00307327	0.00503937	0.0236085	0.0529254	0.0834806	0.110321	0.172385	0.245311	0.299349
a94	0.000843602	0.000816357	0.00114821	0.00194149	0.00899026	0.0273873	0.0446248	0.0683283	0.139661	0.290319	0.41594
a11	0.000203506	0.000174327	0.000223874	0.000409754	0.00201037	0.00726476	0.0164112	0.0364246	0.12421	0.321737	0.49093
a75	0.000202152	0.000119635	0.000151026	0.000221349	0.00110476	0.00416479	0.013529	0.0383515	0.148799	0.308568	0.484789
a6	2.86219e-05	2.50286e-05	4.62117e-05	0.00011173	0.00059679	0.00308338	0.0104171	0.0264933	0.123121	0.310271	0.525806
a36	1.04892e-05	9.7228e-06	2.01225e-05	4.06074e-05	0.000278631	0.00166054	0.00607517	0.0168415	0.102651	0.313304	0.559108
a26	0.000114459	5.24904e-05	6.82183e-05	6.15224e-05	0.000233361	0.000872854	0.00752319	0.0271135	0.132864	0.301319	0.529777
a57	0.00676414	0.00282252	0.00363741	0.00293236	0.00963022	0.0128243	0.0292849	0.0604655	0.130253	0.268203	0.473183
a87	0.136904	0.057005	0.0389712	0.0454601	0.0557891	0.05515	0.0592336	0.0879979	0.0979208	0.142626	0.222942
a23	0.219548	0.0837356	0.0606048	0.050192	0.0572455	0.0576564	0.0791243	0.11143	0.0977541	0.0895571	0.0931519
a38	0.0213366	0.00708737	0.0045853	0.00359878	0.00550721	0.0114345	0.0370885	0.0783766	0.203419	0.307168	0.320398
</S>	0.0190247	0.00854568	0.00825581	0.00803014	0.015972	0.0294632	0.0518203	0.0752247	0.13774	0.269632	0.376291
