 	il	appuie	son	doigt	dans	la	pâte	de	manioc	</S>
a23	0.278726	0.224235	0.139175	0.0711329	0.0604886	0.0465439	0.0376503	0.0409677	0.0450981	0.055983
a79	0.248895	0.16822	0.106337	0.0736052	0.046015	0.0323834	0.0368233	0.0527508	0.0915208	0.14345
a20	0.283816	0.238501	0.145424	0.0494605	0.036833	0.0296948	0.0340723	0.0348754	0.0577956	0.0895281
a94	0.503846	0.238321	0.141463	0.0394983	0.0278973	0.016405	0.010615	0.00732867	0.00692833	0.00769757
a20	0.435842	0.280459	0.185741	0.0458616	0.0188797	0.00856229	0.00562998	0.00543501	0.00637099	0.00721785
a73	0.298775	0.239603	0.216752	0.0985999	0.045294	0.0235666	0.0166119	0.0167441	0.020879	0.0231741
a94	0.188266	0.192103	0.214083	0.162917	0.0960239	0.0479375	0.0275801	0.0219654	0.0239915	0.0251328
a66	0.161942	0.176883	0.206807	0.161557	0.105693	0.0587686	0.0356854	0.0288478	0.0313783	0.0324375
a24	0.137769	0.166114	0.205934	0.170461	0.122782	0.0608054	0.0339613	0.0288408	0.0341329	0.0392002
a20	0.125882	0.153351	0.195634	0.160266	0.12959	0.0685889	0.0419338	0.0350916	0.040764	0.0488985
a73	0.120055	0.162538	0.199749	0.15487	0.112912	0.0666538	0.0476169	0.0384447	0.0435088	0.053652
a2	0.0723919	0.128432	0.17771	0.165831	0.131886	0.0826699	0.0696927	0.0530113	0.0554667	0.0629081
a76	0.0436591	0.0724183	0.102257	0.108163	0.149768	0.112215	0.101494	0.082192	0.103919	0.123914
a94	0.0448505	0.0631983	0.0883657	0.0965924	0.102036	0.0880303	0.111475	0.108138	0.134908	0.162406
a32	0.0281782	0.0463987	0.0702037	0.0845906	0.128701	0.149023	0.156295	0.119331	0.107913	0.109365
a75	0.0283184	0.0352084	0.0488013	0.0729916	0.126225	0.166496	0.17781	0.122547	0.107815	0.113787
a41	0.0276256	0.0312529	0.0392962	0.0584273	0.104774	0.134815	0.156669	0.14453	0.153193	0.149416
a94	0.0155595	0.0262801	0.0402846	0.0738377	0.121886	0.150887	0.164716	0.136264	0.13649	0.133796
a24	0.01397	0.0169069	0.0223128	0.0340053	0.0703624	0.141409	0.208201	0.167101	0.157277	0.168455
a0	0.0111082	0.0117469	0.0150887	0.0222486	0.0436886	0.101598	0.205173	0.210176	0.197656	0.181516
a11	0.0165644	0.0184034	0.0212358	0.0238646	0.0387748	0.0811313	0.167006	0.195619	0.212839	0.224561
a76	0.0193911	0.0200306	0.0214405	0.0220581	0.0344256	0.0701103	0.15472	0.194796	0.223937	0.239092
a69	0.0110187	0.0116731	0.0123625	0.0161475	0.0342721	0.0792517	0.166375	0.190213	0.218498	0.260188
a4	0.0108426	0.0124714	0.0132599	0.0158716	0.0336418	0.075088	0.163185	0.202721	0.222327	0.250592
a57	0.00818755	0.00960848	0.00953158	0.00990168	0.0220615	0.0493271	0.133728	0.205443	0.256598	0.295613
a53	0.00410029	0.00558429	0.00571778	0.00569746	0.0131643	0.032474	0.0965548	0.169782	0.275225	0.391699
a90	0.0120845	0.0107874	0.00979623	0.0101117	0.0176333	0.0332965	0.0812658	0.161613	0.269374	0.394037
a4	0.00712359	0.00715082	0.00723844	0.00776792	0.0152416	0.0291854	0.0711328	0.142724	0.26561	0.446824
a57	0.00647653	0.00587958	0.0051961	0.00508065	0.0101364	0.0205142	0.0618423	0.148884	0.293609	0.442382
a82	0.00371496	0.00338533	0.00296948	0.00268466	0.00524902	0.0101061	0.0343957	0.0999229	0.276597	0.560975
a87	0.000878082	0.000811425	0.000628186	0.000669953	0.00171332	0.00613851	0.037086	0.129923	0.316986	0.505166
</S>	0.00104384	0.000759926	0.000564509	0.000577798	0.00162321	0.00599775	0.0412105	0.139364	0.318355	0.490503
