 	il	y	a	plusieurs	manières	d'	annuler	votre	voyage	</S>
a66	0.168624	0.128525	0.104471	0.103924	0.107143	0.1101	0.191821	0.0629936	0.0140513	0.00834697
a87	0.210002	0.148901	0.106053	0.133166	0.123234	0.120482	0.0980797	0.0356363	0.0144312	0.010016
a23	0.362364	0.234377	0.151236	0.108587	0.0666331	0.0303306	0.0132538	0.0105945	0.0107384	0.011886
a87	0.295087	0.238464	0.168478	0.150744	0.0823222	0.0304104	0.00867477	0.00568985	0.00743331	0.0126965
a23	0.24417	0.229543	0.182221	0.165498	0.103157	0.0358008	0.0148931	0.00912322	0.0075243	0.0080686
a87	0.290484	0.225401	0.162282	0.13724	0.0924964	0.0385309	0.0149006	0.0100905	0.0122352	0.0163399
a23	0.314962	0.245714	0.158693	0.116285	0.0780344	0.0374705	0.0201964	0.0123134	0.00837365	0.00795799
a10	0.317813	0.219869	0.149631	0.125796	0.085453	0.0386441	0.0179885	0.0115676	0.0137499	0.0194886
a83	0.307982	0.209805	0.143018	0.113902	0.0845683	0.0582302	0.0368205	0.0181933	0.012518	0.0149637
a24	0.290757	0.175467	0.154573	0.115403	0.0833791	0.0532237	0.0355856	0.0316256	0.0327689	0.0272175
a11	0.190039	0.156457	0.161021	0.142794	0.0876759	0.0914111	0.0596971	0.0471245	0.0356496	0.0281301
a90	0.152762	0.143182	0.157894	0.143532	0.0849852	0.0995795	0.0678285	0.0611931	0.0476791	0.0413636
a92	0.0990161	0.100124	0.114988	0.122386	0.0769226	0.121894	0.120525	0.0956001	0.0815545	0.0669888
a37	0.0607473	0.0680322	0.0861304	0.109667	0.0753968	0.142876	0.181387	0.14344	0.077767	0.0545562
a24	0.0869914	0.0982814	0.124623	0.14972	0.113693	0.151752	0.137176	0.0664644	0.0385471	0.0327515
a31	0.0578858	0.0739491	0.0957313	0.137382	0.0872471	0.160911	0.155274	0.0890409	0.067938	0.0746409
a0	0.0692645	0.0805919	0.0995513	0.123067	0.0867773	0.154707	0.173494	0.111525	0.0541694	0.0468535
a24	0.048725	0.0678978	0.0863788	0.151201	0.0802656	0.168895	0.151724	0.0975607	0.0630166	0.0843355
a31	0.0427828	0.0508495	0.0538126	0.0789809	0.0427177	0.098608	0.113626	0.135404	0.137122	0.246098
a88	0.058371	0.0746991	0.0830091	0.111605	0.0659431	0.120901	0.1392	0.142936	0.098065	0.10527
a93	0.0405573	0.051458	0.0548179	0.073061	0.0390466	0.0721897	0.0766508	0.134356	0.189258	0.268605
a34	0.0504891	0.0588941	0.0585584	0.0663785	0.045511	0.080675	0.0930165	0.150627	0.172269	0.223581
a0	0.0378035	0.0490152	0.0542828	0.0738513	0.042644	0.0761322	0.076232	0.149209	0.205205	0.235626
a75	0.017113	0.0203028	0.0217866	0.0277112	0.0200643	0.0409691	0.0706735	0.183413	0.284716	0.31325
