 	son	panier	bourré	</S>
a66	0.558054	0.226389	0.139524	0.0760327
a87	0.396973	0.287145	0.209412	0.106471
a23	0.488474	0.235264	0.160362	0.1159
a62	0.489253	0.230632	0.149318	0.130796
a47	0.55808	0.22542	0.137204	0.0792962
a12	0.417537	0.319561	0.184611	0.0782911
a96	0.341448	0.371496	0.198228	0.0888276
a90	0.287384	0.369068	0.216681	0.126866
a92	0.255747	0.37179	0.209918	0.162545
a98	0.263049	0.314326	0.199233	0.223392
a79	0.202882	0.273765	0.242114	0.28124
a56	0.172598	0.194194	0.265667	0.367542
a18	0.117906	0.149308	0.286856	0.445929
a31	0.0605131	0.0806602	0.259936	0.598891
a88	0.0212751	0.029591	0.188626	0.760508
a71	0.0195483	0.0284694	0.15454	0.797442
a38	0.0515492	0.0622804	0.195521	0.69065
a62	0.0988535	0.0955908	0.237789	0.567767
a21	0.0286315	0.0472701	0.235858	0.68824
a5	0.0107031	0.0220793	0.169522	0.797695
a23	0.00944139	0.0181755	0.133494	0.838889
a62	0.00433364	0.0107609	0.122097	0.862808
a21	0.00784198	0.0156688	0.109554	0.866935
a6	0.00848537	0.0175122	0.115575	0.858427
a36	0.00301199	0.00840052	0.109252	0.879336
a27	0.0236221	0.0479012	0.213394	0.715083
a57	0.218558	0.169222	0.257738	0.354482
a87	0.365972	0.19272	0.212591	0.228716
a23	0.355299	0.19764	0.230031	0.217031
a99	0.165197	0.10506	0.229312	0.500431
a97	0.0464828	0.0383098	0.168592	0.746615
</S>	0.027361	0.031717	0.163451	0.777471
