 	la	nourriture	qu'	ils	ont	apportée	est	déjà	cuite	</S>
a66	0.255437	0.184676	0.127968	0.12499	0.12501	0.0864956	0.0427452	0.0226663	0.0166295	0.0133819
a87	0.349806	0.207622	0.0989426	0.0572217	0.0428002	0.0616162	0.0453283	0.0467784	0.0475104	0.0423737
a23	0.268535	0.204867	0.13236	0.0586753	0.0595254	0.101247	0.0580181	0.0398496	0.0356877	0.0412354
a99	0.336078	0.271981	0.145623	0.048051	0.0502791	0.0531155	0.0341441	0.0233471	0.0163221	0.0210591
a62	0.319356	0.297942	0.15775	0.0451884	0.0332296	0.0282399	0.0184839	0.0195253	0.0309671	0.0493177
a21	0.278081	0.282248	0.206127	0.0913891	0.0566069	0.0350181	0.0213402	0.00965899	0.00795602	0.0115757
a5	0.130052	0.232261	0.238669	0.145496	0.113093	0.0654226	0.0412365	0.0147459	0.00879911	0.0102251
a21	0.102374	0.169104	0.201714	0.162266	0.145883	0.0867808	0.0667484	0.0286526	0.0183923	0.0180853
a47	0.0853755	0.124551	0.156612	0.151842	0.184137	0.123399	0.0933314	0.0378719	0.0235504	0.0193287
a21	0.0600177	0.0718947	0.107561	0.134451	0.185934	0.148873	0.130548	0.0679454	0.0523905	0.0403835
a5	0.0312749	0.0329895	0.0628995	0.1197	0.188488	0.176487	0.154449	0.0979915	0.0776179	0.0581031
a47	0.0215359	0.0195057	0.0357023	0.10516	0.16087	0.153491	0.150413	0.136622	0.122904	0.0937965
a62	0.0190096	0.0133275	0.0196146	0.0748079	0.1529	0.17746	0.164702	0.128289	0.12917	0.120719
a88	0.00905333	0.00623656	0.00909056	0.0319451	0.0840108	0.134306	0.171346	0.171023	0.197592	0.185397
a62	0.00455969	0.0024437	0.00313521	0.0118501	0.0418361	0.0942222	0.181349	0.216297	0.233635	0.210673
a75	0.00364745	0.00176673	0.00198665	0.00672707	0.0226129	0.0569439	0.132366	0.217998	0.273142	0.282809
a92	0.00102507	0.000607982	0.000847234	0.0042317	0.0165035	0.0453176	0.0896313	0.210629	0.278442	0.352765
a98	0.000257103	0.000139203	0.000202354	0.00114398	0.005983	0.0203897	0.0546738	0.196508	0.324858	0.395844
a92	0.000101869	7.02815e-05	0.00012793	0.00070183	0.00341271	0.0100599	0.0294757	0.144963	0.335379	0.475707
a6	0.000132846	7.03016e-05	0.000102281	0.000564328	0.00299419	0.0108507	0.0350596	0.154593	0.336369	0.459263
a37	7.22907e-05	3.19628e-05	4.55854e-05	0.000283255	0.00154588	0.00689631	0.0254628	0.127881	0.326817	0.510964
a26	0.000280681	8.98626e-05	8.7335e-05	0.00042653	0.00154208	0.0067074	0.0196704	0.12274	0.343036	0.50542
a57	0.00132439	0.000565897	0.000358712	0.000723843	0.00130355	0.00377995	0.00895747	0.0635775	0.314818	0.604591
a87	0.0100832	0.004856	0.00303964	0.0035402	0.00563794	0.0134312	0.024903	0.0874326	0.313289	0.533787
a97	0.0766086	0.0415664	0.0276243	0.0261993	0.0315016	0.0563912	0.0816223	0.161788	0.258004	0.238694
a57	0.0451022	0.0252164	0.0148125	0.0129317	0.0196424	0.0446717	0.0695828	0.180416	0.26732	0.320305
a87	0.0144977	0.009381	0.00656064	0.00759299	0.019445	0.056546	0.0906175	0.193174	0.256316	0.345869
a97	0.0201156	0.0155557	0.0129859	0.0111635	0.0209272	0.0447586	0.0627808	0.164853	0.257369	0.38949
a27	0.0169128	0.0121957	0.0109184	0.0124017	0.0291313	0.0628114	0.0849603	0.17401	0.241922	0.354736
a97	0.0177965	0.0149607	0.0140992	0.0188288	0.0341987	0.0647032	0.0840842	0.153175	0.225962	0.372191
</S>	0.0258074	0.0202601	0.0182129	0.0228446	0.0388846	0.070263	0.0848144	0.152522	0.214071	0.35232
