 	il	apporta	un	beau	cabri	à	ses	beaux-parents	</S>
a23	0.344457	0.207083	0.163435	0.0711304	0.0373914	0.0315191	0.0285682	0.0464452	0.0699712
a87	0.415031	0.109001	0.0896631	0.0675916	0.0486068	0.0438185	0.0470777	0.0736814	0.105529
a23	0.336049	0.130526	0.0888232	0.0704629	0.056341	0.054288	0.0559486	0.0875375	0.120023
a79	0.0998992	0.0290829	0.0318509	0.0381356	0.0591671	0.0846286	0.112946	0.18458	0.35971
a20	0.288693	0.105785	0.0905513	0.0607577	0.0648999	0.0594592	0.0610304	0.0911494	0.177674
a84	0.3238	0.152583	0.144512	0.118858	0.0997179	0.0638851	0.0362355	0.0259148	0.0344927
a38	0.274175	0.185475	0.142897	0.124778	0.127339	0.0605738	0.0296873	0.0243617	0.0307134
a12	0.221371	0.153578	0.11424	0.106737	0.106759	0.0709125	0.0592515	0.0693452	0.0978062
a41	0.219087	0.139164	0.12299	0.148974	0.157764	0.0956554	0.050629	0.0320048	0.033732
a35	0.182468	0.161285	0.15873	0.162362	0.151675	0.083243	0.0406507	0.0293912	0.0301956
a41	0.139858	0.112958	0.140934	0.179537	0.165725	0.103062	0.0564292	0.0493162	0.0521801
a73	0.116889	0.100997	0.121992	0.172477	0.162792	0.116082	0.067526	0.0690757	0.0721683
a27	0.117979	0.141273	0.140764	0.158704	0.143949	0.103123	0.0631586	0.0625832	0.0684667
a53	0.0848656	0.0845392	0.0938112	0.114164	0.12779	0.113877	0.0849362	0.124101	0.171916
a76	0.0532798	0.0490112	0.0506503	0.0599711	0.0801233	0.108676	0.117245	0.207172	0.273871
a41	0.0246869	0.0301475	0.0463341	0.0643706	0.0892149	0.146595	0.165077	0.217795	0.215778
a27	0.0235323	0.0320726	0.046607	0.0684762	0.104368	0.165618	0.159609	0.199324	0.200393
a38	0.0194454	0.0189156	0.0260226	0.0355202	0.0584523	0.116651	0.152207	0.247628	0.325158
a41	0.0185144	0.0173461	0.0212679	0.0253097	0.0417569	0.0788301	0.108144	0.262016	0.426815
a18	0.0139527	0.0268594	0.0354133	0.052282	0.0916639	0.175883	0.18268	0.213711	0.207555
a71	0.0101535	0.00940313	0.0112859	0.0166433	0.0302839	0.0751887	0.144833	0.304411	0.397798
a75	0.0133149	0.0105279	0.0114337	0.014707	0.026887	0.0600345	0.128525	0.30906	0.42551
a41	0.00979064	0.0135297	0.0194052	0.0266033	0.0446221	0.093977	0.164818	0.28841	0.338844
a73	0.00542872	0.00915508	0.0144082	0.0223272	0.0378882	0.0799661	0.163977	0.308359	0.358491
a94	0.00595198	0.00849509	0.0110076	0.0160909	0.0290923	0.0599375	0.128693	0.300491	0.44024
a90	0.00326818	0.00362771	0.00463176	0.00732685	0.0161506	0.0367713	0.0884606	0.287105	0.552658
a32	0.00837532	0.0106147	0.0155441	0.0193612	0.0309138	0.0614863	0.129881	0.299605	0.424219
a24	0.00396954	0.00342694	0.00509154	0.00846502	0.0162134	0.034521	0.0806457	0.26137	0.586297
a9	0.00240236	0.00192108	0.00229551	0.0039969	0.00895243	0.0221757	0.0599844	0.262358	0.635914
a87	0.00185981	0.00133639	0.00132176	0.00207634	0.00547723	0.0174368	0.0590582	0.283257	0.628177
</S>	0.00109395	0.00110299	0.00126657	0.00187297	0.00497625	0.0167836	0.0647549	0.310823	0.597325
