 	il	a	mal	à	l'	anus	</S>
a23	0.354144	0.239606	0.144929	0.0998857	0.0702383	0.0530568	0.0381401
a87	0.228674	0.199244	0.187636	0.152248	0.108097	0.0717327	0.0523687
a23	0.191213	0.14326	0.155888	0.163197	0.153884	0.120377	0.0721813
a87	0.132354	0.12771	0.17456	0.171119	0.133921	0.17858	0.081755
a23	0.163908	0.135532	0.150084	0.146788	0.140589	0.157577	0.105522
a53	0.125391	0.11274	0.139155	0.15128	0.128735	0.240967	0.101731
a35	0.289944	0.235367	0.154502	0.113856	0.0665282	0.0908635	0.0489392
a24	0.255885	0.242628	0.179772	0.14144	0.0753981	0.0701497	0.0347266
a35	0.244058	0.248304	0.207126	0.150963	0.0795638	0.0466789	0.023307
a66	0.26404	0.233612	0.194092	0.144996	0.0883816	0.0474832	0.0273956
a90	0.195687	0.172645	0.162744	0.159099	0.136805	0.104874	0.0681464
a94	0.201388	0.190245	0.177858	0.15725	0.129224	0.0825132	0.0615223
a35	0.150974	0.125751	0.120444	0.137666	0.160113	0.167365	0.137687
a4	0.0967971	0.0924513	0.110538	0.140506	0.172373	0.215658	0.171677
a94	0.0449533	0.0400012	0.0546064	0.0904148	0.155179	0.310583	0.304262
a75	0.0156313	0.0146689	0.0267882	0.0573674	0.130498	0.37386	0.381186
a35	0.00763752	0.00746748	0.0165515	0.0421752	0.11215	0.329715	0.484303
a41	0.00641056	0.00616035	0.013434	0.0359041	0.109783	0.320289	0.50802
a75	0.0166446	0.0143417	0.0224006	0.0466742	0.111601	0.282008	0.506331
a14	0.010184	0.00920175	0.0164532	0.0377964	0.101327	0.277917	0.54712
a35	0.0113567	0.00995665	0.0169781	0.0356624	0.0927565	0.285194	0.548096
a66	0.00865068	0.00881924	0.019956	0.0438677	0.105335	0.302259	0.511113
a54	0.0170611	0.0166898	0.0316971	0.0567565	0.113456	0.26724	0.497099
a73	0.00840419	0.0133041	0.0402426	0.0871601	0.160362	0.306296	0.384231
a57	0.00815308	0.0107287	0.0308382	0.0657541	0.139042	0.343251	0.402233
a87	0.032974	0.0378473	0.0590135	0.0892347	0.153725	0.269546	0.357659
</S>	0.0202869	0.019712	0.030256	0.0583178	0.125373	0.292054	0.454
