 	le	malade	a	de	gros	bibons	aux	pieds	</S>
a66	0.351393	0.280559	0.174109	0.0862153	0.0424422	0.0264849	0.0192472	0.010086	0.00946243
a87	0.351837	0.229864	0.167001	0.123881	0.0678686	0.0200686	0.0219182	0.00830966	0.0092526
a23	0.514522	0.278391	0.116843	0.0401036	0.0157221	0.00653532	0.0116142	0.00719778	0.00907138
a79	0.54247	0.253339	0.103931	0.0342059	0.0141519	0.00636723	0.0141004	0.010191	0.0212436
a58	0.331496	0.161415	0.0831093	0.0544712	0.0532037	0.0534872	0.0913358	0.0617004	0.109781
a53	0.226129	0.166659	0.142959	0.0943002	0.0662874	0.0767484	0.0867889	0.0624326	0.0776958
a44	0.100143	0.116513	0.179299	0.19151	0.119117	0.0963069	0.0773822	0.0621252	0.057603
a56	0.0672431	0.0750005	0.147689	0.18209	0.11828	0.127711	0.102372	0.0995058	0.0801087
a44	0.0680118	0.077068	0.149489	0.186017	0.103382	0.121155	0.106537	0.106555	0.0817862
a96	0.0622013	0.066163	0.127099	0.172865	0.104003	0.128957	0.113946	0.122963	0.101803
a75	0.0625778	0.0633718	0.10954	0.149998	0.107104	0.132893	0.118164	0.133171	0.123179
a47	0.0172698	0.0193497	0.0397982	0.079181	0.111605	0.207044	0.199596	0.176004	0.150152
a7	0.0109067	0.00931737	0.0103192	0.0144971	0.0253962	0.126952	0.22317	0.259377	0.320065
a90	0.0176849	0.0110949	0.00668115	0.00550246	0.0115485	0.0824742	0.202519	0.281478	0.381017
a56	0.00835554	0.00532074	0.00360467	0.00406662	0.0172157	0.106717	0.220296	0.285757	0.348666
a98	0.00533616	0.00287499	0.0017414	0.00174682	0.00581363	0.0486554	0.127826	0.325219	0.480787
a15	0.000871557	0.000293958	0.000159273	0.000242558	0.00157556	0.0279687	0.122711	0.308555	0.537622
a7	0.000744108	0.000309331	0.000140493	0.000184655	0.00115811	0.0315511	0.111735	0.27779	0.576387
a4	0.00307143	0.00137355	0.000599191	0.000549232	0.00144901	0.0204655	0.0679825	0.239671	0.664838
a57	0.00391138	0.00159654	0.000701749	0.000864087	0.00344149	0.0516296	0.123642	0.269533	0.54468
a3	0.0179525	0.00815494	0.00363022	0.00398033	0.00658253	0.0294383	0.0911883	0.2402	0.598873
a99	0.421766	0.180748	0.0550761	0.0225338	0.0220284	0.0426394	0.0501843	0.0784172	0.126607
a87	0.335756	0.17265	0.0768308	0.0376246	0.0397404	0.10001	0.0824579	0.0768962	0.0780347
a23	0.257012	0.155847	0.0935379	0.0495595	0.0385984	0.0934621	0.110656	0.107903	0.0934249
a87	0.16839	0.086549	0.0346518	0.01743	0.0190685	0.0699388	0.16104	0.215823	0.227109
</S>	0.0097293	0.00557217	0.00371709	0.0037468	0.00922451	0.0857078	0.22205	0.309598	0.350655
