 	il	a	arrangé	la	machine	qui	était	en	panne	</S>
a23	0.359715	0.207979	0.12115	0.099654	0.0634475	0.040478	0.0272962	0.021577	0.0233414	0.0353629
a87	0.281879	0.144935	0.0894247	0.0914229	0.0732542	0.0574179	0.0478986	0.0523149	0.0595035	0.101949
a23	0.216091	0.127161	0.0732786	0.0723589	0.0664741	0.0679014	0.0764892	0.0890476	0.0906138	0.120584
a79	0.116102	0.059176	0.0621222	0.0784272	0.0537842	0.0497191	0.0615539	0.0996354	0.139251	0.280229
a20	0.43905	0.187307	0.11472	0.0601474	0.0204736	0.0136	0.014625	0.0248855	0.0452014	0.0799904
a73	0.435448	0.252439	0.133839	0.0670613	0.0319396	0.0205659	0.0153582	0.0134991	0.0141567	0.015693
a37	0.292995	0.294543	0.166199	0.0872359	0.0519328	0.0317577	0.0229492	0.0186487	0.0173301	0.016409
a24	0.237918	0.262939	0.163873	0.102113	0.0699329	0.0452649	0.0354993	0.0292694	0.0273256	0.0258639
a61	0.176295	0.213682	0.199819	0.132481	0.0900798	0.0563945	0.0390841	0.0306486	0.0294852	0.0320316
a94	0.142675	0.185547	0.204744	0.159056	0.10893	0.0690042	0.041255	0.0295565	0.0274997	0.0317336
a76	0.135172	0.190441	0.214402	0.16052	0.103657	0.0640171	0.0373159	0.0286085	0.0284074	0.0374593
a35	0.0941007	0.122236	0.161627	0.150426	0.124668	0.094083	0.0658734	0.054571	0.0575769	0.0748379
a75	0.0908003	0.124348	0.176121	0.151763	0.118665	0.0947363	0.0689211	0.053657	0.0537965	0.0671924
a73	0.0526361	0.0712121	0.115601	0.11645	0.121671	0.117777	0.106255	0.0938147	0.0922648	0.112318
a0	0.0615933	0.0786414	0.109153	0.118825	0.123206	0.107979	0.0887569	0.0814669	0.0917609	0.138617
a11	0.0532174	0.066834	0.112156	0.145576	0.135278	0.116571	0.0853949	0.0736021	0.079714	0.131657
a24	0.0542098	0.0644148	0.104822	0.140176	0.134253	0.117764	0.0895008	0.0772099	0.0812147	0.136435
a43	0.0436555	0.0406062	0.0663421	0.0977718	0.137172	0.150046	0.13149	0.103022	0.0916636	0.13823
a94	0.0666075	0.065771	0.0903021	0.120017	0.139591	0.133018	0.106528	0.0824004	0.0764918	0.119273
a41	0.0530072	0.0551269	0.0719187	0.0950683	0.120042	0.131968	0.121515	0.104001	0.0977793	0.149574
a94	0.0139047	0.0188397	0.0362637	0.0634249	0.102097	0.122748	0.137001	0.141236	0.14555	0.218935
a73	0.0118901	0.0146336	0.0288096	0.0474234	0.0821494	0.115511	0.157434	0.171633	0.158477	0.212039
a37	0.00676701	0.0108495	0.0237777	0.046758	0.0832257	0.112921	0.150173	0.168423	0.165115	0.231991
a26	0.00682429	0.0110001	0.0281311	0.0468101	0.075773	0.0948536	0.129843	0.159316	0.164024	0.283425
a75	0.00846883	0.0100128	0.0205806	0.0423015	0.0692603	0.0919851	0.142357	0.172942	0.169793	0.2723
a41	0.00785236	0.0122937	0.0290152	0.0474825	0.0645256	0.0790901	0.1181	0.164478	0.171363	0.305798
a76	0.00315946	0.0050525	0.0166543	0.0349953	0.0606847	0.0826257	0.129494	0.174503	0.174377	0.318455
a20	0.00329853	0.00609129	0.0182054	0.0349368	0.0531729	0.0735402	0.117069	0.17001	0.18174	0.341937
a76	0.00305783	0.00584806	0.0173644	0.0333678	0.0525266	0.0754118	0.132417	0.199679	0.199934	0.280394
a73	0.00511685	0.0093854	0.0253083	0.0445171	0.0674816	0.084267	0.119136	0.161231	0.169855	0.313703
a84	0.0024847	0.00498489	0.0152682	0.0254644	0.0434605	0.0688071	0.113382	0.172477	0.204644	0.349027
a57	0.00110287	0.00165768	0.00512999	0.0142578	0.0230819	0.03355	0.0677011	0.147047	0.227051	0.479421
a87	0.00109849	0.000904801	0.002317	0.00587378	0.0119554	0.0209474	0.0526304	0.143838	0.243768	0.516668
a23	0.000863394	0.000656387	0.00155494	0.0033573	0.0117158	0.0284623	0.0620396	0.154489	0.272919	0.463942
a87	0.0028714	0.00214281	0.00615253	0.00969458	0.0239411	0.0537785	0.113813	0.205427	0.255743	0.326436
</S>	0.00144841	0.00109293	0.00424298	0.00916466	0.0238722	0.0460757	0.0886178	0.17509	0.256226	0.394169
