 	ce	palmier	à	huile	produit	de	grosses	noix	</S>
a66	0.276334	0.130421	0.103773	0.105551	0.127482	0.130015	0.0699347	0.0335466	0.0229408
a97	0.253014	0.126807	0.118874	0.137736	0.120891	0.114753	0.0693189	0.03342	0.0251856
a87	0.353797	0.242906	0.167192	0.0879771	0.0454295	0.0341781	0.0271383	0.0224731	0.0189088
a97	0.30683	0.277582	0.21403	0.101224	0.0488498	0.0260044	0.0100836	0.00671942	0.00867569
a87	0.327081	0.287621	0.212378	0.0870803	0.0398002	0.0197351	0.00803167	0.00740741	0.0108664
a23	0.378334	0.258892	0.17697	0.0815825	0.0433271	0.0251751	0.0110368	0.0102218	0.0144606
a83	0.343497	0.261528	0.180299	0.0866151	0.0476004	0.0289913	0.0176519	0.0159737	0.017844
a50	0.317188	0.237097	0.179358	0.119904	0.0606305	0.0359158	0.024511	0.0141066	0.0112897
a62	0.180265	0.272455	0.235562	0.145628	0.080143	0.0417541	0.0215887	0.0129825	0.0096208
a21	0.138898	0.216942	0.224077	0.16925	0.115889	0.0698391	0.0329546	0.0182355	0.0139146
a5	0.124717	0.193535	0.196601	0.169366	0.128202	0.0850531	0.0516996	0.0292868	0.0215407
a12	0.119192	0.144771	0.14066	0.15619	0.147482	0.118086	0.08047	0.0510716	0.0420779
a31	0.111467	0.116009	0.122564	0.168943	0.180893	0.132477	0.0737904	0.0501042	0.0437533
a18	0.0805294	0.076327	0.0874072	0.15054	0.210535	0.170026	0.0949581	0.0668034	0.0628744
a56	0.0355455	0.0343138	0.0349345	0.0645589	0.132914	0.163483	0.191376	0.177675	0.1652
a93	0.0373463	0.030113	0.033303	0.071206	0.153551	0.17552	0.17581	0.159818	0.163332
a4	0.0301473	0.0231702	0.0237408	0.0436302	0.0942116	0.138316	0.199357	0.215411	0.232015
a94	0.0177023	0.0120381	0.011796	0.0246149	0.0542736	0.0853552	0.190047	0.277409	0.326763
a75	0.00876017	0.00539228	0.00508491	0.0106891	0.0223239	0.0394806	0.124281	0.287074	0.496914
a12	0.00343718	0.00215491	0.00175155	0.00426069	0.010359	0.0247655	0.103347	0.262009	0.587916
a96	0.00197285	0.00122574	0.000974831	0.00193349	0.00381322	0.00943491	0.0592333	0.236837	0.684575
a61	0.000862203	0.000565199	0.000480808	0.00109358	0.00238485	0.0074454	0.0444756	0.181705	0.760987
a62	0.000672145	0.000415934	0.000369226	0.000786907	0.00162709	0.00476994	0.0287104	0.157172	0.805476
a88	0.000803141	0.000681987	0.000676708	0.00139108	0.00295492	0.0101264	0.051691	0.181499	0.750176
a71	0.00730864	0.00571182	0.00572031	0.0120921	0.0222208	0.0442507	0.110468	0.228533	0.563694
a9	0.0185349	0.0125933	0.0120017	0.0240069	0.0441741	0.0648813	0.11745	0.189671	0.516688
a87	0.200637	0.0843976	0.0628521	0.0802063	0.0893685	0.0806609	0.0835574	0.108901	0.20942
a23	0.261467	0.131207	0.0938836	0.0898775	0.0884403	0.0774974	0.065506	0.0784769	0.113645
a99	0.121375	0.069964	0.0406398	0.0349518	0.0267099	0.029023	0.0585855	0.130991	0.48776
a97	0.0478246	0.0283642	0.016935	0.0161473	0.0170723	0.0263369	0.0755248	0.188889	0.582906
</S>	0.0175973	0.00988643	0.00640417	0.00714364	0.0116296	0.018755	0.0661466	0.21717	0.645267
