 	quand	auras-tu	achevé	ton	travail	</S>
a23	0.403743	0.199827	0.177943	0.0963912	0.0600195	0.0620764
a83	0.350314	0.26585	0.196704	0.103205	0.0465384	0.0373888
a54	0.283998	0.312857	0.263874	0.0802655	0.0338399	0.0251659
a76	0.331413	0.38632	0.222117	0.0392302	0.0146427	0.00627675
a35	0.218864	0.37482	0.302855	0.0671777	0.0251375	0.0111457
a76	0.269539	0.387969	0.237368	0.0666296	0.0252608	0.0132328
a35	0.337476	0.363713	0.189494	0.0738337	0.0216979	0.0137852
a32	0.331128	0.37202	0.184748	0.0761011	0.0206726	0.0153299
a26	0.343592	0.362556	0.175974	0.0771369	0.0228734	0.0178668
a32	0.332466	0.37483	0.184283	0.0724333	0.0217088	0.0142796
a0	0.252311	0.360412	0.2252	0.0992619	0.0382672	0.0245484
a24	0.203718	0.342553	0.24776	0.126314	0.0493963	0.0302592
a31	0.19559	0.275119	0.21842	0.147565	0.0906927	0.0726137
a43	0.131965	0.156786	0.136143	0.156872	0.174275	0.243959
a75	0.0431944	0.0729121	0.0894594	0.175565	0.255036	0.363833
a41	0.113177	0.101783	0.111753	0.14505	0.208454	0.319783
a35	0.0573717	0.0525375	0.0589043	0.118948	0.240859	0.471379
a98	0.0482857	0.0405562	0.0449423	0.0943402	0.228893	0.542983
a41	0.0342884	0.0282909	0.0328998	0.0811314	0.224847	0.598542
a14	0.0281431	0.0220246	0.0313956	0.0764047	0.233153	0.608879
a35	0.023926	0.0179225	0.0258251	0.0660115	0.232987	0.633328
a12	0.0360777	0.0179394	0.0227029	0.0473063	0.189487	0.686487
a62	0.0331126	0.0162289	0.0247191	0.0526136	0.180946	0.69238
a24	0.0179957	0.0182883	0.0269995	0.0553174	0.187161	0.694239
a25	0.00907328	0.012338	0.0203147	0.0533224	0.193053	0.711899
a38	0.0420959	0.0425739	0.0509115	0.0984195	0.219556	0.546443
a14	0.0291177	0.0240357	0.0342604	0.073374	0.201639	0.637573
a35	0.0271463	0.0233749	0.0327701	0.0614926	0.185469	0.669747
a41	0.033221	0.0362543	0.0394022	0.0640022	0.174156	0.652964
a35	0.0320894	0.0361292	0.0421345	0.0708921	0.172466	0.646289
a98	0.0329033	0.0401734	0.0527522	0.0852408	0.176109	0.612821
a24	0.0333101	0.0417724	0.0592271	0.0997827	0.181987	0.583921
a25	0.0531839	0.0817887	0.117073	0.133914	0.166819	0.447222
a87	0.0701213	0.100086	0.113891	0.124533	0.156908	0.434459
</S>	0.0391152	0.0591065	0.0783974	0.11794	0.187056	0.518385
