 	il	n'	a	pas	encore	de	femme	il	ne	connaît	pas	son	bonheur	</S>
a23	0.164386	0.136353	0.112532	0.0934137	0.0978837	0.0986749	0.0927449	0.0861031	0.0418434	0.0202675	0.0144502	0.0122387	0.0125298	0.0165792
a85	0.264879	0.187896	0.128898	0.0641273	0.0478191	0.0355785	0.0402625	0.0376147	0.0278745	0.016812	0.0230918	0.0301142	0.035205	0.0598275
a87	0.142157	0.13303	0.119135	0.0822462	0.0616434	0.0543164	0.0598646	0.0626313	0.0456679	0.0339884	0.0352262	0.0498827	0.0487044	0.0715071
a23	0.130336	0.116425	0.109951	0.0788644	0.0599801	0.0511487	0.0558263	0.0522187	0.0412259	0.0342626	0.0402753	0.0617219	0.0631147	0.104649
a57	0.0959116	0.0721454	0.0545724	0.0326345	0.0229077	0.0182338	0.0190669	0.0179592	0.0180877	0.0207304	0.0324099	0.0846425	0.139665	0.371033
a20	0.10515	0.0926499	0.0778771	0.0461082	0.0270819	0.0192837	0.0181533	0.0197409	0.0188753	0.0242324	0.036817	0.0781595	0.131903	0.303967
a14	0.272852	0.178023	0.128366	0.0712641	0.0422739	0.0284513	0.0224594	0.0210702	0.0182492	0.0158298	0.022041	0.0366379	0.0584614	0.0840204
a0	0.175717	0.154992	0.139924	0.111549	0.0794384	0.0714434	0.0607716	0.0586385	0.0395614	0.0269123	0.0217151	0.0217696	0.0189193	0.0186485
a11	0.114218	0.121022	0.123378	0.11449	0.0962033	0.104403	0.0955238	0.076064	0.0455319	0.0272584	0.021244	0.0200768	0.0201578	0.0204294
a30	0.074846	0.0959986	0.114687	0.13021	0.119387	0.123857	0.106942	0.0777403	0.0463179	0.0289045	0.0214843	0.0193964	0.0202735	0.0199546
a14	0.0728636	0.0965388	0.115943	0.127715	0.120432	0.121031	0.102483	0.0782739	0.0515032	0.0352309	0.0233525	0.0190802	0.0182546	0.0172994
a41	0.0886749	0.107451	0.119925	0.121127	0.111859	0.107728	0.0849476	0.0723072	0.0543598	0.045845	0.0317493	0.0225331	0.0168627	0.0146309
a61	0.0690144	0.0960046	0.120439	0.12587	0.120397	0.116982	0.0911881	0.0739893	0.0539783	0.0471655	0.0309555	0.0221899	0.0171196	0.0147065
a34	0.0413077	0.0633137	0.0947835	0.124307	0.137345	0.138509	0.114664	0.0844787	0.0592215	0.0475655	0.0301944	0.0227307	0.0219309	0.0196483
a90	0.036121	0.0529304	0.0796804	0.111183	0.13955	0.143361	0.121532	0.0904056	0.0647551	0.0539431	0.0355111	0.0257226	0.0242575	0.0210473
a93	0.0347618	0.0483775	0.070484	0.0929143	0.136204	0.147202	0.129875	0.098282	0.0684185	0.0553934	0.0375927	0.0285358	0.026969	0.0249901
a62	0.0327029	0.04359	0.0653568	0.0914546	0.139244	0.154467	0.137598	0.101752	0.0679837	0.0518445	0.034568	0.0261437	0.0273063	0.0259877
a24	0.0274766	0.0374609	0.0573319	0.0849755	0.133041	0.151194	0.136833	0.103499	0.0752584	0.0606221	0.0411512	0.0303528	0.0315897	0.0292138
a62	0.028767	0.0355452	0.0490446	0.0677357	0.110154	0.132561	0.131888	0.105498	0.0866396	0.0753478	0.0497638	0.0374177	0.0436444	0.0459931
a75	0.0257082	0.0321165	0.043059	0.0615935	0.100855	0.123987	0.124032	0.104325	0.0906271	0.0865806	0.0665141	0.050982	0.0489708	0.0406489
