 	de	nos	jours	les	garçons	et	les	filles	étudient	dans	une	même	école	</S>
a66	0.199236	0.0968263	0.0849772	0.144596	0.127676	0.0961425	0.0735332	0.0363854	0.0363011	0.023323	0.0199323	0.020089	0.0202756	0.020707
a87	0.394114	0.119461	0.0512702	0.0395272	0.0233615	0.0196718	0.0145366	0.0101987	0.016596	0.0230065	0.0373548	0.0606892	0.0921548	0.098057
a23	0.421114	0.117998	0.0557318	0.0457666	0.0269901	0.0216589	0.0201893	0.0182069	0.0330681	0.0363364	0.0422127	0.0459601	0.0529687	0.0617984
a40	0.31201	0.117087	0.052432	0.0245437	0.013741	0.0100416	0.0108644	0.0129316	0.0177432	0.0253844	0.0459029	0.0768397	0.112177	0.168302
a36	0.286838	0.111642	0.0565016	0.0596866	0.0467274	0.0449393	0.0468684	0.0426044	0.0427375	0.0393067	0.0481262	0.0565006	0.057354	0.0601668
a6	0.198941	0.180716	0.126392	0.119515	0.0731037	0.0351714	0.0261824	0.0201112	0.0178023	0.0207415	0.0305594	0.0449235	0.0513176	0.0545239
a36	0.173166	0.157334	0.135851	0.125433	0.0918758	0.0479928	0.0340804	0.0252531	0.0189956	0.0227572	0.0313603	0.0415317	0.0452146	0.0491531
a61	0.12702	0.15213	0.172279	0.144197	0.114254	0.0610688	0.0425679	0.0310525	0.0229472	0.0239985	0.0266949	0.0285206	0.026779	0.0264912
a88	0.0970182	0.14994	0.183197	0.152788	0.115845	0.0655293	0.0495256	0.0381421	0.0360599	0.0278956	0.0245043	0.0219332	0.0188244	0.0187985
a71	0.045337	0.0976424	0.151293	0.149335	0.157719	0.1008	0.0715476	0.0548033	0.0474342	0.0350701	0.0276727	0.0220335	0.019372	0.0199408
a9	0.049626	0.0925605	0.142259	0.148423	0.16165	0.107699	0.0788902	0.0522772	0.0428405	0.0320034	0.0253905	0.0215402	0.0209881	0.0238531
a87	0.0490921	0.064689	0.11152	0.124963	0.147316	0.109746	0.0925561	0.0646577	0.047815	0.0409731	0.0352977	0.0354752	0.0357699	0.0401296
a23	0.0613588	0.0800805	0.111635	0.116267	0.113134	0.0896545	0.0860958	0.0596901	0.0435515	0.0390782	0.0407327	0.0468188	0.0542022	0.0577012
a40	0.0512154	0.0631249	0.0825965	0.0790305	0.0890353	0.0856136	0.0813555	0.0745509	0.0579609	0.050648	0.0626022	0.0708929	0.073019	0.0783543
a7	0.0639992	0.0898979	0.100885	0.151243	0.1506	0.113848	0.0947612	0.0722582	0.0449263	0.0363636	0.0281902	0.0219412	0.0160131	0.0150729
a20	0.041172	0.0671876	0.091505	0.114306	0.143686	0.146468	0.121967	0.0803499	0.0529595	0.0361489	0.0266603	0.0255639	0.0245752	0.0274511
a54	0.0301111	0.055627	0.0885231	0.153701	0.166727	0.131663	0.104058	0.0778071	0.0545213	0.0443943	0.0318811	0.02313	0.0181499	0.0197069
a36	0.0303844	0.0549211	0.0943116	0.172275	0.193328	0.147459	0.103425	0.0620679	0.0401246	0.0309778	0.0211975	0.0166295	0.0152567	0.0176421
a6	0.0330317	0.0556462	0.0845376	0.137915	0.149659	0.131466	0.10372	0.0686385	0.053868	0.0414298	0.0341074	0.0327811	0.0337862	0.0394134
a37	0.03363	0.0511664	0.0852132	0.147348	0.168844	0.13745	0.104054	0.0656601	0.0428419	0.0363955	0.0308033	0.0293287	0.0297372	0.0375273
a70	0.0291018	0.0398304	0.0576164	0.0961487	0.120937	0.122828	0.115283	0.0874974	0.0748557	0.0505188	0.0404966	0.0441408	0.0502568	0.0704883
a4	0.019911	0.0346332	0.0566608	0.0937258	0.133029	0.14593	0.142825	0.107588	0.0822202	0.0505435	0.0336459	0.0310573	0.0309536	0.0372775
a13	0.0158267	0.0250599	0.0386154	0.0584739	0.0962924	0.141501	0.155848	0.124403	0.0983524	0.0601645	0.0442337	0.0408002	0.0441925	0.0562367
a53	0.0165151	0.0198435	0.0297507	0.0460751	0.0824874	0.135508	0.181029	0.151918	0.116325	0.0624344	0.0363835	0.0323377	0.038053	0.0513393
a15	0.0183616	0.0252259	0.0314356	0.0532975	0.0739275	0.100562	0.123013	0.117404	0.105323	0.0818506	0.0636384	0.0601468	0.0635097	0.082305
a36	0.00740127	0.011475	0.0159997	0.0309753	0.0561579	0.106358	0.143833	0.14938	0.11396	0.0826472	0.0623508	0.0588449	0.0687585	0.0918592
a2	0.0135958	0.0217875	0.0258674	0.0333382	0.0541381	0.0902776	0.131124	0.131545	0.1053	0.0673975	0.0584964	0.0668444	0.0858936	0.114394
a38	0.0337228	0.0293049	0.0295014	0.0314368	0.0466006	0.0746622	0.112038	0.133872	0.114428	0.0796102	0.0587447	0.0628255	0.0867668	0.106486
a12	0.0316785	0.0205372	0.0207224	0.0202084	0.0283103	0.047751	0.0809093	0.106788	0.0912007	0.0729845	0.0650404	0.0873106	0.131799	0.19476
a61	0.00841859	0.014471	0.0209387	0.029068	0.0443205	0.0687341	0.105108	0.133664	0.107497	0.0953457	0.0833132	0.0818025	0.0904122	0.116906
a12	0.00532815	0.0101532	0.0147825	0.0194569	0.0307245	0.0520031	0.090493	0.144268	0.124579	0.113337	0.0942943	0.0883346	0.0954722	0.116773
a18	0.00552365	0.0104354	0.0152066	0.0192931	0.0302371	0.0495201	0.0860857	0.135617	0.114919	0.108022	0.0957313	0.0960636	0.10801	0.125337
a53	0.00598873	0.00963543	0.012308	0.014002	0.0218245	0.0352815	0.055513	0.0966667	0.0870562	0.105019	0.101078	0.115314	0.152545	0.187767
a69	0.00287594	0.00449582	0.00635754	0.0101905	0.0180614	0.038637	0.0711902	0.126019	0.116212	0.125524	0.114794	0.111646	0.117382	0.136614
a44	0.00219645	0.00374278	0.00583369	0.0100445	0.0189343	0.0438096	0.0775201	0.131093	0.123546	0.129091	0.115374	0.107924	0.108222	0.12267
a96	0.00211798	0.00279559	0.00386145	0.00572932	0.0113491	0.0300388	0.0526371	0.103455	0.0965335	0.118233	0.121063	0.129127	0.151118	0.171941
