 	un	cri	de	malheur	provient	du	fond	du	village	</S>
a15	0.240813	0.149866	0.132992	0.152121	0.176203	0.0630715	0.0398346	0.0163477	0.0150677	0.0136826
a66	0.288035	0.123117	0.0837292	0.0990631	0.0720908	0.0467246	0.0509787	0.0518133	0.0867548	0.0976943
a87	0.421388	0.178732	0.102173	0.0877265	0.0596363	0.0271869	0.0225238	0.0196998	0.0344996	0.0464334
a23	0.320353	0.224488	0.148456	0.0927035	0.0553785	0.038013	0.0344698	0.0217575	0.0287636	0.0356171
a83	0.206754	0.187916	0.110614	0.0674533	0.0391565	0.0546444	0.0750499	0.0747117	0.0873713	0.0963274
a90	0.192286	0.139918	0.11018	0.104888	0.119385	0.0745846	0.0778153	0.0520762	0.0633249	0.0655421
a98	0.221637	0.141464	0.124097	0.107311	0.0910628	0.0764615	0.0993337	0.0535509	0.0464339	0.038648
a47	0.126678	0.10198	0.102515	0.100628	0.124011	0.110831	0.144188	0.0647118	0.0659119	0.058544
a85	0.092351	0.0693568	0.0650418	0.0648245	0.112598	0.125744	0.164187	0.104497	0.102072	0.0993278
a6	0.113614	0.0913715	0.0897278	0.0876898	0.093137	0.109701	0.119575	0.0848354	0.101736	0.108612
a75	0.151301	0.134243	0.123417	0.111191	0.0873632	0.0845875	0.078209	0.0548021	0.0786519	0.0962346
a37	0.0949841	0.118275	0.107769	0.109725	0.0930215	0.0972266	0.113254	0.0895677	0.0867035	0.0894743
a90	0.126381	0.171719	0.140512	0.171263	0.127547	0.0849264	0.0507359	0.0326972	0.0405253	0.0536934
a56	0.0794446	0.121153	0.0962707	0.146274	0.144989	0.112214	0.0650999	0.0539178	0.0754596	0.105177
a35	0.0569595	0.0858908	0.0647577	0.116955	0.139841	0.119483	0.0820651	0.0782128	0.105737	0.150098
a56	0.0285752	0.0436248	0.0315192	0.0538177	0.0719861	0.0810058	0.0865273	0.135712	0.183898	0.283335
a93	0.0320236	0.0410051	0.0293167	0.0419788	0.0541314	0.0717363	0.101992	0.153338	0.19015	0.284329
a4	0.0291736	0.0290635	0.0194181	0.0248814	0.0331153	0.0527016	0.0888475	0.148189	0.213354	0.361255
a93	0.00975121	0.00934838	0.00585721	0.0070954	0.0138247	0.0302968	0.0605572	0.165091	0.259118	0.43906
a34	0.00886958	0.00665457	0.00440518	0.00510822	0.00889423	0.0184964	0.0396889	0.163428	0.295902	0.448553
a62	0.00534598	0.00398771	0.00251754	0.00287377	0.00443525	0.00913528	0.0248687	0.153408	0.311379	0.482048
a0	0.00255516	0.00214289	0.0012382	0.00131347	0.00194958	0.00488688	0.0212662	0.150421	0.314602	0.499625
a11	0.0017713	0.00174716	0.00111879	0.00130566	0.00198767	0.0044192	0.023685	0.0965649	0.311969	0.555431
a34	0.00337665	0.00251749	0.00179692	0.00291199	0.00651983	0.0161227	0.0612432	0.133105	0.295525	0.476882
a75	0.00103931	0.000880534	0.000589141	0.000868664	0.00158592	0.00434911	0.0259354	0.104094	0.322794	0.537863
a79	0.000633733	0.000520656	0.000360831	0.000485174	0.000962065	0.0027919	0.0119157	0.0518134	0.25962	0.670896
a44	0.000250243	0.000208069	0.000167149	0.000239399	0.000414849	0.00137985	0.00827187	0.0559234	0.258238	0.674908
a4	0.000335907	0.000296819	0.000252475	0.000408088	0.000845322	0.00229606	0.018728	0.0751127	0.268912	0.632813
a57	0.000514704	0.000490363	0.000389243	0.000556466	0.00108475	0.00334666	0.0216589	0.0843377	0.25275	0.634872
a50	0.00722803	0.00339894	0.00239458	0.0034352	0.0106114	0.0388336	0.101825	0.12588	0.228975	0.477418
a83	0.00336911	0.00166118	0.00108324	0.00139653	0.0031495	0.012007	0.0644148	0.126478	0.250809	0.535632
a9	0.00879239	0.00446243	0.00295406	0.00366561	0.00643954	0.0196458	0.0775223	0.126973	0.238297	0.511247
a99	0.148335	0.0440392	0.0325936	0.0316127	0.0403017	0.0521321	0.0968208	0.085471	0.162308	0.306386
a87	0.105378	0.04102	0.0299553	0.0260387	0.0276233	0.0279989	0.0627533	0.0911225	0.217996	0.370113
</S>	0.0868983	0.0379956	0.0247011	0.0228653	0.0244796	0.0232381	0.0467748	0.090816	0.273974	0.368257
