 	approche-toi	de	moi	pour	que	je	te	transmette	un	message	</S>
a57	0.163004	0.113033	0.0800708	0.0705967	0.0842145	0.089244	0.0774112	0.117467	0.0713878	0.0608223	0.0727488
a97	0.153199	0.0883953	0.054456	0.0449021	0.0517185	0.0707661	0.0811703	0.122665	0.101227	0.100856	0.130645
a83	0.312158	0.128889	0.0557307	0.0386253	0.0449733	0.0595089	0.0678552	0.0691527	0.0598315	0.0707205	0.0925553
a90	0.253008	0.147644	0.0925209	0.0570591	0.0497853	0.0418929	0.0378648	0.0475664	0.0628821	0.0821013	0.127675
a94	0.374617	0.224756	0.132268	0.0705541	0.0456281	0.0266475	0.0168384	0.01846	0.0207446	0.0277951	0.0416915
a11	0.312616	0.205053	0.126431	0.0819743	0.0575393	0.0444896	0.0263083	0.0321442	0.0277114	0.0366415	0.0490913
a56	0.226621	0.174841	0.136316	0.110892	0.0817914	0.0656456	0.0386931	0.0448379	0.0338753	0.0385969	0.0478904
a75	0.182775	0.14192	0.1293	0.125807	0.0971759	0.0791765	0.0443538	0.05079	0.0386232	0.0483814	0.0616979
a85	0.133562	0.109483	0.13174	0.137117	0.11039	0.0884238	0.0584273	0.0627932	0.0465023	0.0563088	0.065252
a56	0.126115	0.10992	0.143577	0.145691	0.117723	0.0868656	0.0677612	0.0652289	0.0452044	0.0457952	0.0461197
a96	0.125061	0.102231	0.127298	0.148145	0.129402	0.107138	0.0693437	0.0662543	0.0406466	0.0417901	0.0426896
a75	0.0631833	0.0547472	0.0900785	0.13376	0.149657	0.143206	0.0961487	0.093797	0.0563432	0.0599293	0.0591497
a85	0.0277351	0.0300409	0.0748774	0.118219	0.141549	0.138089	0.124668	0.110236	0.0884823	0.0820519	0.0640515
a41	0.0226132	0.0274875	0.0784699	0.130753	0.150863	0.140151	0.125612	0.106867	0.0788626	0.0778542	0.060467
a15	0.020648	0.0188004	0.0489072	0.0848806	0.131369	0.14164	0.137582	0.126864	0.0970221	0.104391	0.0878946
a85	0.0164026	0.0159855	0.0372702	0.0596366	0.0997373	0.128276	0.142605	0.122744	0.105936	0.13894	0.132466
a5	0.0186168	0.0180054	0.0412305	0.0580279	0.0909078	0.107802	0.130552	0.127999	0.119331	0.143886	0.143642
a18	0.0219732	0.0173101	0.0395216	0.0610778	0.106322	0.139547	0.150827	0.1326	0.0985172	0.11634	0.115965
a25	0.0123292	0.00916761	0.0188328	0.0251108	0.0487536	0.0913821	0.131475	0.10943	0.121778	0.207078	0.224663
a87	0.0394849	0.0289113	0.044268	0.0544073	0.0854073	0.11999	0.148289	0.11299	0.0858568	0.130854	0.149541
a23	0.0557573	0.0306329	0.0449387	0.0461719	0.0587237	0.0743572	0.0837498	0.0721892	0.0953428	0.16382	0.274317
a99	0.019973	0.0171322	0.0312347	0.0320042	0.0417389	0.0461745	0.0673553	0.0526692	0.153763	0.233902	0.304053
a54	0.0101577	0.0122102	0.0263031	0.0305155	0.046481	0.0458886	0.0675749	0.0507602	0.168306	0.246012	0.295791
a47	0.0375514	0.0301338	0.0534808	0.0512777	0.0522993	0.0460686	0.04743	0.0435974	0.107621	0.194196	0.336344
a37	0.0483076	0.0356523	0.0818739	0.0883243	0.0841887	0.0643327	0.0690378	0.0570774	0.126542	0.173834	0.170829
a70	0.00775897	0.00646434	0.0194048	0.0269442	0.0367019	0.0436226	0.0517797	0.0473224	0.161858	0.301999	0.296144
a21	0.00842704	0.00629911	0.0142763	0.0200059	0.0322808	0.0435079	0.048113	0.0416422	0.140284	0.296139	0.349024
a5	0.00724137	0.00586564	0.010994	0.0146967	0.0254117	0.0397185	0.0461447	0.0448639	0.139894	0.303205	0.361964
a11	0.00558837	0.00462513	0.00954757	0.0130454	0.0220282	0.0352392	0.0421337	0.0408204	0.12397	0.293994	0.409009
a75	0.00169904	0.00136936	0.00326586	0.00452047	0.00875816	0.016147	0.0230941	0.0215301	0.105122	0.345966	0.468528
a21	0.00354983	0.00321789	0.00884638	0.0119285	0.0213423	0.0343635	0.0540488	0.0458497	0.128824	0.286338	0.401691
a61	0.00310792	0.00254963	0.00564945	0.00744446	0.0133501	0.0226895	0.0323106	0.0298826	0.112227	0.305614	0.465174
a34	0.00299624	0.00232845	0.00460075	0.00509553	0.00888315	0.0156352	0.0230287	0.0207763	0.091045	0.300543	0.525068
a56	0.00269326	0.00229709	0.00520876	0.00543971	0.00852258	0.01386	0.0213054	0.0190558	0.0849435	0.292037	0.544637
a96	0.0020225	0.00172959	0.00455222	0.00491118	0.00787528	0.0131438	0.02173	0.0185058	0.089566	0.304019	0.531945
a0	0.00178364	0.00172709	0.00469736	0.00499839	0.0075329	0.0117877	0.0199195	0.0177375	0.080225	0.292765	0.556826
a24	0.00831165	0.0096512	0.0153455	0.0168411	0.0228411	0.0280378	0.0440148	0.0315685	0.09957	0.261149	0.462669
a0	0.0178693	0.0182932	0.0297803	0.0316716	0.0359369	0.036108	0.0545848	0.0383937	0.104225	0.231815	0.401322
a10	0.0456881	0.0385893	0.0524318	0.0530022	0.0542406	0.050226	0.0688575	0.0498846	0.10189	0.184816	0.300374
a87	0.0877678	0.0550503	0.0533146	0.0479889	0.0479871	0.0460953	0.0652137	0.0599789	0.106031	0.154166	0.276406
a97	0.100934	0.0417259	0.0303876	0.0250816	0.0295171	0.0370793	0.0621403	0.0638979	0.130353	0.20441	0.274474
a38	0.162416	0.0545893	0.0320446	0.0228301	0.0339177	0.0488226	0.0728864	0.0787015	0.109252	0.179383	0.205156
a97	0.0720064	0.0397856	0.0362096	0.0267439	0.0339568	0.0368647	0.0682311	0.0539476	0.117951	0.208993	0.305311
</S>	0.0885618	0.0461359	0.0492718	0.0374855	0.0405973	0.0415539	0.0710611	0.0586709	0.105971	0.185773	0.274919
