 	cet	enfant	est	trop	grincheux	</S>
a66	0.508039	0.300656	0.115036	0.0432407	0.0205183	0.0125109
a87	0.410909	0.234769	0.138276	0.0865495	0.0810363	0.0484604
a23	0.38181	0.256123	0.186973	0.0729457	0.060777	0.0413713
a44	0.346788	0.257276	0.159023	0.0789168	0.0815977	0.0763982
a54	0.343582	0.277404	0.162863	0.0991541	0.069062	0.0479349
a47	0.213204	0.230084	0.216123	0.142966	0.125492	0.0721318
a85	0.172361	0.159898	0.163697	0.176283	0.206747	0.121014
a98	0.208808	0.208958	0.229476	0.148654	0.123509	0.0805951
a15	0.183164	0.19729	0.219389	0.149193	0.147193	0.10377
a92	0.134621	0.164369	0.199556	0.166652	0.191954	0.142848
a37	0.155912	0.15116	0.133445	0.14409	0.232071	0.183323
a25	0.123067	0.133686	0.118969	0.132709	0.237839	0.253731
a69	0.0665937	0.0937165	0.11259	0.143	0.236972	0.347128
a54	0.0130748	0.0177303	0.0319919	0.109539	0.274977	0.552687
a85	0.0072824	0.0109881	0.0285604	0.127609	0.297142	0.528419
a5	0.00256481	0.0049625	0.017608	0.0981154	0.284988	0.591762
a18	0.00412291	0.00631068	0.0192533	0.087281	0.228594	0.654438
a25	0.00578515	0.00635116	0.0177775	0.0804822	0.211009	0.678595
a99	0.0366486	0.0305184	0.0427543	0.0912341	0.232482	0.566363
a97	0.124778	0.0685399	0.0494745	0.0718548	0.207022	0.478331
a87	0.211966	0.16849	0.156725	0.121492	0.163554	0.177773
a23	0.167673	0.132638	0.132952	0.139419	0.216847	0.210471
a87	0.076089	0.0587654	0.0576322	0.110059	0.285699	0.411756
</S>	0.0357044	0.0334364	0.0438963	0.0964587	0.281155	0.509349
