 	le	maître	a	défendu	aux	élèves	de	bavarder	en	classe	</S>
a66	0.139752	0.116572	0.115457	0.133742	0.145657	0.150859	0.0927606	0.0667442	0.0192644	0.010881	0.00831245
a10	0.323185	0.190622	0.109192	0.0993312	0.0677031	0.0642807	0.0451927	0.0367297	0.0248222	0.0218488	0.0170937
a87	0.45153	0.188291	0.0812547	0.0655518	0.0519152	0.0623314	0.0271682	0.0208081	0.0134801	0.0191226	0.0185466
a23	0.372459	0.176307	0.0811286	0.071578	0.0633027	0.0863379	0.0468257	0.0432478	0.0207467	0.0204826	0.0175837
a30	0.251913	0.10885	0.061606	0.0733466	0.082753	0.141304	0.0721338	0.0766833	0.0489786	0.0393474	0.0430843
a93	0.256396	0.133529	0.0953387	0.104405	0.0891826	0.117943	0.0494804	0.0527565	0.0364224	0.0312156	0.0333299
a62	0.245811	0.218655	0.176115	0.130395	0.087073	0.0821034	0.0239	0.0136636	0.00828397	0.00633407	0.00766536
a47	0.215187	0.240564	0.171628	0.123425	0.0843631	0.082837	0.0308039	0.0188269	0.0105477	0.00894608	0.0128701
a31	0.145927	0.183129	0.142489	0.119714	0.119423	0.138313	0.0602554	0.0415575	0.0162454	0.0124943	0.020452
a21	0.136922	0.204578	0.172492	0.131956	0.123167	0.127224	0.0435824	0.0257669	0.00988267	0.00917319	0.0152559
a5	0.103611	0.159506	0.151715	0.136757	0.145843	0.157267	0.0663946	0.0389766	0.0120924	0.0105221	0.0173145
a43	0.0856273	0.152167	0.165753	0.144549	0.135602	0.157113	0.061393	0.0396571	0.0143704	0.0150586	0.0287097
a62	0.0694378	0.104262	0.135277	0.144182	0.157091	0.169929	0.0768957	0.04609	0.020862	0.0261664	0.0498079
a88	0.0574199	0.0869428	0.129485	0.151885	0.16129	0.159491	0.097904	0.0600298	0.0248252	0.0264174	0.0443094
a98	0.04278	0.0528962	0.0811976	0.115592	0.147884	0.148806	0.11767	0.0916472	0.0413375	0.0597398	0.10045
a92	0.0289587	0.0425026	0.0908488	0.120834	0.129016	0.141261	0.112705	0.0973485	0.0579568	0.0665549	0.112013
a79	0.0259793	0.0377559	0.0848665	0.102251	0.100074	0.113536	0.110311	0.110514	0.0788797	0.0933653	0.142468
a44	0.013594	0.0195674	0.0487427	0.069898	0.0844279	0.0970496	0.126873	0.161363	0.107802	0.111195	0.159487
a56	0.0163851	0.0158608	0.0326843	0.0578628	0.0748908	0.0812452	0.113566	0.134182	0.0911286	0.14165	0.240545
a75	0.0164844	0.018179	0.038192	0.0583883	0.0702498	0.0798709	0.110263	0.133749	0.104139	0.140917	0.229567
a92	0.00292586	0.00343378	0.00859871	0.0135378	0.0192565	0.027969	0.066278	0.125646	0.133793	0.212749	0.385812
a34	0.00287608	0.00317731	0.00783248	0.0122332	0.0160288	0.019006	0.0441027	0.0891161	0.144556	0.254119	0.406952
a93	0.00326443	0.00268048	0.00575533	0.010128	0.0136717	0.0138121	0.0301334	0.0615612	0.130716	0.328216	0.400062
a56	0.00172069	0.00118413	0.00232702	0.00442567	0.00685654	0.00747879	0.0190638	0.0450025	0.113383	0.348983	0.449575
a75	0.000554946	0.000437901	0.000858581	0.00141886	0.00198701	0.0024486	0.00891646	0.0310079	0.109105	0.386646	0.456619
a5	0.000141351	0.000134662	0.00031007	0.000545353	0.000888673	0.00129622	0.00555674	0.0221991	0.100467	0.392861	0.4756
a23	0.000257707	0.00024713	0.000497955	0.000749737	0.00100354	0.0014216	0.00744205	0.0411195	0.151179	0.401441	0.39464
a90	0.000150807	0.00015529	0.000261656	0.00039942	0.000556646	0.000731471	0.00402969	0.0223301	0.102478	0.370256	0.498651
a79	0.000151081	0.000157719	0.00029162	0.000513445	0.000757924	0.000955131	0.00473518	0.0238267	0.121889	0.398847	0.447875
a37	6.10781e-05	6.93098e-05	0.000138621	0.000248023	0.000441602	0.000720897	0.00375839	0.0199081	0.0904971	0.370413	0.513744
a27	0.000512318	0.000506016	0.000622442	0.000846886	0.000967705	0.000951322	0.00486303	0.0293704	0.114881	0.350612	0.495867
a82	0.0326771	0.0331338	0.0246709	0.0207379	0.0174305	0.010694	0.02606	0.0796164	0.151217	0.244439	0.359323
a10	0.113311	0.0712011	0.0531642	0.0495505	0.0390612	0.0301328	0.0522421	0.108046	0.123386	0.156667	0.203238
a87	0.194533	0.100137	0.0546272	0.055295	0.0456542	0.0469868	0.061202	0.110672	0.105053	0.115244	0.110596
a23	0.147251	0.0778675	0.0410934	0.0461442	0.0420821	0.0493705	0.0641194	0.116212	0.116594	0.148712	0.150554
a87	0.0403314	0.0161133	0.00700054	0.00592109	0.00480141	0.00534126	0.0122439	0.0285526	0.0805991	0.309527	0.489569
</S>	0.0153575	0.00727429	0.00418884	0.00439435	0.00555512	0.00800044	0.0124051	0.026115	0.0653325	0.294582	0.556795
