 	l'	activité	commerciale	de	cette	femme	a	fait	faillite	</S>
a66	0.143591	0.082615	0.0456918	0.074264	0.142148	0.146437	0.145787	0.108024	0.0781978	0.0332439
a87	0.175725	0.0731659	0.0437199	0.0662057	0.0946053	0.124096	0.136496	0.100756	0.124062	0.0611673
a23	0.422516	0.103663	0.0614363	0.0710159	0.0817221	0.0782908	0.0689745	0.0419856	0.0460307	0.0243652
a87	0.236726	0.104929	0.0877513	0.0977683	0.137547	0.118335	0.102101	0.0540501	0.0385848	0.0222081
a23	0.209174	0.104677	0.0837336	0.102814	0.133795	0.128194	0.120155	0.0584294	0.0371259	0.0219027
a79	0.0910066	0.0973237	0.0988472	0.110122	0.114081	0.111301	0.156097	0.096104	0.0884736	0.0366438
a93	0.054133	0.0946181	0.0996484	0.0815353	0.0662087	0.0775716	0.172291	0.140586	0.148852	0.0645552
a34	0.0589345	0.0801882	0.0753764	0.0635505	0.0572226	0.0513304	0.082181	0.204082	0.232125	0.0950092
a61	0.0489815	0.0808244	0.0987326	0.100234	0.117764	0.0760324	0.0711494	0.124231	0.175922	0.106128
a75	0.0419267	0.0834979	0.143112	0.13948	0.153951	0.0845705	0.0629222	0.0913091	0.116065	0.0831664
a90	0.0525699	0.100773	0.130663	0.123817	0.131371	0.0874805	0.06671	0.0876908	0.128206	0.0907184
a75	0.0401048	0.088031	0.164532	0.16991	0.165346	0.0967757	0.0601216	0.067265	0.0866241	0.0612898
a94	0.0679864	0.11141	0.136999	0.132375	0.128076	0.0904983	0.065862	0.0843593	0.103693	0.0787409
a35	0.0312173	0.0644791	0.157099	0.17307	0.157791	0.107006	0.0780325	0.0911802	0.0791488	0.0609764
a66	0.0280815	0.0469781	0.122654	0.15955	0.153856	0.106765	0.0787175	0.103024	0.10635	0.0940232
a90	0.0234534	0.0350486	0.0910215	0.128984	0.13181	0.108668	0.095103	0.128959	0.131848	0.125104
a96	0.0258204	0.0361917	0.0776938	0.0977902	0.0942593	0.0779177	0.080631	0.140995	0.181111	0.187589
a90	0.0204319	0.0252872	0.0541811	0.0727692	0.0830265	0.0748469	0.0816093	0.147965	0.217072	0.222811
a70	0.0208662	0.0302931	0.0643528	0.0716309	0.0708355	0.0671649	0.0800316	0.140568	0.225251	0.229006
a61	0.0086114	0.0113826	0.0303879	0.0408501	0.0484258	0.0488991	0.0611478	0.122998	0.254879	0.372418
a0	0.00552721	0.00692305	0.0173937	0.0221548	0.0260963	0.0316772	0.0492205	0.131431	0.292561	0.417015
a75	0.00171688	0.00232287	0.00517866	0.00561461	0.00644814	0.0117765	0.0298078	0.129527	0.263181	0.544427
a25	0.00470922	0.00891762	0.0234796	0.024916	0.015137	0.0167286	0.0372409	0.0893581	0.211621	0.567892
a90	0.00425523	0.00803792	0.0198799	0.0190515	0.0126964	0.0160641	0.0372218	0.0857289	0.240285	0.556779
a38	0.00281628	0.0037018	0.0089722	0.00920499	0.0063766	0.00868074	0.0207175	0.0626996	0.204806	0.672024
a54	0.00417094	0.00488563	0.00859229	0.00770282	0.00527456	0.0106198	0.025915	0.0676281	0.174307	0.690904
a7	0.00195251	0.00213346	0.00333846	0.00333821	0.00237793	0.00645104	0.0194692	0.0571184	0.20882	0.695001
a57	0.0195589	0.0254447	0.0335151	0.0284616	0.0153918	0.0232799	0.0419958	0.072118	0.182652	0.557582
a87	0.0811657	0.058123	0.0666579	0.046972	0.0341868	0.0415202	0.0658195	0.0981946	0.166071	0.341289
a23	0.153592	0.0527288	0.0505508	0.0497147	0.0517769	0.0557285	0.0838642	0.10723	0.152825	0.241989
a87	0.138114	0.0374433	0.0289577	0.0253575	0.0176048	0.0272579	0.0606153	0.0965748	0.242739	0.325336
a23	0.0654714	0.0229808	0.0228689	0.0181425	0.0164623	0.028717	0.0593519	0.100592	0.302603	0.362811
a87	0.0970061	0.0345434	0.0257485	0.02114	0.0172674	0.0331411	0.0750593	0.109845	0.254758	0.331491
</S>	0.0487423	0.0184572	0.013269	0.0117232	0.0121203	0.0233324	0.0501529	0.0961156	0.312783	0.413304
