 	ma	femme	a	fait	moisir	le	maïs	pour	la	préparation	de	l'	alcool	indigène	</S>
a57	0.105098	0.0917877	0.0855974	0.12589	0.139208	0.0909838	0.0743151	0.086024	0.0618682	0.055202	0.03278	0.0193255	0.0160526	0.00985544	0.00601276
a87	0.162074	0.132145	0.0730903	0.053301	0.0478659	0.0439754	0.0268254	0.0378535	0.0443976	0.0466931	0.0620057	0.0724756	0.100113	0.0673795	0.0298051
a23	0.155944	0.147738	0.0892342	0.0668105	0.0691559	0.0430904	0.0193622	0.018464	0.0196424	0.0213288	0.0330709	0.0470224	0.0925225	0.0988721	0.0777414
a79	0.117263	0.126124	0.0837491	0.0615998	0.0629917	0.0556597	0.0288479	0.0284176	0.0365452	0.0463727	0.062721	0.0695482	0.0981791	0.075891	0.0460905
a94	0.320759	0.254588	0.15142	0.0944248	0.0653852	0.0216909	0.0112594	0.00832901	0.00564695	0.00662432	0.00875314	0.0120956	0.015125	0.0140812	0.0098178
a98	0.262092	0.240398	0.187225	0.107412	0.081363	0.029385	0.0151478	0.0116034	0.00841787	0.00842682	0.00784061	0.0094304	0.00966486	0.0121071	0.00948631
a85	0.158341	0.181674	0.175271	0.13337	0.128074	0.0589979	0.0360341	0.0254289	0.0189195	0.016858	0.0119236	0.012265	0.0126721	0.015071	0.0150997
a36	0.132023	0.172545	0.194971	0.133617	0.121988	0.0693253	0.0487105	0.0363034	0.0220932	0.0138163	0.0092809	0.00924311	0.00998821	0.0117087	0.0143875
a11	0.110284	0.14638	0.184059	0.152855	0.158079	0.0787856	0.0486939	0.0365865	0.0218413	0.0137145	0.00757136	0.00792354	0.00766294	0.0108353	0.0147275
a75	0.0774851	0.109206	0.146934	0.149846	0.158743	0.0926119	0.0613426	0.0493805	0.0367174	0.0261987	0.0148483	0.0148922	0.0138312	0.0193168	0.0286462
a5	0.067153	0.0836936	0.114314	0.13451	0.16656	0.116351	0.100365	0.0728029	0.0379621	0.0176477	0.00849653	0.0100206	0.0122269	0.0202374	0.0376591
a96	0.0622218	0.0798307	0.113894	0.141465	0.170688	0.126715	0.110683	0.075997	0.0383824	0.015947	0.00769043	0.00837841	0.00859158	0.014319	0.0251979
