 	il	ouvre	la	bouche	</S>
a23	0.475516	0.309616	0.0997188	0.050022	0.0651268
a87	0.458666	0.265376	0.120184	0.0833072	0.0724665
a23	0.446194	0.292428	0.126969	0.0681509	0.0662576
a30	0.378325	0.331456	0.16549	0.0581334	0.0665952
a70	0.406341	0.395204	0.146812	0.0251255	0.0265176
a83	0.321621	0.417512	0.190859	0.0435177	0.0264903
a35	0.252186	0.385713	0.231552	0.0827603	0.0477886
a30	0.29498	0.310501	0.198303	0.115633	0.0805831
a35	0.280767	0.261061	0.199641	0.139336	0.119195
a20	0.2063	0.207899	0.200593	0.194563	0.190646
a73	0.198447	0.177776	0.186916	0.21342	0.223441
a94	0.116028	0.113332	0.160623	0.251276	0.358742
a58	0.0477086	0.0554205	0.105221	0.25562	0.53603
a84	0.0220688	0.0356533	0.0841168	0.221566	0.636595
a87	0.00881724	0.0176283	0.0507896	0.156353	0.766412
</S>	0.0181472	0.0246645	0.0547452	0.212306	0.690137
