 	cette	jeune	fille	a	perdu	la	raison	depuis	qu'	on	lui	a	jeté	un	mauvais	sort	</S>
a66	0.092822	0.0927062	0.107264	0.1256	0.14257	0.140349	0.108436	0.0477707	0.0374347	0.025894	0.0218593	0.0211997	0.0109718	0.00623484	0.00711276	0.00631873	0.00545507
a87	0.367888	0.178803	0.0839086	0.0598307	0.0548134	0.0462236	0.0280346	0.014074	0.0170962	0.0124938	0.0108824	0.0125653	0.0102256	0.0134238	0.0247341	0.0335264	0.0314758
a23	0.351765	0.187395	0.104451	0.0800009	0.0765363	0.0484784	0.0308206	0.0165633	0.0135335	0.0098536	0.00879386	0.00768411	0.00650894	0.00766321	0.0118661	0.016659	0.0214263
a62	0.282055	0.182779	0.11861	0.0936344	0.0847456	0.0525852	0.0339778	0.0203343	0.0137737	0.0100937	0.00902149	0.00701593	0.00582522	0.0107574	0.016713	0.0252266	0.0328518
a61	0.254895	0.173805	0.134122	0.113036	0.0894793	0.064539	0.0429797	0.0203711	0.0142992	0.0101615	0.00938699	0.00739533	0.00633926	0.00860888	0.0118891	0.0181454	0.0205469
a43	0.322233	0.249776	0.135966	0.0901973	0.0598707	0.0449287	0.0326994	0.0119963	0.00705904	0.00428052	0.00339172	0.00313997	0.00332054	0.00539108	0.00656568	0.0105891	0.00859461
a93	0.224154	0.206595	0.170747	0.126426	0.0803234	0.0583436	0.0421383	0.0157602	0.00990263	0.00615037	0.0042182	0.0045066	0.00500695	0.00840375	0.0103164	0.0142003	0.0128075
a75	0.121065	0.1315	0.161253	0.147862	0.120604	0.100715	0.0820209	0.0383593	0.02303	0.0121086	0.00820698	0.00739598	0.00588862	0.00851869	0.00963844	0.0110245	0.0108094
a61	0.0963796	0.104513	0.152764	0.139967	0.109758	0.0928699	0.0696905	0.0379499	0.028687	0.0171661	0.0131183	0.0116542	0.011766	0.0213149	0.0253869	0.031966	0.0350488
a34	0.0780298	0.083337	0.137787	0.147265	0.134108	0.118174	0.0990943	0.0555214	0.0337846	0.0185906	0.0149419	0.0128044	0.010876	0.0124472	0.0131734	0.0135259	0.0165391
a21	0.0695674	0.0744107	0.114531	0.12962	0.130357	0.130756	0.123915	0.0821534	0.0478781	0.0237747	0.0194009	0.0146648	0.00941462	0.00717213	0.00663981	0.00686352	0.00888148
a5	0.0383007	0.0470096	0.0998338	0.115978	0.116865	0.129225	0.127539	0.0983356	0.0684907	0.039977	0.035406	0.0270804	0.0170366	0.0106131	0.00904361	0.00882605	0.0104396
a61	0.0213987	0.0264329	0.0717944	0.0937936	0.101071	0.121757	0.128423	0.114443	0.0913039	0.0578607	0.0532634	0.0403303	0.0252654	0.0149482	0.0122029	0.0115372	0.0141742
a21	0.0136785	0.0167523	0.0513178	0.0737931	0.084604	0.112624	0.131075	0.146923	0.125204	0.0723443	0.0610334	0.0406496	0.0215569	0.013169	0.0115139	0.0106152	0.0131459
a5	0.00885498	0.0109432	0.0330421	0.0508357	0.0626572	0.0968196	0.123385	0.159224	0.145911	0.0941023	0.0806925	0.0556356	0.0276729	0.0146502	0.0122235	0.0108739	0.0124759
a75	0.00920087	0.0102229	0.0237298	0.0365388	0.0493077	0.0933826	0.125185	0.17018	0.147557	0.0916236	0.079347	0.0543909	0.0309678	0.0211123	0.0182336	0.0181184	0.0209022
a85	0.00418423	0.00486771	0.0106224	0.0157273	0.0206114	0.0414669	0.0550549	0.101438	0.137164	0.11254	0.114136	0.0879754	0.0741398	0.0655299	0.0520596	0.0483553	0.0541269
a6	0.00197731	0.00249675	0.00529227	0.00826442	0.0111435	0.0223872	0.0319341	0.0713766	0.107656	0.10679	0.119497	0.100518	0.102899	0.092706	0.0687444	0.0653348	0.0809826
a36	0.00253802	0.00286595	0.00543999	0.00866129	0.0120128	0.0283587	0.0383179	0.0951961	0.121185	0.118167	0.130206	0.0973084	0.081236	0.0641024	0.0484888	0.0583845	0.0875307
a75	0.00345923	0.00376474	0.00610169	0.00945455	0.0125431	0.0256494	0.0349069	0.102335	0.123097	0.115883	0.135307	0.0883308	0.0722513	0.0526337	0.0396721	0.0529264	0.121684
a85	0.00168371	0.00166849	0.00298953	0.00435514	0.00579347	0.0136977	0.0226498	0.0812195	0.121048	0.119895	0.138188	0.0999048	0.0929804	0.0723851	0.0547829	0.0617631	0.104997
a47	0.0013745	0.00143468	0.00207385	0.00269825	0.00306366	0.00698914	0.0121487	0.0554433	0.097325	0.111418	0.125164	0.101227	0.107866	0.0914917	0.0758546	0.0880425	0.116385
a36	0.00321491	0.00299866	0.00418063	0.00538934	0.00652389	0.0138191	0.0223161	0.0788007	0.09636	0.100753	0.112944	0.0754341	0.0751517	0.0590425	0.0476268	0.0776962	0.217748
a2	0.00505362	0.00494945	0.00620251	0.0077291	0.00888471	0.0145179	0.0204367	0.0735268	0.0835741	0.0793718	0.0900618	0.0526348	0.0500472	0.0431681	0.0375119	0.0761847	0.346145
a57	0.0228762	0.0219571	0.0236314	0.0283694	0.0320861	0.0343748	0.0373604	0.0858191	0.0954253	0.0786611	0.0884073	0.0445695	0.0369801	0.0390889	0.0407317	0.0645703	0.225091
a87	0.0244423	0.0222665	0.0260483	0.0300108	0.0371808	0.0396457	0.0383759	0.0706014	0.0841173	0.0729129	0.0839121	0.0580939	0.0545749	0.0548809	0.0621835	0.0771853	0.163567
a23	0.0431273	0.0260408	0.0205417	0.0221935	0.0330505	0.0362998	0.026325	0.0307447	0.0468547	0.0490397	0.0557448	0.064687	0.089833	0.0991074	0.0967444	0.0956161	0.16405
a24	0.00776343	0.00395911	0.00264975	0.00244607	0.00296808	0.00474004	0.00461858	0.00856579	0.0204102	0.0271437	0.0293819	0.0438335	0.0878828	0.147566	0.169912	0.17603	0.260129
a83	0.0003204	0.000203901	0.000279277	0.000438906	0.000609263	0.00164352	0.00232026	0.00660564	0.0167599	0.0253541	0.0327031	0.0446825	0.0934617	0.147495	0.15426	0.169833	0.30303
a75	0.00017768	0.000144002	0.000274461	0.00049947	0.00074712	0.00260305	0.00444669	0.0127791	0.0243403	0.02886	0.0334883	0.0428591	0.0795855	0.132435	0.147298	0.190448	0.299014
a47	0.000199635	0.000232817	0.000530048	0.00091191	0.00120418	0.00301614	0.00416448	0.0116375	0.0218167	0.024729	0.0299713	0.0321042	0.0634746	0.124143	0.174753	0.212779	0.294333
a6	0.000117954	0.000148762	0.000339606	0.000583099	0.000780188	0.00173364	0.00236155	0.00739861	0.0154504	0.0197052	0.024944	0.0243311	0.0531974	0.115046	0.163922	0.233599	0.336341
a36	0.000348375	0.000408076	0.000868664	0.00140634	0.00197228	0.00476359	0.00683092	0.0173735	0.0258171	0.0319972	0.041262	0.0370248	0.0647303	0.117138	0.139074	0.220129	0.288856
a37	0.000362923	0.000428377	0.000803152	0.00143545	0.00218974	0.00590564	0.0100538	0.0306456	0.0348174	0.0334332	0.0382955	0.0326398	0.0547867	0.104208	0.127513	0.215633	0.306849
a83	0.000437185	0.000503822	0.000853126	0.00143692	0.00206179	0.00448543	0.00779227	0.0251989	0.0253207	0.0214571	0.0243796	0.0209432	0.0378727	0.0807813	0.1241	0.207164	0.415212
a98	0.000288744	0.000342536	0.000622607	0.00105728	0.00154187	0.00311657	0.00541931	0.0158061	0.0172412	0.0138385	0.0161477	0.0148783	0.0267017	0.0626937	0.11472	0.194661	0.510923
a85	8.77044e-05	8.79394e-05	0.000138702	0.000203307	0.000288943	0.000700031	0.0014049	0.00546914	0.0111776	0.0148518	0.022242	0.0190548	0.0364102	0.0772603	0.103207	0.229453	0.477962
a5	7.40133e-05	6.80963e-05	9.15811e-05	0.000128268	0.000179107	0.000464883	0.000974379	0.00470694	0.00996669	0.0141346	0.0216442	0.0192402	0.0444958	0.101584	0.10951	0.215334	0.457403
a85	0.000299157	0.00030982	0.000417401	0.000586894	0.000742749	0.00167104	0.00337595	0.0157433	0.0226225	0.0219887	0.0271715	0.0229485	0.0425147	0.0916778	0.112577	0.212031	0.423322
a47	9.01019e-05	7.76351e-05	8.03071e-05	0.000107557	0.000135493	0.000317132	0.000580315	0.00349477	0.00956136	0.0154797	0.0239077	0.0209229	0.0507599	0.0988434	0.109996	0.222191	0.443454
a36	4.89355e-05	4.0023e-05	4.60696e-05	5.1667e-05	6.20427e-05	0.000140102	0.000258107	0.00164312	0.00562991	0.00979158	0.0142899	0.012639	0.0321905	0.0765918	0.0916139	0.190794	0.56417
a54	0.000544839	0.000454106	0.000452941	0.000466431	0.000503035	0.00070757	0.00101646	0.00435387	0.0082452	0.00956227	0.011604	0.00853632	0.0205235	0.0549625	0.0708958	0.152221	0.654951
a7	0.00166606	0.00121497	0.00123919	0.00121221	0.00119312	0.00128238	0.00131869	0.00343975	0.0056673	0.00659076	0.00742835	0.006677	0.0166074	0.0416706	0.0732542	0.14709	0.682448
a44	0.000890028	0.000721406	0.000792257	0.000828049	0.000852578	0.000975741	0.00103075	0.0025719	0.00440785	0.00568687	0.00732385	0.00668313	0.0192943	0.0483533	0.0742293	0.147953	0.677405
a38	0.00113532	0.00092554	0.00116228	0.00126611	0.0013627	0.00161895	0.00174623	0.00402589	0.0061517	0.00778121	0.00953959	0.00861236	0.0217129	0.0499651	0.0740358	0.14651	0.662448
a25	0.00221336	0.00164711	0.00188927	0.0020173	0.00233239	0.0027653	0.00283142	0.00579906	0.00892212	0.0113485	0.0136949	0.0123696	0.032086	0.0652774	0.0837614	0.135813	0.615232
a9	0.0172966	0.0116811	0.010555	0.0103967	0.0116564	0.0135244	0.015381	0.023585	0.0262907	0.0296147	0.0292963	0.0339876	0.0683164	0.0958456	0.115	0.14706	0.340512
a87	0.0253553	0.016116	0.0111283	0.0101998	0.0122084	0.0138919	0.0184043	0.0367391	0.0406272	0.0531428	0.0550941	0.052903	0.094256	0.0932028	0.085614	0.114855	0.266262
a23	0.0701681	0.029903	0.0149992	0.013093	0.0171345	0.02107	0.0233255	0.0553866	0.0665736	0.0837848	0.0767574	0.0667266	0.0826961	0.0679761	0.0594317	0.093946	0.157028
a87	0.0182012	0.00807905	0.00593616	0.00527404	0.00636703	0.00951344	0.0102192	0.0257131	0.0395407	0.0535953	0.0533741	0.0481059	0.0723346	0.0954592	0.0986327	0.1572	0.292454
</S>	0.00366409	0.00185361	0.00172161	0.00160441	0.00195371	0.0034584	0.00367425	0.0170071	0.0321342	0.0419002	0.0423742	0.0345426	0.0550969	0.0842193	0.0951861	0.164289	0.41532
