 	j'	allume	ma	pipe	</S>
a10	0.41708	0.243615	0.171802	0.113759	0.0537441
a87	0.567093	0.258942	0.0922737	0.0518133	0.0298782
a23	0.462022	0.242216	0.110138	0.0973559	0.088268
a53	0.468405	0.308664	0.0821423	0.0741148	0.0666737
a4	0.698878	0.194803	0.0421771	0.037185	0.0269572
a75	0.587211	0.264127	0.053728	0.0502667	0.0446673
a14	0.503332	0.328626	0.076298	0.0554669	0.0362776
a35	0.494085	0.351466	0.0832696	0.045993	0.025187
a24	0.398971	0.388804	0.116582	0.0636199	0.0320231
a25	0.377453	0.344084	0.144798	0.0909708	0.0426953
a38	0.198143	0.344008	0.230798	0.157767	0.0692843
a94	0.212234	0.30645	0.239159	0.175871	0.066285
a35	0.244312	0.280871	0.214254	0.18033	0.0802327
a54	0.141145	0.198633	0.220071	0.264564	0.175587
a30	0.0541786	0.0864701	0.17787	0.32691	0.354571
a35	0.0417171	0.0719466	0.166243	0.344309	0.375784
a66	0.0229985	0.0298411	0.0782288	0.306987	0.561944
a75	0.013334	0.0190586	0.0613048	0.278708	0.627595
a41	0.0082286	0.0107503	0.0409976	0.25416	0.685863
a14	0.0171437	0.0209755	0.0537898	0.252738	0.655353
a35	0.0134119	0.0170585	0.048053	0.242409	0.679067
a75	0.021812	0.0294095	0.0646327	0.271647	0.612499
a14	0.0247489	0.0375783	0.0772886	0.260851	0.599534
a30	0.0279061	0.0363579	0.0766615	0.259151	0.599923
a57	0.0556172	0.0754952	0.107577	0.278103	0.483208
a87	0.104381	0.148509	0.172578	0.249672	0.32486
a23	0.0597742	0.0869447	0.160735	0.294615	0.397931
a83	0.147305	0.175497	0.20782	0.239527	0.229851
a24	0.0376713	0.0739008	0.144657	0.289	0.45477
a41	0.0304154	0.0610423	0.106941	0.24673	0.554871
a14	0.0279426	0.0420945	0.0690088	0.211343	0.649611
a30	0.0167333	0.0258063	0.0557541	0.201734	0.699972
a57	0.0314883	0.0402374	0.0783385	0.225689	0.624247
a87	0.0702946	0.079257	0.107051	0.239602	0.503795
</S>	0.0468691	0.071354	0.15649	0.296204	0.429082
