 	la	mangue	est	un	fruit	délicieux	</S>
a87	0.32436	0.312068	0.173793	0.0904764	0.0464864	0.0299038	0.0229119
a97	0.279604	0.133995	0.0855405	0.089356	0.102705	0.150479	0.15832
a99	0.39458	0.232331	0.132725	0.0813694	0.0603517	0.0462488	0.0523946
a13	0.525209	0.26223	0.105123	0.0433711	0.0260553	0.0187345	0.0192773
a54	0.377403	0.186116	0.0952377	0.0746585	0.0928198	0.085757	0.0880074
a15	0.34333	0.192985	0.123639	0.0924222	0.0825594	0.0827782	0.0822864
a56	0.310907	0.197972	0.166922	0.115304	0.0726727	0.0701705	0.0660516
a75	0.298944	0.215127	0.20647	0.120252	0.0638119	0.0502827	0.0451123
a5	0.178598	0.153803	0.165855	0.146602	0.118495	0.127812	0.108835
a18	0.266762	0.192523	0.159276	0.120915	0.0964927	0.0914652	0.0725653
a47	0.220747	0.250709	0.245472	0.128935	0.0573568	0.0504526	0.0463277
a70	0.165672	0.193051	0.194471	0.142581	0.0959828	0.111634	0.0966075
a96	0.0915421	0.0964923	0.128211	0.166555	0.158752	0.181888	0.176559
a75	0.0628639	0.0737814	0.105508	0.16496	0.180958	0.217697	0.194232
a21	0.0409851	0.0417805	0.0496957	0.0963951	0.165471	0.298746	0.306927
a18	0.0308361	0.0328002	0.0459448	0.102068	0.205471	0.288939	0.293941
a47	0.00569315	0.00520878	0.00923719	0.0307308	0.126038	0.330499	0.492593
a98	0.00676789	0.00672155	0.0139694	0.0445139	0.147983	0.338766	0.441279
a71	0.00728143	0.00839627	0.0176515	0.0484002	0.137634	0.316895	0.463742
a3	0.00248943	0.00235834	0.00564101	0.0284833	0.141825	0.34643	0.472773
a97	0.00312413	0.00349528	0.00626718	0.0243752	0.153954	0.370479	0.438306
a87	0.0548275	0.0526344	0.059408	0.0793045	0.170562	0.281986	0.301278
a23	0.0913695	0.0787229	0.0916514	0.120598	0.183884	0.20799	0.225785
a99	0.0372271	0.0298914	0.0352308	0.0554649	0.121275	0.274701	0.446209
a97	0.0185803	0.0164163	0.0217538	0.0377152	0.0964381	0.294838	0.514258
</S>	0.0198419	0.0164716	0.0191649	0.0303447	0.0732847	0.260438	0.580454
