 	beanzambe	s'	est	déjà	réveillé	</S>
a66	0.364089	0.284478	0.270536	0.0625224	0.0119801	0.00639438
a87	0.473475	0.212446	0.184023	0.0709222	0.031116	0.0280171
a23	0.754875	0.145906	0.0626164	0.0196883	0.00764546	0.00926939
a99	0.785699	0.106011	0.0332726	0.0234841	0.0175139	0.0340198
a50	0.67812	0.10202	0.0627387	0.0574144	0.0407861	0.0589208
a62	0.351073	0.163213	0.197063	0.143805	0.0878612	0.0569846
a12	0.322014	0.170767	0.14478	0.14758	0.128982	0.0858774
a5	0.388604	0.218483	0.121997	0.109902	0.100195	0.0608197
a37	0.368666	0.248577	0.139337	0.102251	0.0889998	0.0521689
a5	0.335792	0.254898	0.151906	0.109238	0.0861155	0.0620507
a37	0.323469	0.298401	0.187615	0.0813517	0.0616275	0.0475361
a47	0.246964	0.272871	0.212051	0.107586	0.0835208	0.0770069
a96	0.205056	0.259808	0.249007	0.113312	0.0863334	0.0864835
a88	0.153439	0.225259	0.273139	0.124758	0.103019	0.120386
a71	0.107577	0.142947	0.25731	0.180855	0.130734	0.180578
a9	0.0438554	0.0885621	0.233211	0.232084	0.164302	0.237985
a99	0.0577032	0.0960307	0.204884	0.235193	0.191615	0.214574
a87	0.0708808	0.0924164	0.137778	0.147311	0.1916	0.360014
a23	0.09153	0.0866012	0.162959	0.23695	0.214633	0.207328
a40	0.00808898	0.0156792	0.0512018	0.159361	0.26684	0.498829
a37	0.00551356	0.0148094	0.0850266	0.180932	0.278798	0.43492
a66	0.00297593	0.00756304	0.0477652	0.196901	0.294309	0.450486
a0	0.00316552	0.00538159	0.0311425	0.159649	0.28282	0.517841
a90	0.00678723	0.00855561	0.0284333	0.141596	0.2283	0.586329
a92	0.00265679	0.00368229	0.0146984	0.117535	0.290818	0.57061
a47	0.00169522	0.0024989	0.0112676	0.0920173	0.262078	0.630443
a37	0.000701931	0.00107359	0.00484768	0.0517806	0.204582	0.737015
a44	0.00107875	0.00125352	0.00372567	0.0328869	0.140723	0.820332
a93	0.00134728	0.00135141	0.00387071	0.0347473	0.147326	0.811357
a70	0.00126551	0.00137132	0.004493	0.0363796	0.142859	0.813632
a11	0.00300283	0.00312058	0.00838341	0.0456237	0.140207	0.799662
a66	0.00402642	0.00394234	0.0120719	0.0681183	0.153666	0.758175
a13	0.00589142	0.00633144	0.0181031	0.0832239	0.187375	0.699075
a9	0.012228	0.014465	0.0390977	0.112181	0.209226	0.612803
a87	0.0139975	0.016138	0.041599	0.110413	0.212019	0.605833
a23	0.138277	0.117941	0.120458	0.13751	0.185925	0.299888
a87	0.211243	0.110772	0.0785357	0.108735	0.193581	0.297133
a23	0.0828842	0.0616457	0.0405787	0.069871	0.183702	0.561318
a87	0.131743	0.0820581	0.0661754	0.109687	0.191195	0.41914
a23	0.038945	0.0336346	0.0346745	0.0876881	0.229647	0.575411
a87	0.0633651	0.0575077	0.0676713	0.138115	0.228444	0.444896
</S>	0.0346893	0.0295751	0.0405062	0.109878	0.252832	0.53252
