 	adosse-toi	à	l'	arbre	</S>
a40	0.472736	0.238261	0.123229	0.0889814	0.0767922
a14	0.438242	0.278063	0.116548	0.083763	0.0833838
a35	0.5399	0.294667	0.101115	0.0431064	0.0212109
a76	0.624377	0.222354	0.0858094	0.0417911	0.0256685
a90	0.471438	0.277081	0.136932	0.0716169	0.0429329
a25	0.3974	0.286071	0.159283	0.0942471	0.0629983
a76	0.312955	0.278687	0.198589	0.124111	0.0856587
a35	0.26709	0.277615	0.216332	0.138019	0.100944
a24	0.179259	0.236169	0.232746	0.189752	0.162073
a32	0.122599	0.188341	0.2167	0.229249	0.243111
a38	0.0335541	0.0793836	0.178015	0.301346	0.407701
a76	0.0238313	0.0677932	0.178724	0.304805	0.424847
a73	0.0355045	0.056699	0.135337	0.280926	0.491533
a57	0.0298016	0.0566454	0.145315	0.300813	0.467425
a87	0.0130839	0.0271382	0.0827221	0.233874	0.643182
</S>	0.0248792	0.0324924	0.0880362	0.261128	0.593464
