 	les	gens	se	moquent	de	sa	petite	taille	</S>
a66	0.326953	0.249311	0.193393	0.0879936	0.0496223	0.0335789	0.0239658	0.0181382	0.0170444
a87	0.453238	0.232205	0.106723	0.0432691	0.0302393	0.0268963	0.0311083	0.0369593	0.039362
a23	0.434109	0.27107	0.144045	0.0361384	0.0196775	0.0162335	0.019236	0.0256937	0.033797
a13	0.393887	0.180037	0.0845557	0.0330927	0.0288657	0.0364816	0.0607187	0.0846893	0.0976721
a57	0.350033	0.16305	0.0926067	0.0612979	0.0428928	0.0467858	0.068198	0.0865136	0.0886227
a4	0.368685	0.188725	0.126151	0.090217	0.0523514	0.0408642	0.0411921	0.0450248	0.0467901
a94	0.250413	0.215683	0.162833	0.119693	0.0798207	0.0552238	0.0475426	0.0385272	0.0302636
a44	0.166196	0.192052	0.161962	0.122451	0.0973911	0.0784531	0.0752943	0.060285	0.0459154
a94	0.10635	0.150385	0.149243	0.129184	0.113429	0.10297	0.0976844	0.0804464	0.0703077
a12	0.0888056	0.131551	0.135702	0.108105	0.0980472	0.100442	0.111975	0.112126	0.113245
a62	0.0675622	0.100364	0.111592	0.101032	0.0937123	0.0991804	0.120991	0.142947	0.162619
a88	0.0505111	0.0727239	0.0912824	0.101604	0.097744	0.105082	0.128294	0.162009	0.190749
a54	0.034621	0.0545599	0.0799133	0.096314	0.0957852	0.101573	0.132948	0.180205	0.22408
a47	0.0172359	0.0269815	0.0468996	0.0968729	0.12242	0.135338	0.15164	0.164588	0.238024
a6	0.0187576	0.0294409	0.0536545	0.0959814	0.110588	0.121928	0.142095	0.160676	0.266878
a37	0.0249444	0.0317854	0.0550631	0.10715	0.12349	0.127345	0.138803	0.155083	0.236337
a90	0.0182588	0.0196929	0.0317335	0.0860045	0.116798	0.126508	0.154379	0.187911	0.258715
a79	0.0182079	0.0222954	0.043738	0.124122	0.170877	0.167002	0.145784	0.137451	0.170523
a44	0.00805214	0.00875581	0.0165381	0.0595602	0.112041	0.14702	0.179714	0.2037	0.264619
a12	0.0044704	0.0039135	0.00648392	0.0292627	0.0706575	0.113259	0.169393	0.240273	0.362288
a43	0.00102656	0.000956599	0.0016668	0.0101576	0.0364094	0.0859756	0.177473	0.272431	0.413903
a21	0.000757728	0.000611889	0.000883552	0.00435322	0.0185395	0.0591567	0.16058	0.285215	0.469903
a5	0.000450797	0.00043835	0.000678101	0.00347622	0.013418	0.0416751	0.12478	0.268732	0.546351
a37	0.0004672	0.00035403	0.000470796	0.00205442	0.00889793	0.0362091	0.127465	0.273851	0.55023
a6	0.000792575	0.000509893	0.000647026	0.00241667	0.00896398	0.0383172	0.123931	0.271447	0.552975
a36	0.0003629	0.0003314	0.000554328	0.00387795	0.0168227	0.0644122	0.168119	0.264349	0.48117
a27	0.000713938	0.000528129	0.000771292	0.00364804	0.0147537	0.0568663	0.141605	0.259811	0.521302
a82	0.0314997	0.0208429	0.0219187	0.0373797	0.0643763	0.102882	0.138234	0.21486	0.368008
a87	0.186872	0.095239	0.0708464	0.0551264	0.0688409	0.0840382	0.0969953	0.133353	0.208689
a23	0.284829	0.166365	0.122705	0.0765491	0.0855554	0.0796714	0.0572468	0.0531182	0.073959
a87	0.181597	0.104187	0.080585	0.0824463	0.118486	0.120302	0.101601	0.0882436	0.122552
</S>	0.027617	0.023211	0.0295093	0.0570415	0.112737	0.154602	0.160892	0.172919	0.261471
