 	la	rivière	s'	est	déjà	calmée	</S>
a66	0.368687	0.202916	0.121244	0.0744911	0.0978654	0.090133	0.0446634
a87	0.307773	0.178612	0.179083	0.105371	0.118909	0.0798675	0.0303843
a23	0.421915	0.296494	0.140936	0.0611316	0.0323573	0.0259528	0.0212138
a5	0.288899	0.271718	0.161002	0.093373	0.0726552	0.0669214	0.0454313
a37	0.252923	0.267292	0.19467	0.0840805	0.0592039	0.0876762	0.0541534
a47	0.183534	0.206986	0.218504	0.15009	0.0947611	0.0945165	0.0516073
a5	0.131201	0.1453	0.233242	0.251869	0.12122	0.0712525	0.0459152
a96	0.15812	0.164771	0.248869	0.229027	0.0976999	0.0587662	0.0427471
a0	0.149498	0.155873	0.216302	0.231342	0.127904	0.065793	0.0532885
a75	0.0867096	0.0717415	0.109007	0.200562	0.211142	0.17789	0.142949
a25	0.0667727	0.0505543	0.0635199	0.139904	0.227503	0.253606	0.19814
a92	0.0143007	0.0109839	0.0197591	0.0751069	0.197974	0.354952	0.326924
a25	0.00553587	0.00343187	0.00508259	0.0293481	0.147894	0.446323	0.362385
a56	0.00100898	0.000505527	0.000933007	0.00807782	0.0694343	0.44804	0.472
a44	0.00115248	0.000566609	0.000935142	0.00399584	0.0410095	0.362302	0.590038
a4	0.00145884	0.000635698	0.00108793	0.00378186	0.0353555	0.346834	0.610846
a57	0.00229711	0.00120891	0.00248893	0.00786232	0.0437446	0.315961	0.626438
a82	0.00886344	0.00444966	0.00704575	0.0145833	0.0566471	0.355144	0.553267
a87	0.149618	0.0794936	0.0466309	0.0724651	0.128027	0.255007	0.268759
a23	0.368905	0.22532	0.133336	0.0988172	0.0741724	0.0602682	0.0391816
a87	0.17852	0.115797	0.0591798	0.0472976	0.0827994	0.251989	0.264418
</S>	0.0159741	0.0108818	0.00937446	0.0145265	0.0393716	0.379316	0.530555
