 	il	s'	enfuit	devant	le	python	</S>
a23	0.246091	0.189469	0.326314	0.10075	0.07808	0.0382895	0.0210072
a87	0.260873	0.16631	0.419407	0.074805	0.0362315	0.0231934	0.0191794
a23	0.16844	0.138568	0.383589	0.142606	0.081958	0.0496742	0.0351647
a30	0.1525	0.119183	0.293083	0.139441	0.114905	0.0991765	0.081712
a53	0.0670408	0.0481319	0.116096	0.0898632	0.124417	0.294794	0.259657
a20	0.2521	0.173014	0.244379	0.106217	0.0797941	0.0731284	0.0713669
a84	0.17234	0.166856	0.297204	0.15274	0.096351	0.0713211	0.0431872
a57	0.116357	0.117805	0.232202	0.169063	0.105981	0.145993	0.112599
a87	0.0473158	0.0574778	0.097884	0.120338	0.119271	0.239714	0.317999
a23	0.0505564	0.0449042	0.0968852	0.142984	0.142955	0.23579	0.285925
a53	0.0240974	0.0250466	0.0715958	0.128098	0.147693	0.291058	0.312411
a4	0.100828	0.12058	0.178053	0.13692	0.129699	0.182046	0.151873
a57	0.141262	0.161738	0.21621	0.143286	0.1136	0.124325	0.0995785
a30	0.127066	0.156834	0.220842	0.182574	0.127718	0.112331	0.0726353
a4	0.0658291	0.098937	0.165062	0.220197	0.170877	0.147087	0.13201
a90	0.0755714	0.098208	0.162666	0.159927	0.142489	0.192991	0.168147
a13	0.0921391	0.137375	0.166277	0.154627	0.133086	0.160058	0.156438
a53	0.0508034	0.0555012	0.0853975	0.115291	0.156833	0.282902	0.253272
a76	0.0410361	0.0544826	0.0722508	0.118147	0.166502	0.2807	0.266881
a94	0.0454985	0.050766	0.0697948	0.107152	0.165544	0.2844	0.276845
a69	0.0229753	0.0191084	0.030984	0.0579386	0.12884	0.374256	0.365898
a58	0.0144976	0.0124543	0.0196432	0.0405875	0.0975112	0.371715	0.443591
a84	0.0104898	0.00737862	0.0109847	0.0224538	0.0658597	0.326011	0.556822
a87	0.00917714	0.00618221	0.00755691	0.0104637	0.0335869	0.233571	0.699462
</S>	0.00820755	0.00817971	0.0110967	0.0152663	0.0532967	0.23501	0.668943
