 	ma	soeur	s'	appelle	akoli	</S>
a23	0.42352	0.218971	0.108778	0.0757312	0.0867009	0.0862994
a99	0.471135	0.174175	0.125165	0.0682573	0.0635264	0.0977414
a53	0.460725	0.190335	0.10281	0.0564025	0.0679496	0.121778
a90	0.503908	0.156714	0.11601	0.0790543	0.0558817	0.0884314
a25	0.444101	0.197908	0.165034	0.081793	0.0497545	0.0614094
a98	0.356259	0.211572	0.223806	0.0997369	0.052927	0.0556991
a85	0.326614	0.246418	0.230308	0.101231	0.0548144	0.0406143
a6	0.264629	0.23861	0.262821	0.122974	0.0591631	0.0518029
a36	0.1956	0.192065	0.245677	0.152877	0.0926877	0.121093
a85	0.162169	0.177684	0.24662	0.189992	0.0949719	0.128563
a36	0.126661	0.138029	0.174346	0.1725	0.142785	0.245679
a2	0.171027	0.157679	0.17557	0.176203	0.11637	0.203151
a76	0.0937002	0.0882589	0.115545	0.190209	0.186612	0.325675
a94	0.085389	0.0809145	0.100984	0.145254	0.137487	0.449971
a54	0.0715086	0.0752392	0.108709	0.197852	0.193113	0.353578
a73	0.0707368	0.0675948	0.0854641	0.151198	0.173861	0.451145
a2	0.0842769	0.0945492	0.11112	0.160559	0.179908	0.369587
a53	0.0182469	0.0154106	0.0197641	0.0435334	0.113964	0.789081
a93	0.0502173	0.0402454	0.0505535	0.114654	0.187744	0.556586
a70	0.0189503	0.0163663	0.0194563	0.0542706	0.13519	0.755767
a66	0.0308973	0.0258276	0.0256086	0.0444837	0.12182	0.751363
a9	0.037916	0.0304183	0.0305186	0.062324	0.184094	0.654729
a87	0.0830207	0.0473544	0.0401068	0.0899622	0.205408	0.534148
a10	0.368238	0.225535	0.108453	0.0831017	0.0972114	0.11746
a87	0.241538	0.174773	0.0972527	0.101665	0.150134	0.234636
a10	0.201999	0.127851	0.0775971	0.111213	0.160575	0.320765
a87	0.224646	0.132109	0.0750173	0.0991203	0.152621	0.316486
a23	0.192516	0.134825	0.0852269	0.103393	0.142125	0.341916
a87	0.159325	0.129153	0.0765481	0.11945	0.159325	0.3562
</S>	0.126334	0.0857654	0.0624633	0.110337	0.147643	0.467458
