 	le	camion	est	garé	là-bas	</S>
a87	0.287272	0.296351	0.225749	0.109339	0.0453987	0.0358907
a79	0.178676	0.127609	0.105114	0.113606	0.217059	0.257936
a15	0.313576	0.171108	0.135798	0.102452	0.116833	0.160233
a25	0.336386	0.217527	0.135169	0.116561	0.0945908	0.0997662
a44	0.433073	0.310484	0.114373	0.0563585	0.0434564	0.0422552
a58	0.436898	0.345907	0.1136	0.0492872	0.0292375	0.0250706
a75	0.38639	0.400983	0.125636	0.0429873	0.0232656	0.0207393
a25	0.354015	0.319187	0.139523	0.0982116	0.0482253	0.0408393
a56	0.337968	0.327205	0.136771	0.0944678	0.0537297	0.0498583
a96	0.346538	0.323556	0.148356	0.0935358	0.048561	0.0394534
a75	0.273433	0.287687	0.202424	0.143752	0.0561668	0.0365371
a56	0.190263	0.208096	0.178709	0.195009	0.130486	0.0974363
a70	0.155061	0.206014	0.254509	0.230738	0.0947296	0.0589487
a61	0.0858552	0.112428	0.207255	0.290043	0.189065	0.115354
a88	0.0576387	0.079851	0.174774	0.304669	0.233103	0.149965
a61	0.0277402	0.0432306	0.126216	0.29487	0.288054	0.21989
a93	0.0263617	0.0388983	0.110606	0.260921	0.300501	0.262712
a13	0.0271755	0.0386894	0.101404	0.247997	0.290922	0.293811
a9	0.00518212	0.0089739	0.0364045	0.153009	0.334781	0.461649
a38	0.00495635	0.00737227	0.0370729	0.152354	0.323803	0.474441
a21	0.00596481	0.0068718	0.0230349	0.097451	0.308278	0.5584
a47	0.00358565	0.00566805	0.0204659	0.097503	0.299802	0.572975
a83	0.00401354	0.00658718	0.0227513	0.11326	0.302707	0.550682
a9	0.00372825	0.00670542	0.0291608	0.141997	0.329483	0.488925
a10	0.00777751	0.00910984	0.034499	0.114998	0.350022	0.483593
a87	0.00624082	0.00545479	0.0197935	0.0946663	0.416572	0.457272
a23	0.0469488	0.0473146	0.0897034	0.147577	0.351143	0.317313
a87	0.0156744	0.0122862	0.0256777	0.0912037	0.38296	0.472198
a23	0.00559839	0.00641177	0.0147467	0.0651854	0.347866	0.560192
a87	0.00936979	0.00964248	0.0193817	0.0689816	0.334204	0.558421
</S>	0.0101721	0.0103152	0.0168095	0.0626005	0.308141	0.591962
