 	le	concert	d'	onzele	s'	est	produit	devant	un	public	nombreux	</S>
a66	0.154599	0.155659	0.149984	0.19202	0.104882	0.0964403	0.0542196	0.0541172	0.0170876	0.00912201	0.00611731	0.00575128
a87	0.524207	0.181013	0.0568777	0.0395684	0.0141979	0.0160658	0.0239045	0.0365123	0.0186222	0.0269671	0.0303379	0.0317261
a23	0.458897	0.135337	0.0810297	0.0888451	0.0448834	0.0386335	0.0362379	0.0395787	0.0188873	0.017951	0.0171345	0.0225852
a99	0.224857	0.0972482	0.0682248	0.0993302	0.100105	0.111288	0.0938419	0.0625827	0.0355044	0.0359735	0.0325931	0.0384509
a54	0.213039	0.0726319	0.0508925	0.11795	0.0998584	0.0931431	0.0823272	0.0678883	0.0493143	0.0447564	0.0489983	0.0592009
a6	0.109811	0.0845722	0.0669806	0.125032	0.140063	0.103915	0.0794536	0.0729219	0.082624	0.0504013	0.0421592	0.0420672
a37	0.2291	0.152376	0.0854942	0.127551	0.116764	0.0824746	0.0532574	0.0449222	0.0405999	0.0278577	0.0196224	0.0199801
a5	0.120197	0.0991742	0.0875996	0.151417	0.18551	0.130504	0.0668613	0.048585	0.0400683	0.0283978	0.0197945	0.0218912
a79	0.0843157	0.0783184	0.0801452	0.120263	0.202132	0.174714	0.0939125	0.0616953	0.0347246	0.024422	0.0211275	0.0242291
a92	0.0558328	0.0598748	0.0684147	0.110742	0.206114	0.188545	0.108938	0.0672222	0.0375948	0.0301753	0.0312869	0.0352595
a44	0.0483736	0.0528114	0.0705402	0.111854	0.230551	0.202973	0.106058	0.0615542	0.0280479	0.0233928	0.028863	0.0349807
a61	0.0179646	0.0190271	0.0285976	0.0670363	0.241203	0.252536	0.133509	0.069058	0.0312138	0.0289885	0.0459369	0.0649293
a21	0.0174125	0.0193669	0.0296241	0.0730778	0.178246	0.227791	0.145098	0.0908989	0.0437496	0.0386056	0.0599504	0.0761793
a61	0.0073458	0.00940491	0.0171434	0.0343674	0.0452648	0.0942298	0.1126	0.113075	0.110206	0.111609	0.169145	0.175609
a21	0.00456751	0.00590542	0.00952849	0.0236046	0.0319185	0.0831446	0.173689	0.188516	0.147969	0.103297	0.112445	0.115415
a12	0.00445788	0.00614703	0.00994197	0.019583	0.0251502	0.0738538	0.159801	0.185974	0.181723	0.12688	0.108324	0.0981632
a21	0.00335973	0.00459072	0.00766796	0.015252	0.0276294	0.0575681	0.149989	0.169272	0.168391	0.131584	0.127598	0.137098
a12	0.0019953	0.00245255	0.00382706	0.00630134	0.00902329	0.0210402	0.0832629	0.109596	0.175908	0.192253	0.200171	0.19417
a18	0.00139929	0.00219171	0.00369264	0.00561376	0.0105337	0.0260919	0.0865461	0.114422	0.17068	0.190095	0.194081	0.194652
a34	0.0010984	0.00113198	0.00140483	0.00256542	0.00598268	0.0130141	0.0544335	0.0689944	0.100347	0.165092	0.244513	0.341424
a62	0.000489615	0.000695174	0.00121579	0.0022988	0.00586444	0.0133366	0.0477458	0.0738816	0.130068	0.200277	0.247367	0.27676
a75	0.000380548	0.000487067	0.000767989	0.00194933	0.00627	0.0117978	0.0372685	0.0469532	0.0924003	0.15988	0.26625	0.375595
a92	7.38501e-05	9.36456e-05	0.000170598	0.00044259	0.00166751	0.00482337	0.0172042	0.0221887	0.0534641	0.139092	0.307865	0.452914
a12	4.93659e-05	5.20477e-05	7.611e-05	0.000160528	0.000614313	0.00207916	0.00995931	0.0151276	0.044421	0.129067	0.307395	0.490998
a18	7.39296e-05	8.83289e-05	0.00016076	0.00035367	0.00145474	0.00371677	0.0146211	0.0177374	0.0361705	0.0914205	0.30605	0.528153
a34	0.000977459	0.000685738	0.000656221	0.000669435	0.00305394	0.00602879	0.0250362	0.0272734	0.0527922	0.0796394	0.269072	0.534115
a47	0.00021228	0.000225083	0.000339451	0.00044271	0.00166024	0.00364586	0.0161516	0.0219601	0.0447262	0.101004	0.316039	0.493593
a96	0.000586641	0.000497674	0.000573894	0.000677981	0.00278527	0.00579095	0.0262298	0.0307992	0.0586556	0.101931	0.301815	0.469657
a18	0.000143016	0.000140465	0.000196307	0.000291641	0.0010154	0.0021498	0.00949212	0.013878	0.030984	0.0844933	0.303194	0.554022
a62	0.00304668	0.00203166	0.00190165	0.0013155	0.00736888	0.0115983	0.0333056	0.0318841	0.0611336	0.0736109	0.25733	0.515473
a88	0.0010086	0.000686216	0.000519538	0.000503768	0.00260476	0.00581939	0.0281349	0.0326975	0.0614428	0.0839377	0.278765	0.50388
a71	0.00062412	0.000453131	0.000364339	0.000421341	0.00319868	0.00670596	0.0281823	0.0288886	0.0536088	0.074033	0.258978	0.544542
a9	0.00860613	0.00610505	0.00570849	0.00570505	0.0209886	0.0218206	0.0418359	0.0417634	0.0676895	0.084651	0.231779	0.463348
a99	0.0947876	0.0466769	0.0328537	0.0425322	0.041323	0.0383281	0.050141	0.0527863	0.0692986	0.0931497	0.184788	0.253335
a87	0.228916	0.0776058	0.0514101	0.038787	0.0209845	0.0233507	0.0307272	0.0343316	0.0424908	0.0695566	0.159188	0.222652
a23	0.175627	0.0837847	0.0573726	0.0280865	0.0132438	0.0160697	0.024433	0.0397568	0.0480085	0.0911359	0.186208	0.236274
a87	0.0253516	0.00789862	0.00371879	0.00152239	0.00107162	0.00210312	0.0082117	0.0213652	0.0422721	0.138758	0.323477	0.42425
</S>	0.00802579	0.00201764	0.000921474	0.000546887	0.000813222	0.00226587	0.0121852	0.022272	0.0403947	0.131468	0.318413	0.460676
