 	la	poule	a	construit	un	nid	</S>
a66	0.317466	0.217696	0.162468	0.135404	0.085683	0.0462084	0.0350742
a87	0.413692	0.211657	0.139356	0.0627899	0.0460128	0.0586806	0.0678107
a23	0.604528	0.192844	0.06477	0.0318147	0.0279752	0.0347693	0.0432992
a56	0.538369	0.200427	0.0727414	0.0388397	0.0411259	0.048987	0.0595091
a43	0.467377	0.210506	0.116048	0.0723901	0.0494801	0.042352	0.0418464
a75	0.356751	0.331381	0.155299	0.0618947	0.0399973	0.0317613	0.0229157
a5	0.239476	0.311719	0.226581	0.105035	0.0604113	0.0310354	0.0257413
a61	0.250782	0.294854	0.243776	0.0980893	0.0506747	0.0295274	0.032297
a47	0.247226	0.29724	0.253355	0.104388	0.0433905	0.0253564	0.0290446
a88	0.105503	0.170838	0.239226	0.216007	0.119595	0.0709273	0.0779026
a71	0.0465367	0.07429	0.139311	0.204928	0.184173	0.173045	0.177715
a38	0.0254687	0.0353719	0.084376	0.151816	0.188123	0.25101	0.263835
a21	0.0261136	0.0306781	0.0733855	0.150521	0.201726	0.25914	0.258436
a70	0.0267417	0.0286382	0.04637	0.130725	0.242659	0.254767	0.270099
a93	0.00382483	0.00461791	0.00848139	0.0404904	0.156076	0.34609	0.440419
a96	0.00454438	0.00535857	0.0107496	0.0438428	0.149018	0.328612	0.457875
a93	0.00161873	0.00186026	0.00345711	0.0165533	0.0848686	0.323417	0.568225
a70	0.00107699	0.0013601	0.00278314	0.0142849	0.0768609	0.318493	0.585141
a13	0.00111907	0.00154663	0.00316747	0.0129504	0.0650159	0.326693	0.589507
a99	0.00404418	0.00623889	0.0134966	0.0425411	0.128555	0.366455	0.438669
a87	0.0130442	0.016964	0.0255034	0.0613874	0.146857	0.341991	0.394253
a23	0.395855	0.211746	0.0981578	0.063014	0.0607312	0.0807379	0.0897577
a87	0.155125	0.065287	0.0447805	0.0403648	0.0708241	0.218981	0.404638
</S>	0.0406808	0.0189775	0.0141861	0.0185878	0.0542823	0.219305	0.63398
